nodeName	gene_name	module	biotype	is_robust_lnc
A1BG	A1BG	blue	protein_coding	False
A1CF	A1CF	salmon	protein_coding	False
A2ML1	A2ML1	ivory	protein_coding	False
AAAS	AAAS	brown	protein_coding	False
AACS	AACS	blue	protein_coding	False
AAGAB	AAGAB	brown	protein_coding	False
AAK1	AAK1	brown	protein_coding	False
AAMDC	AAMDC	brown	protein_coding	False
AAMP	AAMP	blue	protein_coding	False
AAR2	AAR2	brown	protein_coding	False
AARS1	AARS1	brown	protein_coding	False
AARS2	AARS2	brown	protein_coding	False
AARSD1	AARSD1	blue	protein_coding	False
AASDHPPT	AASDHPPT	green	protein_coding	False
AATF	AATF	brown	protein_coding	False
ABCA11P	ABCA11P	green	lncRNA	True
ABCA13	ABCA13	magenta	protein_coding	False
ABCA15P	ABCA15P	lightgreen	transcribed_unitary_pseudogene	False
ABCA17P	ABCA17P	brown	lncRNA	True
ABCA2	ABCA2	brown	protein_coding	False
ABCA3	ABCA3	brown	protein_coding	False
ABCA5	ABCA5	green	protein_coding	False
ABCA7	ABCA7	brown	protein_coding	False
ABCB1	ABCB1	greenyellow	protein_coding	False
ABCB10	ABCB10	brown	protein_coding	False
ABCB10P1	ABCB10P1	darkmagenta	processed_pseudogene	False
ABCB10P4	ABCB10P4	lightyellow	processed_pseudogene	False
ABCB6	ABCB6	blue	protein_coding	False
ABCB7	ABCB7	blue	protein_coding	False
ABCB8	ABCB8	brown	protein_coding	False
ABCC10	ABCC10	brown	protein_coding	False
ABCC11	ABCC11	brown	protein_coding	False
ABCC4	ABCC4	blue	protein_coding	False
ABCC5	ABCC5	blue	protein_coding	False
ABCC8	ABCC8	skyblue	protein_coding	False
ABCC9	ABCC9	paleturquoise	protein_coding	False
ABCD1	ABCD1	brown	protein_coding	False
ABCD1P2	ABCD1P2	black	unprocessed_pseudogene	False
ABCD3	ABCD3	green	protein_coding	False
ABCD4	ABCD4	brown	protein_coding	False
ABCE1	ABCE1	green	protein_coding	False
ABCF1	ABCF1	blue	protein_coding	False
ABCF2	ABCF2	blue	protein_coding	False
ABCF2-H2BK1	ABCF2-H2BK1	brown	protein_coding	False
ABCF2P1	ABCF2P1	purple	processed_pseudogene	False
ABCF3	ABCF3	blue	protein_coding	False
ABCG4	ABCG4	brown	protein_coding	False
ABHD10	ABHD10	brown	protein_coding	False
ABHD11	ABHD11	blue	protein_coding	False
ABHD12	ABHD12	brown	protein_coding	False
ABHD13	ABHD13	green	protein_coding	False
ABHD14A	ABHD14A	brown	protein_coding	False
ABHD14B	ABHD14B	brown	protein_coding	False
ABHD15	ABHD15	brown	protein_coding	False
ABHD16A	ABHD16A	blue	protein_coding	False
ABHD16B	ABHD16B	blue	protein_coding	False
ABHD17A	ABHD17A	blue	protein_coding	False
