nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABCD1P2	ABCD1P2	black	unprocessed_pseudogene	False	0		0
ACOT6	ACOT6	black	protein_coding	False	0		0
ACSM1	ACSM1	black	protein_coding	False	0		0
ACSM5	ACSM5	black	protein_coding	False	0		0
ACTBP4	ACTBP4	black	processed_pseudogene	False	0		0
ACTG1P23	ACTG1P23	black	processed_pseudogene	False	0		0
ADGRE1	ADGRE1	black	protein_coding	False	0		0
AHCYP4	AHCYP4	black	processed_pseudogene	False	0		0
AKR1C7P	AKR1C7P	black	transcribed_unprocessed_pseudogene	False	0		0
AMD1P2	AMD1P2	black	processed_pseudogene	False	0		0
AMZ2P2	AMZ2P2	black	processed_pseudogene	False	0		0
ANKRD30BP1	ANKRD30BP1	black	unprocessed_pseudogene	False	0		0
ANKRD62	ANKRD62	black	protein_coding	False	0		0
ANO2	ANO2	black	protein_coding	False	0		0
AQP10	AQP10	black	protein_coding	False	0		0
ARF4P2	ARF4P2	black	processed_pseudogene	False	0		0
ARMS2	ARMS2	black	protein_coding	False	0		0
ART1	ART1	black	protein_coding	False	0		0
ASCL1	ASCL1	black	protein_coding	False	0		0
ASS1P5	ASS1P5	black	processed_pseudogene	False	0		0
ATP5MC1P2	ATP5MC1P2	black	processed_pseudogene	False	0		0
ATP5MFP2	ATP5MFP2	black	processed_pseudogene	False	0		0
BCAR1P1	BCAR1P1	black	processed_pseudogene	False	0		0
BEND2	BEND2	black	protein_coding	False	0		0
BEND3P1	BEND3P1	black	transcribed_processed_pseudogene	False	0		0
BIN2P1	BIN2P1	black	processed_pseudogene	False	0		0
BNIP3P8	BNIP3P8	black	processed_pseudogene	False	0		0
BOLA3P4	BOLA3P4	black	processed_pseudogene	False	0		0
BRINP2	BRINP2	black	protein_coding	False	0		0
BTF3P11	BTF3P11	black	processed_pseudogene	False	0		0
BTF3P2	BTF3P2	black	processed_pseudogene	False	0		0
C12orf71	C12orf71	black	protein_coding	False	0		0
C1orf185	C1orf185	black	protein_coding	False	0		0
C4BPAP1	C4BPAP1	black	unprocessed_pseudogene	False	0		0
CAPZA1P1	CAPZA1P1	black	processed_pseudogene	False	0		0
CBY2	CBY2	black	protein_coding	False	0		0
CCR3	CCR3	black	protein_coding	False	0		0
CENPCP1	CENPCP1	black	processed_pseudogene	False	0		0
CLCN1	CLCN1	black	protein_coding	False	0		0
CLDN22	CLDN22	black	protein_coding	False	0		0
CPSF4L	CPSF4L	black	protein_coding	False	0		0
CRYGC	CRYGC	black	protein_coding	False	0		0
CSAG2	CSAG2	black	protein_coding	False	0		0
CSF3R	CSF3R	black	protein_coding	False	0		0
CSNK1A1P3	CSNK1A1P3	black	processed_pseudogene	False	0		0
CYP4F2	CYP4F2	black	protein_coding	False	0		0
DLGAP2	DLGAP2	black	protein_coding	False	0		0
DNM1P38	DNM1P38	black	unprocessed_pseudogene	False	0		0
DPPA2P4	DPPA2P4	black	processed_pseudogene	False	0		0
DYNLL1P2	DYNLL1P2	black	processed_pseudogene	False	0		0
EIF4A1P7	EIF4A1P7	black	processed_pseudogene	False	0		0
