nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
A1BG	A1BG	blue	protein_coding	False	0		0
AACS	AACS	blue	protein_coding	False	0		0
AAMP	AAMP	blue	protein_coding	False	0		0
AARSD1	AARSD1	blue	protein_coding	False	0		0
ABCB6	ABCB6	blue	protein_coding	False	0		0
ABCB7	ABCB7	blue	protein_coding	False	0		0
ABCC4	ABCC4	blue	protein_coding	False	0		0
ABCC5	ABCC5	blue	protein_coding	False	0		0
ABCF1	ABCF1	blue	protein_coding	False	0		0
ABCF2	ABCF2	blue	protein_coding	False	0		0
ABCF3	ABCF3	blue	protein_coding	False	0		0
ABHD11	ABHD11	blue	protein_coding	False	0		0
ABHD16A	ABHD16A	blue	protein_coding	False	0		0
ABHD16B	ABHD16B	blue	protein_coding	False	0		0
ABHD17A	ABHD17A	blue	protein_coding	False	0		0
ABHD17B	ABHD17B	blue	protein_coding	False	0		0
ABI2	ABI2	blue	protein_coding	False	0		0
ABL1	ABL1	blue	protein_coding	False	0		0
ABT1	ABT1	blue	protein_coding	False	0		0
ABTB2	ABTB2	blue	protein_coding	False	0		0
ACAA1	ACAA1	blue	protein_coding	False	0		0
ACACA	ACACA	blue	protein_coding	False	0		0
ACAD9	ACAD9	blue	protein_coding	False	0		0
ACADVL	ACADVL	blue	protein_coding	False	0		0
ACAT2	ACAT2	blue	protein_coding	False	0		0
ACIN1	ACIN1	blue	protein_coding	False	0		0
ACLY	ACLY	blue	protein_coding	False	0		0
ACO1	ACO1	blue	protein_coding	False	0		0
ACOT1	ACOT1	blue	protein_coding	False	0		0
ACOT8	ACOT8	blue	protein_coding	False	0		0
ACOT9	ACOT9	blue	protein_coding	False	0		0
ACOX1	ACOX1	blue	protein_coding	False	0		0
ACP1	ACP1	blue	protein_coding	False	0		0
ACP2	ACP2	blue	protein_coding	False	0		0
ACSS2	ACSS2	blue	protein_coding	False	0		0
ACTA2-AS1	ACTA2-AS1	blue	lncRNA	True	0		2
ACTB	ACTB	blue	protein_coding	False	0		0
ACTMAP	ACTMAP	blue	protein_coding	False	0		0
ACTN1	ACTN1	blue	protein_coding	False	0		0
ACTN4	ACTN4	blue	protein_coding	False	0		0
ACTR3	ACTR3	blue	protein_coding	False	0		0
ACTR3B	ACTR3B	blue	protein_coding	False	0		0
ACTR8	ACTR8	blue	protein_coding	False	0		0
ACVR2B	ACVR2B	blue	protein_coding	False	0		0
ACVR2B-AS1	ACVR2B-AS1	blue	lncRNA	True	0		2
ACY1	ACY1	blue	protein_coding	False	0		0
ACYP1	ACYP1	blue	protein_coding	False	0		0
ACYP2	ACYP2	blue	protein_coding	False	0		0
ADAM15	ADAM15	blue	protein_coding	False	0		0
ADAR	ADAR	blue	protein_coding	False	0		0
ADCK5	ADCK5	blue	protein_coding	False	0		0
