nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
AAAS	AAAS	brown	protein_coding	False	0		0
AAMDC	AAMDC	brown	protein_coding	False	0		0
AAR2	AAR2	brown	protein_coding	False	0		0
AARS1	AARS1	brown	protein_coding	False	0		0
AARS2	AARS2	brown	protein_coding	False	0		0
AATF	AATF	brown	protein_coding	False	0		0
ABCA17P	ABCA17P	brown	lncRNA	True	0		2
ABCA2	ABCA2	brown	protein_coding	False	0		0
ABCA3	ABCA3	brown	protein_coding	False	0		0
ABCA7	ABCA7	brown	protein_coding	False	0		0
ABCB10	ABCB10	brown	protein_coding	False	0		0
ABCB8	ABCB8	brown	protein_coding	False	0		0
ABCC10	ABCC10	brown	protein_coding	False	0		0
ABCD1	ABCD1	brown	protein_coding	False	0		0
ABCD4	ABCD4	brown	protein_coding	False	0		0
ABCF2-H2BK1	ABCF2-H2BK1	brown	protein_coding	False	0		0
ABHD10	ABHD10	brown	protein_coding	False	0		0
ABHD12	ABHD12	brown	protein_coding	False	0		0
ABHD14A	ABHD14A	brown	protein_coding	False	0		0
ABHD14B	ABHD14B	brown	protein_coding	False	0		0
ABHD15	ABHD15	brown	protein_coding	False	0		0
ABHD17C	ABHD17C	brown	protein_coding	False	0		0
ABHD18	ABHD18	brown	protein_coding	False	0		0
ABHD2	ABHD2	brown	protein_coding	False	0		0
ABHD6	ABHD6	brown	protein_coding	False	0		0
ABHD8	ABHD8	brown	protein_coding	False	0		0
ABI1	ABI1	brown	protein_coding	False	0		0
ABLIM1	ABLIM1	brown	protein_coding	False	0		0
ABLIM2	ABLIM2	brown	protein_coding	False	0		0
ABR	ABR	brown	protein_coding	False	0		0
ACAA2	ACAA2	brown	protein_coding	False	0		0
ACACB	ACACB	brown	protein_coding	False	0		0
ACAD10	ACAD10	brown	protein_coding	False	0		0
ACAD11	ACAD11	brown	protein_coding	False	0		0
ACAD8	ACAD8	brown	protein_coding	False	0		0
ACAD9-DT	ACAD9-DT	brown	lncRNA	True	0		2
ACADS	ACADS	brown	protein_coding	False	0		0
ACAP3	ACAP3	brown	protein_coding	False	0		0
ACAT1	ACAT1	brown	protein_coding	False	0		0
ACBD4	ACBD4	brown	protein_coding	False	0		0
ACBD6	ACBD6	brown	protein_coding	False	0		0
ACBD7	ACBD7	brown	protein_coding	False	0		0
ACD	ACD	brown	protein_coding	False	0		0
ACO2	ACO2	brown	protein_coding	False	0		0
ACOT11	ACOT11	brown	protein_coding	False	0		0
ACOT13	ACOT13	brown	protein_coding	False	0		0
ACOT2	ACOT2	brown	protein_coding	False	0		0
ACOT7	ACOT7	brown	protein_coding	False	0		0
ACOX3	ACOX3	brown	protein_coding	False	0		0
ACP6	ACP6	brown	protein_coding	False	0		0
ACSF2	ACSF2	brown	protein_coding	False	0		0
ACSF3	ACSF3	brown	protein_coding	False	0		0
ACTG1	ACTG1	brown	protein_coding	False	0		0
ACTL10	ACTL10	brown	protein_coding	False	0		0
ACTL6A	ACTL6A	brown	protein_coding	False	0		0
ACTR10	ACTR10	brown	protein_coding	False	0		0
ACTR1A	ACTR1A	brown	protein_coding	False	0		0
ACTR1B	ACTR1B	brown	protein_coding	False	0		0
ACTR5	ACTR5	brown	protein_coding	False	0		0
