nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACTG1P21	ACTG1P21	cyan	processed_pseudogene	False	0		0
ADH4	ADH4	cyan	protein_coding	False	0		0
AGGF1P5	AGGF1P5	cyan	processed_pseudogene	False	0		0
AGKP2	AGKP2	cyan	processed_pseudogene	False	0		0
AKR1C8	AKR1C8	cyan	protein_coding	False	0		0
ALDH1A2	ALDH1A2	cyan	protein_coding	False	0		0
AMD1P4	AMD1P4	cyan	processed_pseudogene	False	0		0
ANKRD19P	ANKRD19P	cyan	transcribed_unprocessed_pseudogene	False	0		0
ANKRD20A4P	ANKRD20A4P	cyan	transcribed_unprocessed_pseudogene	False	0		0
APOA2	APOA2	cyan	protein_coding	False	0		0
APOOP4	APOOP4	cyan	processed_pseudogene	False	0		0
ARHGAP42P5	ARHGAP42P5	cyan	processed_pseudogene	False	0		0
ARL4AP2	ARL4AP2	cyan	processed_pseudogene	False	0		0
ARPC3P2	ARPC3P2	cyan	processed_pseudogene	False	0		0
ATP5PBP8	ATP5PBP8	cyan	processed_pseudogene	False	0		0
ATP5PDP2	ATP5PDP2	cyan	processed_pseudogene	False	0		0
BDP1P	BDP1P	cyan	processed_pseudogene	False	0		0
BPIFA1	BPIFA1	cyan	protein_coding	False	0		0
C19orf33	C19orf33	cyan	protein_coding	False	0		0
CADPS	CADPS	cyan	protein_coding	False	0		0
CALML5	CALML5	cyan	protein_coding	False	0		0
CBX3P5	CBX3P5	cyan	processed_pseudogene	False	0		0
CCL26	CCL26	cyan	protein_coding	False	0		0
CD28	CD28	cyan	protein_coding	False	0		0
CD80	CD80	cyan	protein_coding	False	0		0
CES5A	CES5A	cyan	protein_coding	False	0		0
CFHR2	CFHR2	cyan	protein_coding	False	0		0
CHIT1	CHIT1	cyan	protein_coding	False	0		0
CICP9	CICP9	cyan	processed_pseudogene	False	0		0
CLDN24	CLDN24	cyan	protein_coding	False	0		0
COL6A6	COL6A6	cyan	protein_coding	False	0		0
COX4I1P1	COX4I1P1	cyan	processed_pseudogene	False	0		0
CRTAC1	CRTAC1	cyan	protein_coding	False	0		0
DCAF13P1	DCAF13P1	cyan	processed_pseudogene	False	0		0
DDX50P2	DDX50P2	cyan	processed_pseudogene	False	0		0
DUX4L34	DUX4L34	cyan	unprocessed_pseudogene	False	0		0
EEF1A1P33	EEF1A1P33	cyan	processed_pseudogene	False	0		0
EIF2D	EIF2D	cyan	protein_coding	False	0		0
EIF4BP5	EIF4BP5	cyan	processed_pseudogene	False	0		0
ELF2P4	ELF2P4	cyan	processed_pseudogene	False	0		0
ELOCP18	ELOCP18	cyan	processed_pseudogene	False	0		0
ENSG00000213226	ENSG00000213226	cyan	processed_pseudogene	False	0		0
ENSG00000213414	ENSG00000213414	cyan	processed_pseudogene	False	0		0
ENSG00000214908	ENSG00000214908	cyan	processed_pseudogene	False	0		0
ENSG00000215512	ENSG00000215512	cyan	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000217060	ENSG00000217060	cyan	unprocessed_pseudogene	False	0		0
ENSG00000218857	ENSG00000218857	cyan	processed_pseudogene	False	0		0
ENSG00000223353	ENSG00000223353	cyan	processed_pseudogene	False	0		0
ENSG00000223867	ENSG00000223867	cyan	processed_pseudogene	False	0		0
ENSG00000223908	ENSG00000223908	cyan	processed_pseudogene	False	0		0
ENSG00000224136	ENSG00000224136	cyan	processed_pseudogene	False	0		0
ENSG00000225544	ENSG00000225544	cyan	processed_pseudogene	False	0		0
ENSG00000226439	ENSG00000226439	cyan	processed_pseudogene	False	0		0
ENSG00000229220	ENSG00000229220	cyan	processed_pseudogene	False	0		0
ENSG00000232751	ENSG00000232751	cyan	processed_pseudogene	False	0		0
ENSG00000235685	ENSG00000235685	cyan	processed_pseudogene	False	0		0
ENSG00000239374	ENSG00000239374	cyan	processed_pseudogene	False	0		0
ENSG00000239544	ENSG00000239544	cyan	processed_pseudogene	False	0		0
ENSG00000243085	ENSG00000243085	cyan	processed_pseudogene	False	0		0
ENSG00000243225	ENSG00000243225	cyan	processed_pseudogene	False	0		0
ENSG00000243916	ENSG00000243916	cyan	processed_pseudogene	False	0		0
ENSG00000253290	ENSG00000253290	cyan	unprocessed_pseudogene	False	0		0
ENSG00000254398	ENSG00000254398	cyan	unprocessed_pseudogene	False	0		0
ENSG00000255155	ENSG00000255155	cyan	processed_pseudogene	False	0		0
ENSG00000257062	ENSG00000257062	cyan	protein_coding	False	0		0
ENSG00000257207	ENSG00000257207	cyan	protein_coding	False	0		0
ENSG00000257405	ENSG00000257405	cyan	processed_pseudogene	False	0		0
ENSG00000259924	ENSG00000259924	cyan	processed_pseudogene	False	0		0
ENSG00000261635	ENSG00000261635	cyan	processed_pseudogene	False	0		0
ENSG00000262488	ENSG00000262488	cyan	processed_pseudogene	False	0		0
ENSG00000262885	ENSG00000262885	cyan	processed_pseudogene	False	0		0
ENSG00000264545	ENSG00000264545	cyan	lncRNA	True	0		2
ENSG00000269469	ENSG00000269469	cyan	protein_coding	False	0		0
ENSG00000271181	ENSG00000271181	cyan	processed_pseudogene	False	0		0
ENSG00000271230	ENSG00000271230	cyan	processed_pseudogene	False	0		0
ENSG00000274214	ENSG00000274214	cyan	processed_pseudogene	False	0		0
ENSG00000274614	ENSG00000274614	cyan	unprocessed_pseudogene	False	0		0
ENSG00000278720	ENSG00000278720	cyan	processed_pseudogene	False	0		0
ENSG00000279081	ENSG00000279081	cyan	processed_pseudogene	False	0		0
ENSG00000279814	ENSG00000279814	cyan	TEC	False	0		0
ENSG00000280205	ENSG00000280205	cyan	TEC	False	0		0
ENSG00000280295	ENSG00000280295	cyan	TEC	False	0		0
ENSG00000280296	ENSG00000280296	cyan	TEC	False	0		0
ENSG00000280416	ENSG00000280416	cyan	TEC	False	0		0
ENSG00000283399	ENSG00000283399	cyan	unprocessed_pseudogene	False	0		0
ENSG00000285283	ENSG00000285283	cyan	protein_coding	False	0		0
EYS	EYS	cyan	protein_coding	False	0		0
FAM91A2P	FAM91A2P	cyan	transcribed_processed_pseudogene	False	0		0
FAM9C	FAM9C	cyan	protein_coding	False	0		0
FKBP6P1	FKBP6P1	cyan	unprocessed_pseudogene	False	0		0
FTH1P28	FTH1P28	cyan	unprocessed_pseudogene	False	0		0
GABRR1	GABRR1	cyan	protein_coding	False	0		0
GOLGA8F	GOLGA8F	cyan	protein_coding	False	0		0
GPR32	GPR32	cyan	protein_coding	False	0		0
GRIK3	GRIK3	cyan	protein_coding	False	0		0
GYG1P1	GYG1P1	cyan	unprocessed_pseudogene	False	0		0
H2AZP2	H2AZP2	cyan	processed_pseudogene	False	0		0
HEPHL1	HEPHL1	cyan	protein_coding	False	0		0
HMGN2P11	HMGN2P11	cyan	processed_pseudogene	False	0		0
HMGN2P27	HMGN2P27	cyan	processed_pseudogene	False	0		0
HMGN2P3	HMGN2P3	cyan	processed_pseudogene	False	0		0
HNRNPA1P32	HNRNPA1P32	cyan	processed_pseudogene	False	0		0
HNRNPA1P38	HNRNPA1P38	cyan	processed_pseudogene	False	0		0
HNRNPA1P44	HNRNPA1P44	cyan	processed_pseudogene	False	0		0
HNRNPA3P8	HNRNPA3P8	cyan	processed_pseudogene	False	0		0
HSP90B3P	HSP90B3P	cyan	processed_pseudogene	False	0		0
HSPE1P2	HSPE1P2	cyan	processed_pseudogene	False	0		0
ID2B	ID2B	cyan	processed_pseudogene	False	0		0
IFITM3P7	IFITM3P7	cyan	processed_pseudogene	False	0		0
IFITM9P	IFITM9P	cyan	processed_pseudogene	False	0		0
IFNL3	IFNL3	cyan	protein_coding	False	0		0
IGSF21	IGSF21	cyan	protein_coding	False	0		0
KCNK5	KCNK5	cyan	protein_coding	False	0		0
KRT16P2	KRT16P2	cyan	transcribed_unprocessed_pseudogene	False	0		0
MAGEC1	MAGEC1	cyan	protein_coding	False	0		0
MATR3P3	MATR3P3	cyan	processed_pseudogene	False	0		0
MFFP3	MFFP3	cyan	processed_pseudogene	False	0		0
MTCH2P3	MTCH2P3	cyan	processed_pseudogene	False	0		0
MUC21	MUC21	cyan	protein_coding	False	0		0
NHP2P2	NHP2P2	cyan	processed_pseudogene	False	0		0
NUDCP1	NUDCP1	cyan	processed_pseudogene	False	0		0
OR10T2	OR10T2	cyan	protein_coding	False	0		0
OR10W1	OR10W1	cyan	protein_coding	False	0		0
OR2T6	OR2T6	cyan	protein_coding	False	0		0
OR5E1P	OR5E1P	cyan	unprocessed_pseudogene	False	0		0
OR7E12P	OR7E12P	cyan	unprocessed_pseudogene	False	0		0
PABPC1P11	PABPC1P11	cyan	processed_pseudogene	False	0		0
PABPC1P9	PABPC1P9	cyan	unprocessed_pseudogene	False	0		0
PATE3	PATE3	cyan	protein_coding	False	0		0
PCP2	PCP2	cyan	protein_coding	False	0		0
PDLIM1P1	PDLIM1P1	cyan	processed_pseudogene	False	0		0
PRB3	PRB3	cyan	protein_coding	False	0		0
PRELID1P3	PRELID1P3	cyan	processed_pseudogene	False	0		0
PROK1	PROK1	cyan	protein_coding	False	0		0
PRPF38AP2	PRPF38AP2	cyan	processed_pseudogene	False	0		0
PTCRA	PTCRA	cyan	protein_coding	False	0		0
PTGDR	PTGDR	cyan	protein_coding	False	0		0
RABGEF1P1	RABGEF1P1	cyan	transcribed_unprocessed_pseudogene	False	0		0
RAP1BP3	RAP1BP3	cyan	processed_pseudogene	False	0		0
RBMXL2	RBMXL2	cyan	protein_coding	False	0		0
RHOJ	RHOJ	cyan	protein_coding	False	0		0
RN7SKP110	RN7SKP110	cyan	misc_RNA	False	0		0
RN7SKP163	RN7SKP163	cyan	misc_RNA	False	0		0
RN7SL165P	RN7SL165P	cyan	misc_RNA	False	0		0
RN7SL580P	RN7SL580P	cyan	misc_RNA	False	0		0
RN7SL65P	RN7SL65P	cyan	misc_RNA	False	0		0
RN7SL664P	RN7SL664P	cyan	misc_RNA	False	0		0
RNVU1-14	RNVU1-14	cyan	snRNA	False	0		0
RNVU1-30	RNVU1-30	cyan	snRNA	False	0		0
RNVU1-7	RNVU1-7	cyan	snRNA	False	0		0
RPEP1	RPEP1	cyan	processed_pseudogene	False	0		0
RPL12P13	RPL12P13	cyan	unprocessed_pseudogene	False	0		0
RPL21P117	RPL21P117	cyan	processed_pseudogene	False	0		0
RPL21P123	RPL21P123	cyan	transcribed_processed_pseudogene	False	0		0
RPL22P6	RPL22P6	cyan	processed_pseudogene	False	0		0
RPL23AP75	RPL23AP75	cyan	processed_pseudogene	False	0		0
RPL31P31	RPL31P31	cyan	processed_pseudogene	False	0		0
RPL37P24	RPL37P24	cyan	processed_pseudogene	False	0		0
RPL3P3	RPL3P3	cyan	processed_pseudogene	False	0		0
RPL5P5	RPL5P5	cyan	processed_pseudogene	False	0		0
RPL6P28	RPL6P28	cyan	transcribed_processed_pseudogene	False	0		0
RPL7AP19	RPL7AP19	cyan	processed_pseudogene	False	0		0
RPL7P56	RPL7P56	cyan	processed_pseudogene	False	0		0
RPS10P14	RPS10P14	cyan	processed_pseudogene	False	0		0
RPS10P2	RPS10P2	cyan	processed_pseudogene	False	0		0
RPS20P31	RPS20P31	cyan	processed_pseudogene	False	0		0
RPS24P16	RPS24P16	cyan	processed_pseudogene	False	0		0
RPS3AP28	RPS3AP28	cyan	processed_pseudogene	False	0		0
RPS4XP5	RPS4XP5	cyan	transcribed_processed_pseudogene	False	0		0
RPS6P15	RPS6P15	cyan	processed_pseudogene	False	0		0
RPSAP49	RPSAP49	cyan	processed_pseudogene	False	0		0
RPSAP53	RPSAP53	cyan	processed_pseudogene	False	0		0
SCARNA6	SCARNA6	cyan	scaRNA	False	0		0
SETP6	SETP6	cyan	processed_pseudogene	False	0		0
SGO1P1	SGO1P1	cyan	processed_pseudogene	False	0		0
SLAMF7	SLAMF7	cyan	protein_coding	False	0		0
SLC25A5P3	SLC25A5P3	cyan	processed_pseudogene	False	0		0
SMOC2	SMOC2	cyan	protein_coding	False	0		0
SPANXD	SPANXD	cyan	protein_coding	False	0		0
SPMIP9	SPMIP9	cyan	protein_coding	False	0		0
SPTLC1P4	SPTLC1P4	cyan	processed_pseudogene	False	0		0
SUB1P1	SUB1P1	cyan	processed_pseudogene	False	0		0
SUB1P3	SUB1P3	cyan	processed_pseudogene	False	0		0
TAF9BP2	TAF9BP2	cyan	processed_pseudogene	False	0		0
TERB2	TERB2	cyan	protein_coding	False	0		0
TLR7	TLR7	cyan	protein_coding	False	0		0
TNFRSF10C	TNFRSF10C	cyan	protein_coding	False	0		0
TPM3P4	TPM3P4	cyan	processed_pseudogene	False	0		0
TRIM40	TRIM40	cyan	protein_coding	False	0		0
TRIM64	TRIM64	cyan	protein_coding	False	0		0
TRPM6	TRPM6	cyan	protein_coding	False	0		0
TSKS	TSKS	cyan	protein_coding	False	0		0
TUBB8B	TUBB8B	cyan	protein_coding	False	0		0
TUBBP5	TUBBP5	cyan	transcribed_unprocessed_pseudogene	False	0		0
USP17L11	USP17L11	cyan	protein_coding	False	0		0
USP17L14P	USP17L14P	cyan	unprocessed_pseudogene	False	0		0
USP17L18	USP17L18	cyan	protein_coding	False	0		0
USP17L20	USP17L20	cyan	protein_coding	False	0		0
WBP11P2	WBP11P2	cyan	processed_pseudogene	False	0		0
YES1P1	YES1P1	cyan	processed_pseudogene	False	0		0
ZBED2	ZBED2	cyan	protein_coding	False	0		0
ZNF70P1	ZNF70P1	cyan	processed_pseudogene	False	0		0
