nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ADGRF1	ADGRF1	darkgrey	protein_coding	False	0		0
AGRP	AGRP	darkgrey	protein_coding	False	0		0
AHSP	AHSP	darkgrey	protein_coding	False	1	Proteína estabilizadora da alfa-hemoglobina	0
ANGPTL3	ANGPTL3	darkgrey	protein_coding	False	0		0
AP1S2P1	AP1S2P1	darkgrey	processed_pseudogene	False	0		0
ARHGEF15	ARHGEF15	darkgrey	protein_coding	False	0		0
ATP5MGP3	ATP5MGP3	darkgrey	processed_pseudogene	False	0		0
ATP6V0CP4	ATP6V0CP4	darkgrey	processed_pseudogene	False	0		0
ATP8A2P2	ATP8A2P2	darkgrey	processed_pseudogene	False	0		0
B3GAT1	B3GAT1	darkgrey	protein_coding	False	0		0
BOLA2P3	BOLA2P3	darkgrey	processed_pseudogene	False	0		0
C14orf180	C14orf180	darkgrey	protein_coding	False	0		0
CA15P1	CA15P1	darkgrey	unitary_pseudogene	False	0		0
CARMIL2P1	CARMIL2P1	darkgrey	unprocessed_pseudogene	False	0		0
CELF2	CELF2	darkgrey	protein_coding	False	0		0
CFAP107	CFAP107	darkgrey	protein_coding	False	0		0
CFL1P4	CFL1P4	darkgrey	processed_pseudogene	False	0		0
CLEC4M	CLEC4M	darkgrey	protein_coding	False	0		0
CREB3L3	CREB3L3	darkgrey	protein_coding	False	0		0
CT45A9	CT45A9	darkgrey	protein_coding	False	0		0
CTAGE3P	CTAGE3P	darkgrey	processed_pseudogene	False	0		0
CYCSP34	CYCSP34	darkgrey	processed_pseudogene	False	0		0
CYP39A1	CYP39A1	darkgrey	protein_coding	False	0		0
DNAAF4-CCPG1	DNAAF4-CCPG1	darkgrey	lncRNA	True	0		2
DUX4L37	DUX4L37	darkgrey	unprocessed_pseudogene	False	0		0
EDA	EDA	darkgrey	protein_coding	False	0		0
EEF1A1P31	EEF1A1P31	darkgrey	unprocessed_pseudogene	False	0		0
ENSG00000216775	ENSG00000216775	darkgrey	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000224815	ENSG00000224815	darkgrey	processed_pseudogene	False	0		0
ENSG00000226690	ENSG00000226690	darkgrey	protein_coding	False	0		0
ENSG00000230801	ENSG00000230801	darkgrey	processed_pseudogene	False	0		0
ENSG00000232528	ENSG00000232528	darkgrey	transcribed_unitary_pseudogene	False	0		0
ENSG00000233018	ENSG00000233018	darkgrey	processed_pseudogene	False	0		0
ENSG00000235113	ENSG00000235113	darkgrey	processed_pseudogene	False	0		0
ENSG00000237347	ENSG00000237347	darkgrey	processed_pseudogene	False	0		0
ENSG00000238149	ENSG00000238149	darkgrey	processed_pseudogene	False	0		0
ENSG00000250090	ENSG00000250090	darkgrey	unprocessed_pseudogene	False	0		0
ENSG00000253793	ENSG00000253793	darkgrey	processed_pseudogene	False	0		0
ENSG00000255835	ENSG00000255835	darkgrey	protein_coding	False	0		0
ENSG00000259665	ENSG00000259665	darkgrey	processed_pseudogene	False	0		0
ENSG00000261232	ENSG00000261232	darkgrey	processed_pseudogene	False	0		0
ENSG00000261527	ENSG00000261527	darkgrey	processed_pseudogene	False	0		0
ENSG00000262660	ENSG00000262660	darkgrey	protein_coding	False	0		0
ENSG00000265428	ENSG00000265428	darkgrey	processed_pseudogene	False	0		0
ENSG00000267415	ENSG00000267415	darkgrey	transcribed_processed_pseudogene	False	0		0
ENSG00000267585	ENSG00000267585	darkgrey	processed_pseudogene	False	0		0
ENSG00000268685	ENSG00000268685	darkgrey	processed_pseudogene	False	0		0
ENSG00000271537	ENSG00000271537	darkgrey	processed_pseudogene	False	0		0
ENSG00000273997	ENSG00000273997	darkgrey	processed_pseudogene	False	0		0
ENSG00000278896	ENSG00000278896	darkgrey	TEC	False	0		0
ENSG00000279073	ENSG00000279073	darkgrey	protein_coding	False	0		0
ENSG00000279225	ENSG00000279225	darkgrey	TEC	False	0		0
ENSG00000279399	ENSG00000279399	darkgrey	TEC	False	0		0
ENSG00000279482	ENSG00000279482	darkgrey	TEC	False	0		0
ENSG00000279592	ENSG00000279592	darkgrey	TEC	False	0		0
ENSG00000279810	ENSG00000279810	darkgrey	TEC	False	0		0
ENSG00000280369	ENSG00000280369	darkgrey	TEC	False	0		0
ENSG00000280958	ENSG00000280958	darkgrey	TEC	False	0		0
ENSG00000284772	ENSG00000284772	darkgrey	protein_coding	False	0		0
ENSG00000286178	ENSG00000286178	darkgrey	TEC	False	0		0
ENSG00000293149	ENSG00000293149	darkgrey	lncRNA	True	0		2
ERVV-2	ERVV-2	darkgrey	protein_coding	False	0		0
EVPL	EVPL	darkgrey	protein_coding	False	0		0
FAM177B	FAM177B	darkgrey	protein_coding	False	0		0
FAM27B	FAM27B	darkgrey	processed_pseudogene	False	0		0
FAM86C1P	FAM86C1P	darkgrey	transcribed_unprocessed_pseudogene	False	0		0
FCRL6	FCRL6	darkgrey	protein_coding	False	0		0
FEZF2	FEZF2	darkgrey	protein_coding	False	0		0
FGF7P1	FGF7P1	darkgrey	unprocessed_pseudogene	False	0		0
FTLP15	FTLP15	darkgrey	processed_pseudogene	False	0		0
GABRB2	GABRB2	darkgrey	protein_coding	False	0		0
GRIFIN	GRIFIN	darkgrey	protein_coding	False	0		0
GSPT2	GSPT2	darkgrey	protein_coding	False	0		0
GUCY2F	GUCY2F	darkgrey	protein_coding	False	0		0
H2BC16P	H2BC16P	darkgrey	processed_pseudogene	False	0		0
H3P43	H3P43	darkgrey	processed_pseudogene	False	0		0
HHLA1	HHLA1	darkgrey	protein_coding	False	0		0
HIGD2B	HIGD2B	darkgrey	protein_coding	False	0		0
HOXA1	HOXA1	darkgrey	protein_coding	False	0		0
HOXD11	HOXD11	darkgrey	protein_coding	False	0		0
ICE2P2	ICE2P2	darkgrey	processed_pseudogene	False	0		0
IL18RAP	IL18RAP	darkgrey	protein_coding	False	0		0
INSM1	INSM1	darkgrey	protein_coding	False	0		0
IPO5P1	IPO5P1	darkgrey	transcribed_processed_pseudogene	False	0		0
KCNA10	KCNA10	darkgrey	protein_coding	False	0		0
KIAA2012	KIAA2012	darkgrey	protein_coding	False	0		0
KRTAP5-2	KRTAP5-2	darkgrey	protein_coding	False	0		0
MAGEA1	MAGEA1	darkgrey	protein_coding	False	0		0
MEMO1P4	MEMO1P4	darkgrey	processed_pseudogene	False	0		0
METTL5P2	METTL5P2	darkgrey	processed_pseudogene	False	0		0
MFRP	MFRP	darkgrey	protein_coding	False	0		0
MLC1	MLC1	darkgrey	protein_coding	False	0		0
MRGPRX7P	MRGPRX7P	darkgrey	unprocessed_pseudogene	False	0		0
MRPS31P2	MRPS31P2	darkgrey	unprocessed_pseudogene	False	0		0
MTND1P8	MTND1P8	darkgrey	processed_pseudogene	False	0		0
MTND4P1	MTND4P1	darkgrey	processed_pseudogene	False	0		0
MYBPC3	MYBPC3	darkgrey	protein_coding	False	0		0
MYL10	MYL10	darkgrey	protein_coding	False	0		0
MYL4	MYL4	darkgrey	protein_coding	False	0		0
NACAP2	NACAP2	darkgrey	processed_pseudogene	False	0		0
NCOA4P4	NCOA4P4	darkgrey	processed_pseudogene	False	0		0
NDUFB4P6	NDUFB4P6	darkgrey	processed_pseudogene	False	0		0
NHLH2	NHLH2	darkgrey	protein_coding	False	0		0
NOL4	NOL4	darkgrey	protein_coding	False	0		0
NUTM2HP	NUTM2HP	darkgrey	unprocessed_pseudogene	False	0		0
OR7E15P	OR7E15P	darkgrey	unprocessed_pseudogene	False	0		0
OR7E87P	OR7E87P	darkgrey	unprocessed_pseudogene	False	0		0
PADI4	PADI4	darkgrey	protein_coding	False	0		0
PCDHB19P	PCDHB19P	darkgrey	transcribed_unprocessed_pseudogene	False	0		0
PDE11A	PDE11A	darkgrey	protein_coding	False	0		0
PHF5AP1	PHF5AP1	darkgrey	processed_pseudogene	False	0		0
PLPPR5	PLPPR5	darkgrey	protein_coding	False	0		0
PPIAP23	PPIAP23	darkgrey	processed_pseudogene	False	0		0
PPIAP30	PPIAP30	darkgrey	processed_pseudogene	False	0		0
PRR13P3	PRR13P3	darkgrey	processed_pseudogene	False	0		0
PRSS29P	PRSS29P	darkgrey	transcribed_unprocessed_pseudogene	False	0		0
RAB3C	RAB3C	darkgrey	protein_coding	False	0		0
RN7SKP258	RN7SKP258	darkgrey	misc_RNA	False	0		0
RN7SKP30	RN7SKP30	darkgrey	misc_RNA	False	0		0
RN7SL280P	RN7SL280P	darkgrey	misc_RNA	False	0		0
RN7SL399P	RN7SL399P	darkgrey	misc_RNA	False	0		0
RN7SL683P	RN7SL683P	darkgrey	misc_RNA	False	0		0
RN7SL784P	RN7SL784P	darkgrey	misc_RNA	False	0		0
RPL12P25	RPL12P25	darkgrey	transcribed_processed_pseudogene	False	0		0
RPL19P18	RPL19P18	darkgrey	processed_pseudogene	False	0		0
RPL23AP53	RPL23AP53	darkgrey	transcribed_processed_pseudogene	False	0		0
RPL7AP67	RPL7AP67	darkgrey	processed_pseudogene	False	0		0
RPL7AP9	RPL7AP9	darkgrey	processed_pseudogene	False	0		0
RPS26P11	RPS26P11	darkgrey	processed_pseudogene	False	0		0
RPS3AP4	RPS3AP4	darkgrey	processed_pseudogene	False	0		0
SETP8	SETP8	darkgrey	processed_pseudogene	False	0		0
SLC22A11	SLC22A11	darkgrey	protein_coding	False	0		0
SLC25A3P2	SLC25A3P2	darkgrey	processed_pseudogene	False	0		0
SLC25A6P5	SLC25A6P5	darkgrey	processed_pseudogene	False	0		0
SLC36A2	SLC36A2	darkgrey	protein_coding	False	0		0
SLC7A3	SLC7A3	darkgrey	protein_coding	False	0		0
SNORA59A	SNORA59A	darkgrey	snoRNA	False	0		0
STRA6LP	STRA6LP	darkgrey	transcribed_unitary_pseudogene	False	0		0
SUMO2P16	SUMO2P16	darkgrey	processed_pseudogene	False	0		0
TCN1	TCN1	darkgrey	protein_coding	False	0		0
TGFB2-OT1	TGFB2-OT1	darkgrey	lncRNA	True	0		2
TMCO2	TMCO2	darkgrey	protein_coding	False	0		0
TMEM190	TMEM190	darkgrey	protein_coding	False	0		0
TMEM212	TMEM212	darkgrey	protein_coding	False	0		0
TMSB4XP2	TMSB4XP2	darkgrey	unprocessed_pseudogene	False	0		0
TPTE2	TPTE2	darkgrey	protein_coding	False	0		0
TRAC	TRAC	darkgrey	TR_C_gene	False	0		0
TRAT1	TRAT1	darkgrey	protein_coding	False	0		0
TUBA3C	TUBA3C	darkgrey	protein_coding	False	0		0
UQCRBP3	UQCRBP3	darkgrey	processed_pseudogene	False	0		0
VPS51P7	VPS51P7	darkgrey	processed_pseudogene	False	0		0
ZNF622P1	ZNF622P1	darkgrey	processed_pseudogene	False	0		0
ZSCAN12P1	ZSCAN12P1	darkgrey	transcribed_unprocessed_pseudogene	False	0		0
