nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABCB10P1	ABCB10P1	darkmagenta	processed_pseudogene	False	0		0
ADAMTS7P1	ADAMTS7P1	darkmagenta	transcribed_unprocessed_pseudogene	False	0		0
ADAMTS7P4	ADAMTS7P4	darkmagenta	transcribed_unprocessed_pseudogene	False	0		0
AKR1D1	AKR1D1	darkmagenta	protein_coding	False	0		0
BIVM-ERCC5	BIVM-ERCC5	darkmagenta	protein_coding	False	0		0
BORCS7-ASMT	BORCS7-ASMT	darkmagenta	protein_coding	False	0		0
C20orf173	C20orf173	darkmagenta	protein_coding	False	1	Processo biossintético de gangliosídeo via lactosilceramida	0
C7	C7	darkmagenta	protein_coding	False	0		0
CBX1P4	CBX1P4	darkmagenta	processed_pseudogene	False	0		0
CCR4	CCR4	darkmagenta	protein_coding	False	0		0
CICP22	CICP22	darkmagenta	processed_pseudogene	False	0		0
EEF1AKMT4-ECE2	EEF1AKMT4-ECE2	darkmagenta	protein_coding	False	0		0
ENAM	ENAM	darkmagenta	protein_coding	False	0		0
ENSG00000197320	ENSG00000197320	darkmagenta	processed_pseudogene	False	0		0
ENSG00000227141	ENSG00000227141	darkmagenta	processed_pseudogene	False	0		0
ENSG00000231357	ENSG00000231357	darkmagenta	processed_pseudogene	False	0		0
ENSG00000237329	ENSG00000237329	darkmagenta	processed_pseudogene	False	0		0
ENSG00000241434	ENSG00000241434	darkmagenta	transcribed_processed_pseudogene	False	0		0
ENSG00000244113	ENSG00000244113	darkmagenta	processed_pseudogene	False	0		0
ENSG00000248645	ENSG00000248645	darkmagenta	unprocessed_pseudogene	False	0		0
ENSG00000253183	ENSG00000253183	darkmagenta	processed_pseudogene	False	0		0
ENSG00000253690	ENSG00000253690	darkmagenta	lncRNA	True	0		2
ENSG00000258130	ENSG00000258130	darkmagenta	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000258989	ENSG00000258989	darkmagenta	protein_coding	False	0		0
ENSG00000259707	ENSG00000259707	darkmagenta	processed_pseudogene	False	0		0
ENSG00000262302	ENSG00000262302	darkmagenta	protein_coding	False	0		0
ENSG00000266953	ENSG00000266953	darkmagenta	protein_coding	False	0		0
ENSG00000268903	ENSG00000268903	darkmagenta	processed_pseudogene	False	0		0
ENSG00000271519	ENSG00000271519	darkmagenta	processed_pseudogene	False	0		0
ENSG00000273259	ENSG00000273259	darkmagenta	protein_coding	False	0		0
ENSG00000275675	ENSG00000275675	darkmagenta	unprocessed_pseudogene	False	0		0
ENSG00000275833	ENSG00000275833	darkmagenta	unprocessed_pseudogene	False	0		0
ENSG00000276214	ENSG00000276214	darkmagenta	processed_pseudogene	False	0		0
ENSG00000279254	ENSG00000279254	darkmagenta	TEC	False	0		0
ENSG00000279526	ENSG00000279526	darkmagenta	TEC	False	0		0
ENSG00000279739	ENSG00000279739	darkmagenta	TEC	False	0		0
ENSG00000279908	ENSG00000279908	darkmagenta	TEC	False	0		0
ENSG00000282742	ENSG00000282742	darkmagenta	TEC	False	0		0
ENSG00000285602	ENSG00000285602	darkmagenta	protein_coding	False	0		0
ENSG00000288699	ENSG00000288699	darkmagenta	protein_coding	False	0		0
FAM120A2P	FAM120A2P	darkmagenta	transcribed_unprocessed_pseudogene	False	0		0
FFAR3	FFAR3	darkmagenta	protein_coding	False	0		0
FOLR1P1	FOLR1P1	darkmagenta	unprocessed_pseudogene	False	0		0
FSCB	FSCB	darkmagenta	protein_coding	False	0		0
GLYAT	GLYAT	darkmagenta	protein_coding	False	0		0
GPR174	GPR174	darkmagenta	protein_coding	False	0		0
GPR42	GPR42	darkmagenta	protein_coding	False	0		0
GRAP2	GRAP2	darkmagenta	protein_coding	False	0		0
H4C11	H4C11	darkmagenta	protein_coding	False	0		0
HIGD1AP8	HIGD1AP8	darkmagenta	processed_pseudogene	False	0		0
HSF5	HSF5	darkmagenta	protein_coding	False	0		0
HTR5BP	HTR5BP	darkmagenta	transcribed_unprocessed_pseudogene	False	0		0
ITIH3	ITIH3	darkmagenta	protein_coding	False	0		0
KIAA1191P2	KIAA1191P2	darkmagenta	transcribed_processed_pseudogene	False	0		0
KLF7P1	KLF7P1	darkmagenta	processed_pseudogene	False	0		0
KRT18P14	KRT18P14	darkmagenta	processed_pseudogene	False	0		0
KRT6C	KRT6C	darkmagenta	protein_coding	False	0		0
LONRF2P3	LONRF2P3	darkmagenta	processed_pseudogene	False	0		0
LRRIQ4	LRRIQ4	darkmagenta	protein_coding	False	0		0
MARK2P3	MARK2P3	darkmagenta	processed_pseudogene	False	0		0
MARK3P3	MARK3P3	darkmagenta	processed_pseudogene	False	0		0
MBD3L2	MBD3L2	darkmagenta	protein_coding	False	0		0
MCF2L2P1	MCF2L2P1	darkmagenta	unprocessed_pseudogene	False	0		0
MRFAP1P1	MRFAP1P1	darkmagenta	transcribed_processed_pseudogene	False	0		0
MRLN	MRLN	darkmagenta	protein_coding	False	0		0
MT1P3	MT1P3	darkmagenta	processed_pseudogene	False	0		0
MTND4LP14	MTND4LP14	darkmagenta	processed_pseudogene	False	0		0
NRBF2P3	NRBF2P3	darkmagenta	processed_pseudogene	False	0		0
NUTF2P2	NUTF2P2	darkmagenta	processed_pseudogene	False	0		0
