fromNode	toNode	weight
AGXT	CCT4P1	0.516751606880295
AGXT	CETN4P	0.516751606880295
AGXT	CHST4	0.516751606880295
AGXT	ENSG00000230080	0.516751606880295
AGXT	ENSG00000230835	0.516751606880295
AGXT	ENSG00000236654	0.516751606880295
AGXT	ENSG00000257171	0.516751606880295
AGXT	ENSG00000263772	0.516751606880295
AGXT	ENSG00000267620	0.516751606880295
AGXT	ENSG00000273047	0.516751606880295
AGXT	ENSG00000274471	0.516751606880295
AGXT	ENSG00000277575	0.516751606880295
AGXT	ENSG00000278068	0.516751606880295
AGXT	ENSG00000279423	0.516751606880295
AGXT	ENSG00000279886	0.516751606880295
AGXT	ENSG00000289503	0.516751606880295
AGXT	EXOSC3P2	0.516751606880295
AGXT	FAM181B	0.516751606880295
AGXT	GPAA1P2	0.516751606880295
AGXT	HBE1	0.516751606880295
AGXT	HNRNPA1P17	0.516751606880295
AGXT	IFNWP5	0.516751606880295
AGXT	IGLV5-52	0.225569082865315
AGXT	INSL4	0.516751606880295
AGXT	KRT19P1	0.516751606880295
AGXT	KRT88P	0.516751606880295
AGXT	KRT8P31	0.516751606880295
AGXT	LRP5L	0.516751606880295
AGXT	MYO3A	0.516751606880295
AGXT	NMD3P2	0.516751606880295
AGXT	OR2AT1P	0.516751606880295
AGXT	PABPC1P6	0.516751606880295
AGXT	PHB1P11	0.516751606880295
AGXT	PHB1P7	0.516751606880295
AGXT	PMM2P1	0.516751606880295
AGXT	POM121L8P	0.516751606880295
AGXT	PPIAP52	0.516751606880295
AGXT	PRSS44P	0.516751606880295
AGXT	PRSS45P	0.516751606880295
AGXT	PSMC1P12	0.516751606880295
AGXT	RN7SKP37	0.516751606880295
AGXT	RN7SL141P	0.516751606880295
AGXT	RN7SL484P	0.516751606880295
AGXT	RN7SL568P	0.516751606880295
AGXT	RPL15P17	0.516751606880295
AGXT	RPL34P9	0.516751606880295
AGXT	RPS15AP9	0.516751606880295
AGXT	RPSAP75	0.516751606880295
AGXT	S100A7	0.516751606880295
AGXT	SCG3	0.516751606880295
AGXT	TET1P1	0.516751606880295
AGXT	TMEM238L	0.516751606880295
AGXT	TUBBP8	0.516751606880295
AGXT	ZNF603P	0.516751606880295
AGXT	ZNF679	0.516751606880295
CACNA2D4	CCT4P1	0.724399192227757
CACNA2D4	CETN4P	0.724399192227757
CACNA2D4	CHST4	0.724399192227757
CACNA2D4	CRIPTOP7	0.230434140146959
CACNA2D4	ENSG00000230080	0.724399192227757
CACNA2D4	ENSG00000230328	0.230573390548273
