nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
AGXT	AGXT	darkolivegreen	protein_coding	False	0		0
CACNA2D4	CACNA2D4	darkolivegreen	protein_coding	False	0		0
CCT4P1	CCT4P1	darkolivegreen	processed_pseudogene	False	1		0
CETN4P	CETN4P	darkolivegreen	transcribed_unitary_pseudogene	False	0		0
CHST4	CHST4	darkolivegreen	protein_coding	False	0		0
CLEC4G	CLEC4G	darkolivegreen	protein_coding	False	0		0
COX7CP1	COX7CP1	darkolivegreen	processed_pseudogene	False	0		0
CRIPTOP7	CRIPTOP7	darkolivegreen	processed_pseudogene	False	0		0
CTXND2	CTXND2	darkolivegreen	protein_coding	False	0		0
DDO	DDO	darkolivegreen	protein_coding	False	0		0
ENSG00000213970	ENSG00000213970	darkolivegreen	transcribed_processed_pseudogene	False	0		0
ENSG00000224097	ENSG00000224097	darkolivegreen	transcribed_processed_pseudogene	False	0		0
ENSG00000227815	ENSG00000227815	darkolivegreen	unprocessed_pseudogene	False	0		0
ENSG00000230080	ENSG00000230080	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000230328	ENSG00000230328	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000230835	ENSG00000230835	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000233138	ENSG00000233138	darkolivegreen	lncRNA	True	0		2
ENSG00000234607	ENSG00000234607	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000236654	ENSG00000236654	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000247033	ENSG00000247033	darkolivegreen	lncRNA	True	0		2
ENSG00000257171	ENSG00000257171	darkolivegreen	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000260144	ENSG00000260144	darkolivegreen	unprocessed_pseudogene	False	0		0
ENSG00000263772	ENSG00000263772	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000267620	ENSG00000267620	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000273025	ENSG00000273025	darkolivegreen	protein_coding	False	0		0
ENSG00000273047	ENSG00000273047	darkolivegreen	protein_coding	False	0		0
ENSG00000274471	ENSG00000274471	darkolivegreen	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000274541	ENSG00000274541	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000276185	ENSG00000276185	darkolivegreen	misc_RNA	False	0		0
ENSG00000277575	ENSG00000277575	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000278068	ENSG00000278068	darkolivegreen	processed_pseudogene	False	0		0
ENSG00000279423	ENSG00000279423	darkolivegreen	TEC	False	0		0
ENSG00000279886	ENSG00000279886	darkolivegreen	TEC	False	0		0
ENSG00000280323	ENSG00000280323	darkolivegreen	TEC	False	0		0
ENSG00000285000	ENSG00000285000	darkolivegreen	protein_coding	False	0		0
ENSG00000288000	ENSG00000288000	darkolivegreen	protein_coding	False	0		0
ENSG00000289503	ENSG00000289503	darkolivegreen	protein_coding	False	0		0
EXOSC3P2	EXOSC3P2	darkolivegreen	processed_pseudogene	False	0		0
FAM181B	FAM181B	darkolivegreen	protein_coding	False	0		0
FEM1AP4	FEM1AP4	darkolivegreen	processed_pseudogene	False	0		0
GDA	GDA	darkolivegreen	protein_coding	False	0		0
GPAA1P2	GPAA1P2	darkolivegreen	transcribed_processed_pseudogene	False	0		0
HBE1	HBE1	darkolivegreen	protein_coding	False	0		0
HMGN1P3	HMGN1P3	darkolivegreen	processed_pseudogene	False	0		0
HMGN2P8	HMGN2P8	darkolivegreen	processed_pseudogene	False	0		0
HNRNPA1P17	HNRNPA1P17	darkolivegreen	unprocessed_pseudogene	False	0		0
IFNWP5	IFNWP5	darkolivegreen	unprocessed_pseudogene	False	0		0
IGLV5-52	IGLV5-52	darkolivegreen	IG_V_gene	False	0		0
INSL4	INSL4	darkolivegreen	protein_coding	False	0		0
KRT19P1	KRT19P1	darkolivegreen	processed_pseudogene	False	0		0
KRT88P	KRT88P	darkolivegreen	unprocessed_pseudogene	False	0		0
KRT8P31	KRT8P31	darkolivegreen	processed_pseudogene	False	0		0
LRP5L	LRP5L	darkolivegreen	transcribed_unprocessed_pseudogene	False	0		0
LRRC37A15P	LRRC37A15P	darkolivegreen	processed_pseudogene	False	0		0
LST1	LST1	darkolivegreen	protein_coding	False	0		0
MTCO3P43	MTCO3P43	darkolivegreen	processed_pseudogene	False	0		0
