fromNode	toNode	weight
ADGRF4	CYTIP	0.21841681551936
ADGRF4	DYNLRB2	0.21841681551936
ADGRF4	ENSG00000218565	0.21841681551936
ADGRF4	ENSG00000225385	0.21841681551936
ADGRF4	ENSG00000226952	0.21841681551936
ADGRF4	ENSG00000229365	0.21841681551936
ADGRF4	ENSG00000231559	0.21841681551936
ADGRF4	ENSG00000253175	0.21841681551936
ADGRF4	ENSG00000256557	0.21841681551936
ADGRF4	ENSG00000259433	0.21841681551936
ADGRF4	ENSG00000259931	0.21841681551936
ADGRF4	ENSG00000273596	0.21841681551936
ADGRF4	GAGE2E	0.21841681551936
ADGRF4	GAPDHP30	0.21841681551936
ADGRF4	GGT2P	0.21841681551936
ADGRF4	GSTA8P	0.21841681551936
ADGRF4	GYS2	0.21841681551936
ADGRF4	HRURF	0.21841681551936
ADGRF4	IQSEC3P1	0.21841681551936
ADGRF4	IYD	0.21841681551936
ADGRF4	KRT18P28	0.21841681551936
ADGRF4	KRT2	0.21841681551936
ADGRF4	KRTAP19-3	0.21841681551936
ADGRF4	LILRB2	0.21841681551936
ADGRF4	MAGEB1	0.21841681551936
ADGRF4	MANEALP1	0.21841681551936
ADGRF4	MARK3P1	0.21841681551936
ADGRF4	MPEG1	0.21841681551936
ADGRF4	MSANTD5	0.21841681551936
ADGRF4	NBPF13P	0.21841681551936
ADGRF4	NOP56P1	0.21841681551936
ADGRF4	NPM1P49	0.21841681551936
ADGRF4	OR4A16	0.21841681551936
ADGRF4	PRPS1L1	0.21841681551936
ADGRF4	PSKH2	0.21841681551936
ADGRF4	REXO1L12P	0.21841681551936
ADGRF4	RN7SKP1	0.21841681551936
ADGRF4	RN7SL413P	0.21841681551936
ADGRF4	RN7SL414P	0.21841681551936
ADGRF4	RN7SL748P	0.21841681551936
ADGRF4	RN7SL801P	0.21841681551936
ADGRF4	RPL21P135	0.21841681551936
ADGRF4	RPL21P30	0.21841681551936
ADGRF4	RPL21P48	0.21841681551936
ADGRF4	RPL23AP72	0.21841681551936
ADGRF4	RPL30P7	0.21841681551936
ADGRF4	RPL31P37	0.21841681551936
ADGRF4	RPL36AP9	0.21841681551936
ADGRF4	RPL9P16	0.21841681551936
ADGRF4	RPS4XP9	0.21841681551936
ADGRF4	SEPTIN14P8	0.21841681551936
ADGRF4	SNORD3J	0.21841681551936
ADGRF4	STEAP2	0.21841681551936
ADGRF4	TAS1R2	0.21841681551936
ADGRF4	TDRD6	0.21841681551936
ADGRF4	TIPINP1	0.21841681551936
ADGRF4	TPT1P14	0.21841681551936
ADGRF4	U1	0.21841681551936
ADGRF4	UBL5P2	0.21841681551936
ALDH1L1	CSMD1	0.266615441326354
ALDH1L1	CYTIP	0.619071837572942
ALDH1L1	DRD5	0.224206581165917
ALDH1L1	DYNLRB2	0.619071837572942
ALDH1L1	ENSG00000218565	0.619071837572942
ALDH1L1	ENSG00000225385	0.619071837572942
ALDH1L1	ENSG00000226952	0.619071837572942
ALDH1L1	ENSG00000229365	0.619071837572942
ALDH1L1	ENSG00000231559	0.619071837572942
ALDH1L1	ENSG00000253175	0.619071837572942
ALDH1L1	ENSG00000256557	0.619071837572942
ALDH1L1	ENSG00000259433	0.619071837572942
ALDH1L1	ENSG00000259931	0.619071837572942
ALDH1L1	ENSG00000273596	0.619071837572942
ALDH1L1	GAGE2E	0.619071837572942
ALDH1L1	GAPDHP30	0.619071837572942
ALDH1L1	GGT2P	0.619071837572942
ALDH1L1	GSTA8P	0.619071837572942
ALDH1L1	GYS2	0.619071837572942
ALDH1L1	HRURF	0.619071837572942
ALDH1L1	IQSEC3P1	0.619071837572942
ALDH1L1	IYD	0.619071837572942
ALDH1L1	KRT18P28	0.619071837572942
ALDH1L1	KRT2	0.619071837572942
ALDH1L1	KRTAP19-3	0.619071837572942
ALDH1L1	LILRB2	0.619071837572942
ALDH1L1	MAGEB1	0.619071837572942
ALDH1L1	MANEALP1	0.619071837572942
ALDH1L1	MARK3P1	0.619071837572942
ALDH1L1	MPEG1	0.619071837572942
ALDH1L1	MSANTD5	0.619071837572942
ALDH1L1	NBPF13P	0.619071837572942
ALDH1L1	NOP56P1	0.619071837572942
ALDH1L1	NPM1P49	0.619071837572942
ALDH1L1	OR4A16	0.619071837572942
ALDH1L1	PRPS1L1	0.619071837572942
ALDH1L1	PSKH2	0.619071837572942
ALDH1L1	REXO1L12P	0.619071837572942
ALDH1L1	RN7SKP1	0.619071837572942
ALDH1L1	RN7SL413P	0.619071837572942
ALDH1L1	RN7SL414P	0.619071837572942
ALDH1L1	RN7SL748P	0.619071837572942
ALDH1L1	RN7SL801P	0.619071837572942
ALDH1L1	RPL21P135	0.619071837572942
ALDH1L1	RPL21P30	0.619071837572942
ALDH1L1	RPL21P48	0.619071837572942
ALDH1L1	RPL23AP72	0.619071837572942
ALDH1L1	RPL30P7	0.619071837572942
ALDH1L1	RPL31P37	0.619071837572942
ALDH1L1	RPL36AP9	0.619071837572942
ALDH1L1	RPL9P16	0.619071837572942
ALDH1L1	RPS4XP9	0.619071837572942
ALDH1L1	SEPTIN14P8	0.619071837572942
ALDH1L1	SNORD3J	0.619071837572942
ALDH1L1	STEAP2	0.619071837572942
ALDH1L1	TAS1R2	0.619071837572942
ALDH1L1	TDRD6	0.619071837572942
ALDH1L1	TIPINP1	0.619071837572942
ALDH1L1	TPT1P14	0.619071837572942
ALDH1L1	U1	0.619071837572942
ALDH1L1	UBL5P2	0.619071837572942
ANKRD22	CYTIP	0.388943717673004
ANKRD22	DYNLRB2	0.388943717673004
ANKRD22	ENSG00000218565	0.388943717673004
ANKRD22	ENSG00000225385	0.388943717673004
ANKRD22	ENSG00000226952	0.388943717673004
ANKRD22	ENSG00000229365	0.388943717673004
ANKRD22	ENSG00000231559	0.388943717673004
ANKRD22	ENSG00000253175	0.388943717673004
ANKRD22	ENSG00000256557	0.388943717673004
ANKRD22	ENSG00000259433	0.388943717673004
ANKRD22	ENSG00000259931	0.388943717673004
ANKRD22	ENSG00000273596	0.388943717673004
ANKRD22	GAGE2E	0.388943717673004
ANKRD22	GAPDHP30	0.388943717673004
ANKRD22	GGT2P	0.388943717673004
ANKRD22	GSTA8P	0.388943717673004
ANKRD22	GYS2	0.388943717673004
ANKRD22	HRURF	0.388943717673004
ANKRD22	IQSEC3P1	0.388943717673004
ANKRD22	IYD	0.388943717673004
ANKRD22	KRT18P28	0.388943717673004
ANKRD22	KRT2	0.388943717673004
ANKRD22	KRTAP19-3	0.388943717673004
ANKRD22	LILRB2	0.388943717673004
ANKRD22	MAGEB1	0.388943717673004
ANKRD22	MANEALP1	0.388943717673004
ANKRD22	MARK3P1	0.388943717673004
ANKRD22	MPEG1	0.388943717673004
ANKRD22	MSANTD5	0.388943717673004
ANKRD22	NBPF13P	0.388943717673004
ANKRD22	NOP56P1	0.388943717673004
ANKRD22	NPM1P49	0.388943717673004
ANKRD22	OR4A16	0.388943717673004
ANKRD22	PRPS1L1	0.388943717673004
ANKRD22	PSKH2	0.388943717673004
ANKRD22	REXO1L12P	0.388943717673004
ANKRD22	RN7SKP1	0.388943717673004
ANKRD22	RN7SL413P	0.388943717673004
ANKRD22	RN7SL414P	0.388943717673004
ANKRD22	RN7SL748P	0.388943717673004
ANKRD22	RN7SL801P	0.388943717673004
ANKRD22	RPL21P135	0.388943717673004
ANKRD22	RPL21P30	0.388943717673004
ANKRD22	RPL21P48	0.388943717673004
ANKRD22	RPL23AP72	0.388943717673004
ANKRD22	RPL30P7	0.388943717673004
ANKRD22	RPL31P37	0.388943717673004
ANKRD22	RPL36AP9	0.388943717673004
ANKRD22	RPL9P16	0.388943717673004
ANKRD22	RPS4XP9	0.388943717673004
ANKRD22	SEPTIN14P8	0.388943717673004
ANKRD22	SNORD3J	0.388943717673004
ANKRD22	STEAP2	0.388943717673004
ANKRD22	TAS1R2	0.388943717673004
ANKRD22	TDRD6	0.388943717673004
ANKRD22	TIPINP1	0.388943717673004
ANKRD22	TPT1P14	0.388943717673004
ANKRD22	U1	0.388943717673004
ANKRD22	UBL5P2	0.388943717673004
ANKS4B	CELA1	0.365866723774482
ANKS4B	MTND5P19	0.365866723774482
ARSF	CYTIP	0.308139702258902
ARSF	DYNLRB2	0.308139702258902
ARSF	ENSG00000218565	0.308139702258902
ARSF	ENSG00000225385	0.308139702258902
ARSF	ENSG00000226952	0.308139702258902
ARSF	ENSG00000229365	0.308139702258902
ARSF	ENSG00000231559	0.308139702258902
ARSF	ENSG00000253175	0.308139702258902
ARSF	ENSG00000256557	0.308139702258902
ARSF	ENSG00000259433	0.308139702258902
ARSF	ENSG00000259931	0.308139702258902
ARSF	ENSG00000273596	0.308139702258902
ARSF	EVA1CP2	0.225844352531578
ARSF	GAGE2E	0.308139702258902
ARSF	GAPDHP30	0.308139702258902
ARSF	GGT2P	0.308139702258902
ARSF	GSTA8P	0.308139702258902
ARSF	GYS2	0.308139702258902
ARSF	HRURF	0.308139702258902
ARSF	IQSEC3P1	0.308139702258902
ARSF	IYD	0.308139702258902
ARSF	KRT18P28	0.308139702258902
ARSF	KRT2	0.308139702258902
ARSF	KRTAP19-3	0.308139702258902
ARSF	LILRB2	0.308139702258902
ARSF	MAGEB1	0.308139702258902
ARSF	MANEALP1	0.308139702258902
ARSF	MARK3P1	0.308139702258902
ARSF	MPEG1	0.308139702258902
ARSF	MSANTD5	0.308139702258902
ARSF	NBPF13P	0.308139702258902
ARSF	NCAPGP2	0.225910434966109
ARSF	NOP56P1	0.308139702258902
