nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACTL6B	ACTL6B	darkturquoise	protein_coding	False	1	Desenvolvimento do sistema nervoso; regulação da transcrição pela RNA polimerase II; acetilação da histona H4	0
ALG1L8P	ALG1L8P	darkturquoise	unprocessed_pseudogene	False	0		0
ALKAL1	ALKAL1	darkturquoise	protein_coding	False	0		0
ASXL3	ASXL3	darkturquoise	protein_coding	False	0		0
ATF7-NPFF	ATF7-NPFF	darkturquoise	protein_coding	False	0		0
AVPR2	AVPR2	darkturquoise	protein_coding	False	0		0
BOLA2P2	BOLA2P2	darkturquoise	transcribed_processed_pseudogene	False	0		0
BSNDP3	BSNDP3	darkturquoise	processed_pseudogene	False	0		0
C6orf15	C6orf15	darkturquoise	protein_coding	False	0		0
CAMK1G	CAMK1G	darkturquoise	protein_coding	False	0		0
CAPNS2	CAPNS2	darkturquoise	protein_coding	False	0		0
CBX1P3	CBX1P3	darkturquoise	processed_pseudogene	False	0		0
CCDC27	CCDC27	darkturquoise	protein_coding	False	0		0
CDH12P3	CDH12P3	darkturquoise	unprocessed_pseudogene	False	0		0
CDK2AP2P1	CDK2AP2P1	darkturquoise	transcribed_processed_pseudogene	False	0		0
CDRT15P4	CDRT15P4	darkturquoise	transcribed_unprocessed_pseudogene	False	0		0
CDRT4	CDRT4	darkturquoise	protein_coding	False	0		0
CICP2	CICP2	darkturquoise	processed_pseudogene	False	0		0
CICP23	CICP23	darkturquoise	processed_pseudogene	False	0		0
CLIC4P2	CLIC4P2	darkturquoise	processed_pseudogene	False	0		0
CLRN2	CLRN2	darkturquoise	protein_coding	False	0		0
CSNK1G2P1	CSNK1G2P1	darkturquoise	processed_pseudogene	False	0		0
CYCSP55	CYCSP55	darkturquoise	processed_pseudogene	False	0		0
CYP4F23P	CYP4F23P	darkturquoise	transcribed_unprocessed_pseudogene	False	0		0
CYP4F33P	CYP4F33P	darkturquoise	transcribed_processed_pseudogene	False	0		0
DUX4L27	DUX4L27	darkturquoise	processed_pseudogene	False	0		0
EEF1DP8	EEF1DP8	darkturquoise	processed_pseudogene	False	0		0
EIF4A1P9	EIF4A1P9	darkturquoise	processed_pseudogene	False	0		0
ELOA3BP	ELOA3BP	darkturquoise	processed_pseudogene	False	0		0
EMX2	EMX2	darkturquoise	protein_coding	False	0		0
ENSG00000111780	ENSG00000111780	darkturquoise	protein_coding	False	0		0
ENSG00000214525	ENSG00000214525	darkturquoise	processed_pseudogene	False	0		0
ENSG00000216687	ENSG00000216687	darkturquoise	processed_pseudogene	False	0		0
ENSG00000219755	ENSG00000219755	darkturquoise	processed_pseudogene	False	0		0
ENSG00000227304	ENSG00000227304	darkturquoise	transcribed_processed_pseudogene	False	0		0
ENSG00000229305	ENSG00000229305	darkturquoise	processed_pseudogene	False	0		0
ENSG00000230092	ENSG00000230092	darkturquoise	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000239701	ENSG00000239701	darkturquoise	processed_pseudogene	False	0		0
ENSG00000244255	ENSG00000244255	darkturquoise	protein_coding	False	0		0
ENSG00000250613	ENSG00000250613	darkturquoise	processed_pseudogene	False	0		0
ENSG00000255050	ENSG00000255050	darkturquoise	lncRNA	True	0		2
ENSG00000256723	ENSG00000256723	darkturquoise	processed_pseudogene	False	0		0
ENSG00000258232	ENSG00000258232	darkturquoise	lncRNA	True	0		2
ENSG00000259132	ENSG00000259132	darkturquoise	protein_coding	False	0		0
ENSG00000259952	ENSG00000259952	darkturquoise	lncRNA	True	0		2
ENSG00000261628	ENSG00000261628	darkturquoise	unprocessed_pseudogene	False	0		0
ENSG00000265982	ENSG00000265982	darkturquoise	unprocessed_pseudogene	False	0		0
ENSG00000267618	ENSG00000267618	darkturquoise	protein_coding	False	0		0
ENSG00000268149	ENSG00000268149	darkturquoise	lncRNA	True	0		2
ENSG00000269095	ENSG00000269095	darkturquoise	protein_coding	False	0		0
ENSG00000269792	ENSG00000269792	darkturquoise	lncRNA	True	0		2
ENSG00000273217	ENSG00000273217	darkturquoise	protein_coding	False	0		0
ENSG00000276128	ENSG00000276128	darkturquoise	transcribed_processed_pseudogene	False	0		0
ENSG00000276965	ENSG00000276965	darkturquoise	misc_RNA	False	0		0
ENSG00000278998	ENSG00000278998	darkturquoise	TEC	False	0		0
ENSG00000284242	ENSG00000284242	darkturquoise	unprocessed_pseudogene	False	0		0
ENSG00000285238	ENSG00000285238	darkturquoise	protein_coding	False	0		0
ENSG00000285779	ENSG00000285779	darkturquoise	protein_coding	False	0		0
ENSG00000288894	ENSG00000288894	darkturquoise	protein_coding	False	0		0
ENSG00000289685	ENSG00000289685	darkturquoise	protein_coding	False	0		0
ENSG00000289763	ENSG00000289763	darkturquoise	protein_coding	False	0		0
ENSG00000290908	ENSG00000290908	darkturquoise	lncRNA	True	0		2
ERAS	ERAS	darkturquoise	protein_coding	False	0		0
FABP5P5	FABP5P5	darkturquoise	processed_pseudogene	False	0		0
FAM86MP	FAM86MP	darkturquoise	unprocessed_pseudogene	False	0		0
FAM90A6P	FAM90A6P	darkturquoise	unprocessed_pseudogene	False	0		0
FBP2	FBP2	darkturquoise	protein_coding	False	0		0
FKBP1AP1	FKBP1AP1	darkturquoise	processed_pseudogene	False	0		0
GAPDHP22	GAPDHP22	darkturquoise	processed_pseudogene	False	0		0
GAPDHP47	GAPDHP47	darkturquoise	processed_pseudogene	False	0		0
GAPDHP52	GAPDHP52	darkturquoise	processed_pseudogene	False	0		0
GJB1	GJB1	darkturquoise	protein_coding	False	0		0
