nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
AASDHPPT	AASDHPPT	green	protein_coding	False	0		0
ABCA11P	ABCA11P	green	lncRNA	True	0		2
ABCA5	ABCA5	green	protein_coding	False	0		0
ABCD3	ABCD3	green	protein_coding	False	0		0
ABCE1	ABCE1	green	protein_coding	False	0		0
ABHD13	ABHD13	green	protein_coding	False	0		0
ABHD5	ABHD5	green	protein_coding	False	0		0
ABRAXAS1	ABRAXAS1	green	protein_coding	False	0		0
ACADM	ACADM	green	protein_coding	False	0		0
ACAP2	ACAP2	green	protein_coding	False	0		0
ACSL4	ACSL4	green	protein_coding	False	0		0
ACTG1P10	ACTG1P10	green	processed_pseudogene	False	0		0
ACVR1C	ACVR1C	green	protein_coding	False	0		0
ADAM10	ADAM10	green	protein_coding	False	0		0
AGL	AGL	green	protein_coding	False	0		0
AGTPBP1	AGTPBP1	green	protein_coding	False	0		0
AHCTF1	AHCTF1	green	protein_coding	False	0		0
AHCTF1P1	AHCTF1P1	green	processed_pseudogene	False	0		0
AHI1	AHI1	green	protein_coding	False	0		0
AIDA	AIDA	green	protein_coding	False	0		0
AIMP1	AIMP1	green	protein_coding	False	0		0
AKAP11	AKAP11	green	protein_coding	False	0		0
AKAP9	AKAP9	green	protein_coding	False	0		0
ALCAM	ALCAM	green	protein_coding	False	0		0
ALG10	ALG10	green	protein_coding	False	0		0
ALG10B	ALG10B	green	protein_coding	False	0		0
ALKBH8	ALKBH8	green	protein_coding	False	0		0
ALMS1	ALMS1	green	protein_coding	False	0		0
AMD1	AMD1	green	protein_coding	False	0		0
AMDHD1	AMDHD1	green	protein_coding	False	0		0
ANKIB1	ANKIB1	green	protein_coding	False	0		0
ANKRD10-IT1	ANKRD10-IT1	green	lncRNA	True	0		2
ANKRD12	ANKRD12	green	protein_coding	False	0		0
ANKRD20A17P	ANKRD20A17P	green	unprocessed_pseudogene	False	0		0
ANKRD26	ANKRD26	green	protein_coding	False	0		0
ANKRD36	ANKRD36	green	protein_coding	False	0		0
ANKRD36B	ANKRD36B	green	protein_coding	False	0		0
ANKRD36BP2	ANKRD36BP2	green	lncRNA	True	0		2
ANKRD36C	ANKRD36C	green	protein_coding	False	0		0
ANKRD50	ANKRD50	green	protein_coding	False	0		0
ANLN	ANLN	green	protein_coding	False	0		0
ANP32E	ANP32E	green	protein_coding	False	0		0
AP1AR	AP1AR	green	protein_coding	False	0		0
AP3B1	AP3B1	green	protein_coding	False	0		0
AP4E1	AP4E1	green	protein_coding	False	0		0
AP5M1	AP5M1	green	protein_coding	False	0		0
APC	APC	green	protein_coding	False	0		0
APOOL	APOOL	green	protein_coding	False	0		0
APPAT	APPAT	green	lncRNA	True	0		2
APPBP2	APPBP2	green	protein_coding	False	0		0
APPL1	APPL1	green	protein_coding	False	0		0
AQR	AQR	green	protein_coding	False	0		0
ARFGEF1	ARFGEF1	green	protein_coding	False	0		0
ARHGAP11A	ARHGAP11A	green	protein_coding	False	0		0
ARHGAP12	ARHGAP12	green	protein_coding	False	0		0
ARHGAP21	ARHGAP21	green	protein_coding	False	0		0
ARHGAP5	ARHGAP5	green	protein_coding	False	0		0
ARID2	ARID2	green	protein_coding	False	0		0
ARID4A	ARID4A	green	protein_coding	False	0		0
ARID4B	ARID4B	green	protein_coding	False	0		0
ARL13B	ARL13B	green	protein_coding	False	0		0
ARL5A	ARL5A	green	protein_coding	False	0		0
ARL5B	ARL5B	green	protein_coding	False	0		0
ARL6	ARL6	green	protein_coding	False	0		0
ARMT1	ARMT1	green	protein_coding	False	0		0
ASCC3	ASCC3	green	protein_coding	False	0		0
ASH1L	ASH1L	green	protein_coding	False	0		0
ASNSD1	ASNSD1	green	protein_coding	False	0		0
ASPM	ASPM	green	protein_coding	False	0		0
ASXL2	ASXL2	green	protein_coding	False	0		0
ATAD2	ATAD2	green	protein_coding	False	0		0
ATAD2B	ATAD2B	green	protein_coding	False	0		0
ATAD5	ATAD5	green	protein_coding	False	0		0
ATF1	ATF1	green	protein_coding	False	0		0
ATF2	ATF2	green	protein_coding	False	0		0
ATG4C	ATG4C	green	protein_coding	False	0		0
ATL2	ATL2	green	protein_coding	False	0		0
ATM	ATM	green	protein_coding	False	0		0
ATP11B	ATP11B	green	protein_coding	False	0		0
ATP11C	ATP11C	green	protein_coding	False	0		0
ATP13A3	ATP13A3	green	protein_coding	False	0		0
ATP2B1	ATP2B1	green	protein_coding	False	0		0
ATP7A	ATP7A	green	protein_coding	False	0		0
ATR	ATR	green	protein_coding	False	0		0
ATRX	ATRX	green	protein_coding	False	0		0
AZI2	AZI2	green	protein_coding	False	0		0
BAZ1A	BAZ1A	green	protein_coding	False	0		0
BAZ2B	BAZ2B	green	protein_coding	False	0		0
BBS7	BBS7	green	protein_coding	False	0		0
BBX	BBX	green	protein_coding	False	0		0
BCAP29	BCAP29	green	protein_coding	False	0		0
BCLAF1	BCLAF1	green	protein_coding	False	0		0
BCLAF3	BCLAF3	green	protein_coding	False	0		0
BDP1	BDP1	green	protein_coding	False	0		0
BIRC6	BIRC6	green	protein_coding	False	0		0
BLM	BLM	green	protein_coding	False	0		0
BLTP1	BLTP1	green	protein_coding	False	0		0
BLTP3B	BLTP3B	green	protein_coding	False	0		0
BLZF1	BLZF1	green	protein_coding	False	0		0
BMI1	BMI1	green	protein_coding	False	0		0
BMPR2	BMPR2	green	protein_coding	False	0		0
BMT2	BMT2	green	protein_coding	False	0		0
BNIP2	BNIP2	green	protein_coding	False	0		0
BOD1L1	BOD1L1	green	protein_coding	False	0		0
BORA	BORA	green	protein_coding	False	0		0
BPTF	BPTF	green	protein_coding	False	0		0
BRCA1	BRCA1	green	protein_coding	False	0		0
BRCA2	BRCA2	green	protein_coding	False	0		0
BRCC3	BRCC3	green	protein_coding	False	0		0
BRD10	BRD10	green	protein_coding	False	0		0
BRIP1	BRIP1	green	protein_coding	False	0		0
BRMS1L	BRMS1L	green	protein_coding	False	0		0
BROX	BROX	green	protein_coding	False	0		0
