nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABCB1	ABCB1	greenyellow	protein_coding	False	0		0
ADGRG4	ADGRG4	greenyellow	protein_coding	False	0		0
AKR1B1P7	AKR1B1P7	greenyellow	processed_pseudogene	False	0		0
APOC2	APOC2	greenyellow	protein_coding	False	0		0
AURKAP2	AURKAP2	greenyellow	processed_pseudogene	False	1		0
BMS1P3	BMS1P3	greenyellow	transcribed_unprocessed_pseudogene	False	0		0
BTNL10P	BTNL10P	greenyellow	transcribed_unitary_pseudogene	False	0		0
CA1	CA1	greenyellow	protein_coding	False	0		0
CAB39P1	CAB39P1	greenyellow	processed_pseudogene	False	0		0
CALM2P4	CALM2P4	greenyellow	processed_pseudogene	False	0		0
CATSPER1	CATSPER1	greenyellow	protein_coding	False	0		0
CBX1P2	CBX1P2	greenyellow	processed_pseudogene	False	0		0
CCDC166	CCDC166	greenyellow	protein_coding	False	0		0
CD40LG	CD40LG	greenyellow	protein_coding	False	0		0
CEBPE	CEBPE	greenyellow	protein_coding	False	0		0
CFI	CFI	greenyellow	protein_coding	False	0		0
CLEC2B	CLEC2B	greenyellow	protein_coding	False	0		0
CLK2P1	CLK2P1	greenyellow	processed_pseudogene	False	0		0
CLRN3	CLRN3	greenyellow	protein_coding	False	0		0
COBL	COBL	greenyellow	protein_coding	False	0		0
CSTBP1	CSTBP1	greenyellow	processed_pseudogene	False	0		0
CTBP2P2	CTBP2P2	greenyellow	processed_pseudogene	False	0		0
CYP2C9	CYP2C9	greenyellow	protein_coding	False	0		0
CYP4Z1	CYP4Z1	greenyellow	protein_coding	False	0		0
CYP51A1P3	CYP51A1P3	greenyellow	processed_pseudogene	False	0		0
DDX20P1	DDX20P1	greenyellow	unprocessed_pseudogene	False	0		0
DPT	DPT	greenyellow	protein_coding	False	0		0
DUXAP5	DUXAP5	greenyellow	processed_pseudogene	False	0		0
EEF1A1P32	EEF1A1P32	greenyellow	unprocessed_pseudogene	False	0		0
EIF4EP5	EIF4EP5	greenyellow	processed_pseudogene	False	0		0
ELF5	ELF5	greenyellow	protein_coding	False	0		0
ENPP7P9	ENPP7P9	greenyellow	processed_pseudogene	False	0		0
ENSG00000184084	ENSG00000184084	greenyellow	processed_pseudogene	False	0		0
ENSG00000213150	ENSG00000213150	greenyellow	processed_pseudogene	False	0		0
ENSG00000214980	ENSG00000214980	greenyellow	processed_pseudogene	False	0		0
ENSG00000220105	ENSG00000220105	greenyellow	processed_pseudogene	False	0		0
ENSG00000224334	ENSG00000224334	greenyellow	processed_pseudogene	False	0		0
ENSG00000226010	ENSG00000226010	greenyellow	processed_pseudogene	False	0		0
ENSG00000226521	ENSG00000226521	greenyellow	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000228019	ENSG00000228019	greenyellow	unprocessed_pseudogene	False	0		0
ENSG00000228170	ENSG00000228170	greenyellow	lncRNA	True	0		2
ENSG00000229601	ENSG00000229601	greenyellow	processed_pseudogene	False	0		0
ENSG00000229635	ENSG00000229635	greenyellow	processed_pseudogene	False	0		0
ENSG00000233668	ENSG00000233668	greenyellow	processed_pseudogene	False	0		0
