nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
AK4P6	AK4P6	grey60	processed_pseudogene	False	1		0
AKAP14	AKAP14	grey60	protein_coding	False	0		0
ALPG	ALPG	grey60	protein_coding	False	0		0
ANKRD11P1	ANKRD11P1	grey60	processed_pseudogene	False	0		0
APOF	APOF	grey60	protein_coding	False	0		0
ARG1	ARG1	grey60	protein_coding	False	0		0
ATP1A4	ATP1A4	grey60	protein_coding	False	0		0
BCRP6	BCRP6	grey60	unprocessed_pseudogene	False	0		0
C1QTNF3-AMACR	C1QTNF3-AMACR	grey60	protein_coding	False	0		0
CALHM1	CALHM1	grey60	protein_coding	False	0		0
CALHM5	CALHM5	grey60	protein_coding	False	0		0
CCKAR	CCKAR	grey60	protein_coding	False	0		0
CES1	CES1	grey60	protein_coding	False	0		0
CGB1	CGB1	grey60	protein_coding	False	0		0
CICP5	CICP5	grey60	unprocessed_pseudogene	False	0		0
CLDN34	CLDN34	grey60	protein_coding	False	0		0
CLEC10A	CLEC10A	grey60	protein_coding	False	0		0
CYP21A1P	CYP21A1P	grey60	transcribed_unprocessed_pseudogene	False	0		0
CYP2J2	CYP2J2	grey60	protein_coding	False	0		0
CYP4F8	CYP4F8	grey60	protein_coding	False	0		0
DAB1	DAB1	grey60	protein_coding	False	0		0
DDX18P3	DDX18P3	grey60	processed_pseudogene	False	0		0
EEF1B2P7	EEF1B2P7	grey60	processed_pseudogene	False	0		0
EIF3EP2	EIF3EP2	grey60	processed_pseudogene	False	0		0
ELOA3P	ELOA3P	grey60	processed_pseudogene	False	0		0
ENSG00000213642	ENSG00000213642	grey60	processed_pseudogene	False	0		0
ENSG00000214776	ENSG00000214776	grey60	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000220130	ENSG00000220130	grey60	processed_pseudogene	False	0		0
ENSG00000225170	ENSG00000225170	grey60	processed_pseudogene	False	0		0
ENSG00000233457	ENSG00000233457	grey60	processed_pseudogene	False	0		0
ENSG00000234773	ENSG00000234773	grey60	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000235991	ENSG00000235991	grey60	unprocessed_pseudogene	False	0		0
ENSG00000236159	ENSG00000236159	grey60	processed_pseudogene	False	0		0
ENSG00000237210	ENSG00000237210	grey60	processed_pseudogene	False	0		0
ENSG00000248200	ENSG00000248200	grey60	processed_pseudogene	False	0		0
ENSG00000257489	ENSG00000257489	grey60	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000257943	ENSG00000257943	grey60	transcribed_unitary_pseudogene	False	0		0
ENSG00000258142	ENSG00000258142	grey60	processed_pseudogene	False	0		0
ENSG00000258581	ENSG00000258581	grey60	processed_pseudogene	False	0		0
ENSG00000259882	ENSG00000259882	grey60	unprocessed_pseudogene	False	0		0
ENSG00000265118	ENSG00000265118	grey60	protein_coding	False	0		0
ENSG00000269421	ENSG00000269421	grey60	unprocessed_pseudogene	False	0		0
ENSG00000271044	ENSG00000271044	grey60	processed_pseudogene	False	0		0
ENSG00000271443	ENSG00000271443	grey60	transcribed_processed_pseudogene	False	0		0
ENSG00000273597	ENSG00000273597	grey60	processed_pseudogene	False	0		0
ENSG00000276563	ENSG00000276563	grey60	processed_pseudogene	False	0		0
ENSG00000278979	ENSG00000278979	grey60	TEC	False	0		0
ENSG00000279083	ENSG00000279083	grey60	TEC	False	0		0
ENSG00000279161	ENSG00000279161	grey60	TEC	False	0		0
ENSG00000279334	ENSG00000279334	grey60	TEC	False	0		0
ENSG00000279429	ENSG00000279429	grey60	TEC	False	0		0
ENSG00000279665	ENSG00000279665	grey60	TEC	False	0		0
ENSG00000280003	ENSG00000280003	grey60	TEC	False	0		0
ENSG00000280022	ENSG00000280022	grey60	TEC	False	0		0
ENSG00000280048	ENSG00000280048	grey60	TEC	False	0		0
ENSG00000280282	ENSG00000280282	grey60	TEC	False	0		0
ENSG00000283663	ENSG00000283663	grey60	protein_coding	False	0		0
ENSG00000284540	ENSG00000284540	grey60	TEC	False	0		0
ENSG00000285777	ENSG00000285777	grey60	protein_coding	False	0		0
ENSG00000285942	ENSG00000285942	grey60	protein_coding	False	0		0
ENSG00000289758	ENSG00000289758	grey60	protein_coding	False	0		0
FAM133GP	FAM133GP	grey60	processed_pseudogene	False	0		0
FAM177A1P1	FAM177A1P1	grey60	processed_pseudogene	False	0		0
FOLR3	FOLR3	grey60	protein_coding	False	0		0
FOSL1P1	FOSL1P1	grey60	processed_pseudogene	False	0		0
FYB2	FYB2	grey60	protein_coding	False	0		0
GABRA5	GABRA5	grey60	protein_coding	False	0		0
GALNT17	GALNT17	grey60	protein_coding	False	0		0
GLB1L3	GLB1L3	grey60	protein_coding	False	0		0
GNG14	GNG14	grey60	protein_coding	False	0		0
GYPE	GYPE	grey60	protein_coding	False	0		0
H3P16	H3P16	grey60	processed_pseudogene	False	0		0
HNF1B	HNF1B	grey60	protein_coding	False	0		0
HNRNPA1P2	HNRNPA1P2	grey60	processed_pseudogene	False	0		0
HPGDS	HPGDS	grey60	protein_coding	False	0		0
HRH2	HRH2	grey60	protein_coding	False	0		0
HSPE1P10	HSPE1P10	grey60	processed_pseudogene	False	0		0
HTR4	HTR4	grey60	protein_coding	False	0		0
IGLVIVOR22-1	IGLVIVOR22-1	grey60	IG_V_pseudogene	False	0		0
IL21	IL21	grey60	protein_coding	False	0		0
INHBC	INHBC	grey60	protein_coding	False	0		0
ITGA8	ITGA8	grey60	protein_coding	False	0		0
KCNH6	KCNH6	grey60	protein_coding	False	0		0
KCTD4	KCTD4	grey60	protein_coding	False	0		0
KLHL30	KLHL30	grey60	protein_coding	False	0		0
KRT23	KRT23	grey60	protein_coding	False	0		0
KRT76	KRT76	grey60	protein_coding	False	0		0
KRT78	KRT78	grey60	protein_coding	False	0		0
KRT8P18	KRT8P18	grey60	processed_pseudogene	False	0		0
KRT8P9	KRT8P9	grey60	processed_pseudogene	False	0		0
