fromNode	toNode	weight
A2ML1	BPIFB9P	0.337028778558668
A2ML1	ENSG00000214651	0.282810922752603
A2ML1	ENSG00000223495	0.256158807672428
A2ML1	ENSG00000253273	0.299301422221274
A2ML1	RPL29P9	0.337028778558668
A2ML1	RPL36P3	0.337028778558668
A2ML1	RPL5P13	0.337028778558668
BPIFB9P	ENSG00000214651	0.282810922752603
BPIFB9P	ENSG00000223495	0.256158807672428
BPIFB9P	ENSG00000253273	0.299301422221274
BPIFB9P	RPL29P9	0.337028778558668
BPIFB9P	RPL36P3	0.337028778558668
BPIFB9P	RPL5P13	0.337028778558668
ENSG00000214651	RPL29P9	0.282810922752603
ENSG00000214651	RPL36P3	0.282810922752603
ENSG00000214651	RPL5P13	0.282810922752603
ENSG00000223495	RPL29P9	0.256158807672428
ENSG00000223495	RPL36P3	0.256158807672428
ENSG00000223495	RPL5P13	0.256158807672428
ENSG00000253273	RPL29P9	0.299301422221274
ENSG00000253273	RPL36P3	0.299301422221274
ENSG00000253273	RPL5P13	0.299301422221274
RPL29P9	RPL36P3	0.337028778558668
RPL29P9	RPL5P13	0.337028778558668
RPL36P3	RPL5P13	0.337028778558668
