nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ADAMTS20	ADAMTS20	lightcyan1	protein_coding	False	1	Organização da matriz extracelular	0
ADAMTS7P3	ADAMTS7P3	lightcyan1	transcribed_unprocessed_pseudogene	False	0		0
AIM2	AIM2	lightcyan1	protein_coding	False	0		0
BANK1	BANK1	lightcyan1	protein_coding	False	0		0
COX5BP7	COX5BP7	lightcyan1	processed_pseudogene	False	0		0
DPPA5P4	DPPA5P4	lightcyan1	processed_pseudogene	False	0		0
ENSG00000218757	ENSG00000218757	lightcyan1	processed_pseudogene	False	0		0
ENSG00000224067	ENSG00000224067	lightcyan1	processed_pseudogene	False	0		0
ENSG00000227910	ENSG00000227910	lightcyan1	transcribed_processed_pseudogene	False	0		0
ENSG00000228181	ENSG00000228181	lightcyan1	processed_pseudogene	False	0		0
ENSG00000229505	ENSG00000229505	lightcyan1	processed_pseudogene	False	0		0
ENSG00000236274	ENSG00000236274	lightcyan1	processed_pseudogene	False	0		0
ENSG00000237308	ENSG00000237308	lightcyan1	processed_pseudogene	False	0		0
ENSG00000239719	ENSG00000239719	lightcyan1	processed_pseudogene	False	0		0
ENSG00000249006	ENSG00000249006	lightcyan1	processed_pseudogene	False	0		0
ENSG00000255459	ENSG00000255459	lightcyan1	processed_pseudogene	False	0		0
ENSG00000257403	ENSG00000257403	lightcyan1	unprocessed_pseudogene	False	0		0
ENSG00000261774	ENSG00000261774	lightcyan1	processed_pseudogene	False	0		0
ENSG00000263189	ENSG00000263189	lightcyan1	processed_pseudogene	False	0		0
ENSG00000265784	ENSG00000265784	lightcyan1	lncRNA	True	0		2
ENSG00000267370	ENSG00000267370	lightcyan1	unprocessed_pseudogene	False	0		0
ENSG00000271681	ENSG00000271681	lightcyan1	processed_pseudogene	False	0		0
ENSG00000279925	ENSG00000279925	lightcyan1	TEC	False	0		0
ENSG00000280013	ENSG00000280013	lightcyan1	artifact	False	0		0
ENSG00000281969	ENSG00000281969	lightcyan1	TEC	False	0		0
ENSG00000286078	ENSG00000286078	lightcyan1	lncRNA	True	0		2
FOXL1	FOXL1	lightcyan1	protein_coding	False	0		0
GALNT8	GALNT8	lightcyan1	protein_coding	False	0		0
GOLGA2P7	GOLGA2P7	lightcyan1	transcribed_unprocessed_pseudogene	False	0		0
GPR160P1	GPR160P1	lightcyan1	processed_pseudogene	False	0		0
H1-8P1	H1-8P1	lightcyan1	processed_pseudogene	False	0		0
HES3	HES3	lightcyan1	protein_coding	False	0		0
KLK4	KLK4	lightcyan1	protein_coding	False	0		0
MED28P3	MED28P3	lightcyan1	processed_pseudogene	False	0		0
MMRN1	MMRN1	lightcyan1	protein_coding	False	0		0
MTCO3P11	MTCO3P11	lightcyan1	unprocessed_pseudogene	False	0		0
NANOGP9	NANOGP9	lightcyan1	processed_pseudogene	False	0		0
NLRP2	NLRP2	lightcyan1	protein_coding	False	0		0
NOS2P4	NOS2P4	lightcyan1	processed_pseudogene	False	0		0
NPM1P34	NPM1P34	lightcyan1	processed_pseudogene	False	0		0
OR5BT1P	OR5BT1P	lightcyan1	unprocessed_pseudogene	False	0		0
OR8B5P	OR8B5P	lightcyan1	unprocessed_pseudogene	False	0		0
OSTN	OSTN	lightcyan1	protein_coding	False	0		0
PAK5	PAK5	lightcyan1	protein_coding	False	0		0
PCDHA5	PCDHA5	lightcyan1	protein_coding	False	0		0
PCMTD1P7	PCMTD1P7	lightcyan1	unprocessed_pseudogene	False	0		0
PLD5	PLD5	lightcyan1	protein_coding	False	0		0
RHOG2P	RHOG2P	lightcyan1	processed_pseudogene	False	0		0
RN7SL242P	RN7SL242P	lightcyan1	misc_RNA	False	0		0
RN7SL605P	RN7SL605P	lightcyan1	misc_RNA	False	0		0
RNVU1-4	RNVU1-4	lightcyan1	snRNA	False	0		0
RORC	RORC	lightcyan1	protein_coding	False	0		0
RPL12P32	RPL12P32	lightcyan1	processed_pseudogene	False	0		0
RPL26P13	RPL26P13	lightcyan1	processed_pseudogene	False	0		0
RPL6P6	RPL6P6	lightcyan1	processed_pseudogene	False	0		0
RPL7AP28	RPL7AP28	lightcyan1	processed_pseudogene	False	0		0
RPS4XP10	RPS4XP10	lightcyan1	processed_pseudogene	False	0		0
SDHDP2	SDHDP2	lightcyan1	processed_pseudogene	False	0		0
TBC1D3E	TBC1D3E	lightcyan1	protein_coding	False	0		0
TEX11	TEX11	lightcyan1	protein_coding	False	0		0
UBE2D3P4	UBE2D3P4	lightcyan1	processed_pseudogene	False	0		0
UQCRHP2	UQCRHP2	lightcyan1	processed_pseudogene	False	0		0
ZNF859P	ZNF859P	lightcyan1	unprocessed_pseudogene	False	0		0
