nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACTBP12	ACTBP12	lightcyan	processed_pseudogene	False	1		0
AKR1B1P1	AKR1B1P1	lightcyan	processed_pseudogene	False	0		0
AMY1A	AMY1A	lightcyan	protein_coding	False	0		0
AMY1B	AMY1B	lightcyan	protein_coding	False	0		0
ANKK1	ANKK1	lightcyan	protein_coding	False	0		0
APOBEC3H	APOBEC3H	lightcyan	protein_coding	False	0		0
ARHGEF35	ARHGEF35	lightcyan	protein_coding	False	0		0
ASPG	ASPG	lightcyan	protein_coding	False	0		0
BSND	BSND	lightcyan	protein_coding	False	0		0
C9orf57	C9orf57	lightcyan	protein_coding	False	0		0
CABP1	CABP1	lightcyan	protein_coding	False	0		0
CABP4	CABP4	lightcyan	protein_coding	False	0		0
CAPN14	CAPN14	lightcyan	protein_coding	False	0		0
CAPN8	CAPN8	lightcyan	protein_coding	False	0		0
CCDC170	CCDC170	lightcyan	protein_coding	False	0		0
CCL27	CCL27	lightcyan	protein_coding	False	0		0
CCNYL5	CCNYL5	lightcyan	processed_pseudogene	False	0		0
CD5	CD5	lightcyan	protein_coding	False	0		0
CDH12P4	CDH12P4	lightcyan	unprocessed_pseudogene	False	0		0
CDRT15P12	CDRT15P12	lightcyan	unprocessed_pseudogene	False	0		0
CHRNA6	CHRNA6	lightcyan	protein_coding	False	0		0
CLPSL1	CLPSL1	lightcyan	protein_coding	False	0		0
CLRN1	CLRN1	lightcyan	protein_coding	False	0		0
COL22A1	COL22A1	lightcyan	protein_coding	False	0		0
COL6A4P2	COL6A4P2	lightcyan	transcribed_unitary_pseudogene	False	0		0
COX5BP4	COX5BP4	lightcyan	processed_pseudogene	False	0		0
COX5BP6	COX5BP6	lightcyan	processed_pseudogene	False	0		0
CSNKA2IP	CSNKA2IP	lightcyan	protein_coding	False	0		0
CT45A10	CT45A10	lightcyan	protein_coding	False	0		0
CTCFL	CTCFL	lightcyan	protein_coding	False	0		0
DSCAML1	DSCAML1	lightcyan	protein_coding	False	0		0
DUSP8P1	DUSP8P1	lightcyan	processed_pseudogene	False	0		0
DUX4L16	DUX4L16	lightcyan	unprocessed_pseudogene	False	0		0
EEF1A1P36	EEF1A1P36	lightcyan	processed_pseudogene	False	0		0
EEF1E1P1	EEF1E1P1	lightcyan	processed_pseudogene	False	0		0
EEF1GP2	EEF1GP2	lightcyan	processed_pseudogene	False	0		0
EFCAB15P	EFCAB15P	lightcyan	transcribed_unitary_pseudogene	False	0		0
ENSG00000203262	ENSG00000203262	lightcyan	processed_pseudogene	False	0		0
