nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABCA15P	ABCA15P	lightgreen	transcribed_unitary_pseudogene	False	0		0
ADH1A	ADH1A	lightgreen	protein_coding	False	0		0
AGR2	AGR2	lightgreen	protein_coding	False	0		0
APOB	APOB	lightgreen	protein_coding	False	0		0
AQP2	AQP2	lightgreen	protein_coding	False	0		0
ARHGAP28	ARHGAP28	lightgreen	protein_coding	False	0		0
ARL11	ARL11	lightgreen	protein_coding	False	0		0
ARL8BP1	ARL8BP1	lightgreen	processed_pseudogene	False	0		0
ATP5F1AP10	ATP5F1AP10	lightgreen	processed_pseudogene	False	0		0
ATP5F1AP2	ATP5F1AP2	lightgreen	transcribed_processed_pseudogene	False	0		0
ATP6V1G1P2	ATP6V1G1P2	lightgreen	processed_pseudogene	False	0		0
ATP9B	ATP9B	lightgreen	protein_coding	False	0		0
AVPR1A	AVPR1A	lightgreen	protein_coding	False	0		0
BHLHE23	BHLHE23	lightgreen	protein_coding	False	0		0
BLOC1S5-TXNDC5	BLOC1S5-TXNDC5	lightgreen	protein_coding	False	0		0
CACYBPP1	CACYBPP1	lightgreen	processed_pseudogene	False	0		0
CEACAM5	CEACAM5	lightgreen	protein_coding	False	0		0
CEACAMP9	CEACAMP9	lightgreen	unprocessed_pseudogene	False	0		0
CICP21	CICP21	lightgreen	processed_pseudogene	False	0		0
CICP8	CICP8	lightgreen	processed_pseudogene	False	0		0
CLEC17A	CLEC17A	lightgreen	protein_coding	False	0		0
CNOT7P2	CNOT7P2	lightgreen	processed_pseudogene	False	0		0
CTLA4	CTLA4	lightgreen	protein_coding	False	0		0
CYP2T3P	CYP2T3P	lightgreen	unprocessed_pseudogene	False	0		0
CYSLTR2	CYSLTR2	lightgreen	protein_coding	False	0		0
DNASE2B	DNASE2B	lightgreen	protein_coding	False	0		0
DSG4	DSG4	lightgreen	protein_coding	False	0		0
EFCAB9	EFCAB9	lightgreen	protein_coding	False	0		0
ENSG00000205625	ENSG00000205625	lightgreen	processed_pseudogene	False	0		0
ENSG00000220920	ENSG00000220920	lightgreen	unprocessed_pseudogene	False	0		0
ENSG00000226429	ENSG00000226429	lightgreen	unprocessed_pseudogene	False	0		0
ENSG00000227813	ENSG00000227813	lightgreen	processed_pseudogene	False	0		0
ENSG00000228076	ENSG00000228076	lightgreen	processed_pseudogene	False	0		0
ENSG00000229519	ENSG00000229519	lightgreen	processed_pseudogene	False	0		0
ENSG00000230932	ENSG00000230932	lightgreen	processed_pseudogene	False	0		0
ENSG00000232175	ENSG00000232175	lightgreen	processed_pseudogene	False	0		0
ENSG00000234282	ENSG00000234282	lightgreen	unprocessed_pseudogene	False	0		0
ENSG00000234424	ENSG00000234424	lightgreen	unprocessed_pseudogene	False	0		0
ENSG00000235002	ENSG00000235002	lightgreen	processed_pseudogene	False	0		0
ENSG00000248863	ENSG00000248863	lightgreen	transcribed_processed_pseudogene	False	0		0
ENSG00000260410	ENSG00000260410	lightgreen	processed_pseudogene	False	0		0
ENSG00000260482	ENSG00000260482	lightgreen	lncRNA	True	0		2
ENSG00000267110	ENSG00000267110	lightgreen	protein_coding	False	0		0
ENSG00000267385	ENSG00000267385	lightgreen	protein_coding	False	0		0
ENSG00000269765	ENSG00000269765	lightgreen	unprocessed_pseudogene	False	0		0
ENSG00000270166	ENSG00000270166	lightgreen	processed_pseudogene	False	0		0
ENSG00000272383	ENSG00000272383	lightgreen	processed_pseudogene	False	0		0
ENSG00000272407	ENSG00000272407	lightgreen	transcribed_processed_pseudogene	False	0		0
ENSG00000275860	ENSG00000275860	lightgreen	unprocessed_pseudogene	False	0		0
ENSG00000278212	ENSG00000278212	lightgreen	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000279357	ENSG00000279357	lightgreen	TEC	False	0		0
ENSG00000279394	ENSG00000279394	lightgreen	TEC	False	0		0
ENSG00000280852	ENSG00000280852	lightgreen	transcribed_processed_pseudogene	False	0		0
ENSG00000283196	ENSG00000283196	lightgreen	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000285625	ENSG00000285625	lightgreen	protein_coding	False	0		0
ENSG00000285868	ENSG00000285868	lightgreen	protein_coding	False	0		0
EPGN	EPGN	lightgreen	protein_coding	False	0		0
FAM90A1	FAM90A1	lightgreen	protein_coding	False	0		0
FAM90A5	FAM90A5	lightgreen	protein_coding	False	0		0
