nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACER1	ACER1	lightsteelblue1	protein_coding	False	1	Processo biossintético da esfingosina e catabólico de ceramida	0
ADAMTS19	ADAMTS19	lightsteelblue1	protein_coding	False	0		0
C4BPB	C4BPB	lightsteelblue1	protein_coding	False	0		0
CAPZA1P4	CAPZA1P4	lightsteelblue1	processed_pseudogene	False	0		0
CNDP1	CNDP1	lightsteelblue1	protein_coding	False	0		0
CSPG4BP	CSPG4BP	lightsteelblue1	unitary_pseudogene	False	0		0
CTSE	CTSE	lightsteelblue1	protein_coding	False	0		0
DACT2	DACT2	lightsteelblue1	protein_coding	False	0		0
DAP3P1	DAP3P1	lightsteelblue1	unprocessed_pseudogene	False	0		0
DNAJA1P2	DNAJA1P2	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000217334	ENSG00000217334	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000219553	ENSG00000219553	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000225344	ENSG00000225344	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000225568	ENSG00000225568	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000235267	ENSG00000235267	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000244281	ENSG00000244281	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000250725	ENSG00000250725	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000255489	ENSG00000255489	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000258230	ENSG00000258230	lightsteelblue1	transcribed_processed_pseudogene	False	0		0
ENSG00000269274	ENSG00000269274	lightsteelblue1	unprocessed_pseudogene	False	0		0
ENSG00000269761	ENSG00000269761	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000270249	ENSG00000270249	lightsteelblue1	protein_coding	False	0		0
ENSG00000274717	ENSG00000274717	lightsteelblue1	processed_pseudogene	False	0		0
ENSG00000277922	ENSG00000277922	lightsteelblue1	misc_RNA	False	0		0
ENSG00000279122	ENSG00000279122	lightsteelblue1	TEC	False	0		0
ENSG00000279373	ENSG00000279373	lightsteelblue1	TEC	False	0		0
