nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABCB10P4	ABCB10P4	lightyellow	processed_pseudogene	False	0		0
AKTIPP1	AKTIPP1	lightyellow	processed_pseudogene	False	0		0
ANKRD18CP	ANKRD18CP	lightyellow	unprocessed_pseudogene	False	0		0
ATP5MC2P2	ATP5MC2P2	lightyellow	processed_pseudogene	False	0		0
BNIP3P23	BNIP3P23	lightyellow	processed_pseudogene	False	0		0
BTF3P7	BTF3P7	lightyellow	processed_pseudogene	False	0		0
C22orf31	C22orf31	lightyellow	protein_coding	False	0		0
C8orf89	C8orf89	lightyellow	protein_coding	False	0		0
CACYBPP3	CACYBPP3	lightyellow	processed_pseudogene	False	0		0
CCL18	CCL18	lightyellow	protein_coding	False	0		0
CLIC1P1	CLIC1P1	lightyellow	processed_pseudogene	False	0		0
CRX	CRX	lightyellow	protein_coding	False	0		0
CTDNEP1P2	CTDNEP1P2	lightyellow	processed_pseudogene	False	0		0
EIF4E1B	EIF4E1B	lightyellow	protein_coding	False	0		0
ELOA3CP	ELOA3CP	lightyellow	transcribed_processed_pseudogene	False	0		0
ENPP6	ENPP6	lightyellow	protein_coding	False	0		0
ENSG00000180803	ENSG00000180803	lightyellow	processed_pseudogene	False	0		0
ENSG00000213727	ENSG00000213727	lightyellow	processed_pseudogene	False	0		0
ENSG00000214144	ENSG00000214144	lightyellow	processed_pseudogene	False	0		0
ENSG00000218732	ENSG00000218732	lightyellow	processed_pseudogene	False	0		0
ENSG00000224931	ENSG00000224931	lightyellow	processed_pseudogene	False	0		0
ENSG00000225681	ENSG00000225681	lightyellow	transcribed_processed_pseudogene	False	0		0
ENSG00000227775	ENSG00000227775	lightyellow	transcribed_processed_pseudogene	False	0		0
ENSG00000227948	ENSG00000227948	lightyellow	processed_pseudogene	False	0		0
ENSG00000229985	ENSG00000229985	lightyellow	processed_pseudogene	False	0		0
ENSG00000230607	ENSG00000230607	lightyellow	processed_pseudogene	False	0		0
ENSG00000231207	ENSG00000231207	lightyellow	processed_pseudogene	False	0		0
ENSG00000233275	ENSG00000233275	lightyellow	processed_pseudogene	False	0		0
ENSG00000235377	ENSG00000235377	lightyellow	processed_pseudogene	False	0		0
ENSG00000239622	ENSG00000239622	lightyellow	processed_pseudogene	False	0		0
ENSG00000250979	ENSG00000250979	lightyellow	unprocessed_pseudogene	False	0		0
ENSG00000259502	ENSG00000259502	lightyellow	processed_pseudogene	False	0		0
ENSG00000260784	ENSG00000260784	lightyellow	unprocessed_pseudogene	False	0		0
ENSG00000263369	ENSG00000263369	lightyellow	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000265437	ENSG00000265437	lightyellow	processed_pseudogene	False	0		0
ENSG00000266373	ENSG00000266373	lightyellow	processed_pseudogene	False	0		0
ENSG00000270521	ENSG00000270521	lightyellow	processed_pseudogene	False	0		0
ENSG00000271047	ENSG00000271047	lightyellow	processed_pseudogene	False	0		0
ENSG00000272741	ENSG00000272741	lightyellow	protein_coding	False	0		0
ENSG00000275540	ENSG00000275540	lightyellow	unprocessed_pseudogene	False	0		0
ENSG00000278594	ENSG00000278594	lightyellow	processed_pseudogene	False	0		0
ENSG00000279595	ENSG00000279595	lightyellow	TEC	False	0		0
ENSG00000285629	ENSG00000285629	lightyellow	protein_coding	False	0		0
ENSG00000285839	ENSG00000285839	lightyellow	protein_coding	False	0		0
ENSG00000286620	ENSG00000286620	lightyellow	TEC	False	0		0
ENSG00000293183	ENSG00000293183	lightyellow	lncRNA	True	0		2
EPX	EPX	lightyellow	protein_coding	False	0		0
ERBB4	ERBB4	lightyellow	protein_coding	False	0		0
FAM110C	FAM110C	lightyellow	protein_coding	False	0		0
FETUB	FETUB	lightyellow	protein_coding	False	0		0
FNTAP2	FNTAP2	lightyellow	processed_pseudogene	False	0		0
FTH1P22	FTH1P22	lightyellow	processed_pseudogene	False	0		0
GIMAP4	GIMAP4	lightyellow	protein_coding	False	0		0
GPR152	GPR152	lightyellow	protein_coding	False	0		0
GUSBP7	GUSBP7	lightyellow	unprocessed_pseudogene	False	0		0
H2BP3	H2BP3	lightyellow	processed_pseudogene	False	0		0
HIKESHIP3	HIKESHIP3	lightyellow	processed_pseudogene	False	0		0
HMGB1P41	HMGB1P41	lightyellow	processed_pseudogene	False	0		0
HMGN1P2	HMGN1P2	lightyellow	processed_pseudogene	False	0		0
HMGN2P32	HMGN2P32	lightyellow	processed_pseudogene	False	0		0
HNRNPA1P24	HNRNPA1P24	lightyellow	processed_pseudogene	False	0		0
HNRNPA1P28	HNRNPA1P28	lightyellow	processed_pseudogene	False	0		0
HNRNPA1P43	HNRNPA1P43	lightyellow	processed_pseudogene	False	0		0
HNRNPA1P74	HNRNPA1P74	lightyellow	processed_pseudogene	False	0		0
HSPE1P13	HSPE1P13	lightyellow	processed_pseudogene	False	0		0
IGBP1P4	IGBP1P4	lightyellow	processed_pseudogene	False	0		0
IGKV1OR2-108	IGKV1OR2-108	lightyellow	IG_V_gene	False	0		0
IGKV1OR9-2	IGKV1OR9-2	lightyellow	IG_V_pseudogene	False	0		0
IL1RAPL1	IL1RAPL1	lightyellow	protein_coding	False	0		0
KRT18P16	KRT18P16	lightyellow	processed_pseudogene	False	0		0
KRT18P25	KRT18P25	lightyellow	processed_pseudogene	False	0		0
KRT8P35	KRT8P35	lightyellow	processed_pseudogene	False	0		0
LIMS3	LIMS3	lightyellow	protein_coding	False	0		0
LIPM	LIPM	lightyellow	protein_coding	False	0		0
MAGEA4	MAGEA4	lightyellow	protein_coding	False	0		0
MAP2K1P1	MAP2K1P1	lightyellow	processed_pseudogene	False	0		0
MESTP4	MESTP4	lightyellow	processed_pseudogene	False	0		0
MROH3P	MROH3P	lightyellow	transcribed_unitary_pseudogene	False	0		0
MTCO1P14	MTCO1P14	lightyellow	processed_pseudogene	False	0		0
MTCO1P15	MTCO1P15	lightyellow	processed_pseudogene	False	0		0
MTHFD2P6	MTHFD2P6	lightyellow	processed_pseudogene	False	0		0
MTND1P36	MTND1P36	lightyellow	processed_pseudogene	False	0		0
NAIPP3	NAIPP3	lightyellow	transcribed_unprocessed_pseudogene	False	0		0
NANOGP7	NANOGP7	lightyellow	transcribed_processed_pseudogene	False	0		0
NBPF5P	NBPF5P	lightyellow	transcribed_unprocessed_pseudogene	False	0		0
NKX1-1	NKX1-1	lightyellow	protein_coding	False	0		0
NPAP1L	NPAP1L	lightyellow	unprocessed_pseudogene	False	0		0
NRXN1	NRXN1	lightyellow	protein_coding	False	0		0
NT5C3AP1	NT5C3AP1	lightyellow	transcribed_processed_pseudogene	False	0		0
NUDT19P5	NUDT19P5	lightyellow	processed_pseudogene	False	0		0
OASL2P	OASL2P	lightyellow	unitary_pseudogene	False	0		0
OPALIN	OPALIN	lightyellow	protein_coding	False	0		0
OR52B6	OR52B6	lightyellow	protein_coding	False	0		0
PAICSP5	PAICSP5	lightyellow	processed_pseudogene	False	0		0
PDCL3P5	PDCL3P5	lightyellow	processed_pseudogene	False	0		0
PDE4DIPP10	PDE4DIPP10	lightyellow	unprocessed_pseudogene	False	0		0
PDE6H	PDE6H	lightyellow	protein_coding	False	0		0
PGA4	PGA4	lightyellow	protein_coding	False	0		0
PGAM1P10	PGAM1P10	lightyellow	processed_pseudogene	False	0		0
PHB1P21	PHB1P21	lightyellow	processed_pseudogene	False	0		0
POU2AF1	POU2AF1	lightyellow	protein_coding	False	0		0
PRR13P4	PRR13P4	lightyellow	processed_pseudogene	False	0		0
RAET1L	RAET1L	lightyellow	protein_coding	False	0		0
RGS22	RGS22	lightyellow	protein_coding	False	0		0
RHBDF1P1	RHBDF1P1	lightyellow	processed_pseudogene	False	0		0
RLIMP1	RLIMP1	lightyellow	processed_pseudogene	False	0		0
RN7SKP55	RN7SKP55	lightyellow	misc_RNA	False	0		0
RN7SL200P	RN7SL200P	lightyellow	misc_RNA	False	0		0
RN7SL328P	RN7SL328P	lightyellow	misc_RNA	False	0		0
RN7SL368P	RN7SL368P	lightyellow	misc_RNA	False	0		0
RN7SL419P	RN7SL419P	lightyellow	misc_RNA	False	0		0
RN7SL503P	RN7SL503P	lightyellow	misc_RNA	False	0		0
RN7SL778P	RN7SL778P	lightyellow	misc_RNA	False	0		0
RN7SL815P	RN7SL815P	lightyellow	misc_RNA	False	0		0
RNY1P16	RNY1P16	lightyellow	misc_RNA	False	0		0
RPA3P1	RPA3P1	lightyellow	processed_pseudogene	False	0		0
RPL18AP8	RPL18AP8	lightyellow	processed_pseudogene	False	0		0
RPL21P65	RPL21P65	lightyellow	processed_pseudogene	False	0		0
RPL22P18	RPL22P18	lightyellow	processed_pseudogene	False	0		0
RPL23AP70	RPL23AP70	lightyellow	processed_pseudogene	False	0		0
RPL26P26	RPL26P26	lightyellow	processed_pseudogene	False	0		0
RPL29P18	RPL29P18	lightyellow	processed_pseudogene	False	0		0
RPL31P13	RPL31P13	lightyellow	processed_pseudogene	False	0		0
RPL31P21	RPL31P21	lightyellow	processed_pseudogene	False	0		0
RPL31P6	RPL31P6	lightyellow	processed_pseudogene	False	0		0
RPL34P1	RPL34P1	lightyellow	processed_pseudogene	False	0		0
RPL35AP35	RPL35AP35	lightyellow	processed_pseudogene	False	0		0
RPL36AP29	RPL36AP29	lightyellow	processed_pseudogene	False	0		0
RPL36AP49	RPL36AP49	lightyellow	processed_pseudogene	False	0		0
RPL5P32	RPL5P32	lightyellow	processed_pseudogene	False	0		0
RPL7AP77	RPL7AP77	lightyellow	processed_pseudogene	False	0		0
RPL7P20	RPL7P20	lightyellow	processed_pseudogene	False	0		0
RPL7P33	RPL7P33	lightyellow	processed_pseudogene	False	0		0
RPS25P7	RPS25P7	lightyellow	processed_pseudogene	False	0		0
RPS26P8	RPS26P8	lightyellow	processed_pseudogene	False	0		0
RPS2P24	RPS2P24	lightyellow	processed_pseudogene	False	0		0
RPS4XP20	RPS4XP20	lightyellow	processed_pseudogene	False	0		0
RPSAP39	RPSAP39	lightyellow	processed_pseudogene	False	0		0
RPSAP55	RPSAP55	lightyellow	processed_pseudogene	False	0		0
SAMSN1	SAMSN1	lightyellow	protein_coding	False	0		0
SCAND3	SCAND3	lightyellow	protein_coding	False	0		0
SELENOKP2	SELENOKP2	lightyellow	processed_pseudogene	False	0		0
