nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
AMBP	AMBP	mediumpurple3	protein_coding	False	0		0
APOL5	APOL5	mediumpurple3	protein_coding	False	1		0
ATP10B	ATP10B	mediumpurple3	protein_coding	False	0		0
AVPR1B	AVPR1B	mediumpurple3	protein_coding	False	0		0
C16orf90	C16orf90	mediumpurple3	protein_coding	False	0		0
C1orf87	C1orf87	mediumpurple3	protein_coding	False	0		0
CD19	CD19	mediumpurple3	protein_coding	False	0		0
CD96	CD96	mediumpurple3	protein_coding	False	0		0
CDH5	CDH5	mediumpurple3	protein_coding	False	0		0
CEP192P1	CEP192P1	mediumpurple3	transcribed_unprocessed_pseudogene	False	0		0
COLEC10	COLEC10	mediumpurple3	protein_coding	False	0		0
CRNN	CRNN	mediumpurple3	protein_coding	False	0		0
CT47C1	CT47C1	mediumpurple3	protein_coding	False	0		0
CYCSP7	CYCSP7	mediumpurple3	processed_pseudogene	False	0		0
DBIP2	DBIP2	mediumpurple3	processed_pseudogene	False	0		0
DPPA4	DPPA4	mediumpurple3	protein_coding	False	0		0
EEF1A1P23	EEF1A1P23	mediumpurple3	transcribed_processed_pseudogene	False	0		0
EFCAB14P1	EFCAB14P1	mediumpurple3	processed_pseudogene	False	0		0
EIF3LP3	EIF3LP3	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000213204	ENSG00000213204	mediumpurple3	protein_coding	False	0		0
ENSG00000225864	ENSG00000225864	mediumpurple3	unprocessed_pseudogene	False	0		0
ENSG00000227836	ENSG00000227836	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000229858	ENSG00000229858	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000234271	ENSG00000234271	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000234521	ENSG00000234521	mediumpurple3	transcribed_unitary_pseudogene	False	0		0
ENSG00000236941	ENSG00000236941	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000240296	ENSG00000240296	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000248967	ENSG00000248967	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000249237	ENSG00000249237	mediumpurple3	transcribed_unitary_pseudogene	False	0		0
ENSG00000250769	ENSG00000250769	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000255074	ENSG00000255074	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000255870	ENSG00000255870	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000258750	ENSG00000258750	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000259286	ENSG00000259286	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000260211	ENSG00000260211	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000263733	ENSG00000263733	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000267173	ENSG00000267173	mediumpurple3	protein_coding	False	0		0
ENSG00000270764	ENSG00000270764	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000271253	ENSG00000271253	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000273712	ENSG00000273712	mediumpurple3	processed_pseudogene	False	0		0
ENSG00000273734	ENSG00000273734	mediumpurple3	protein_coding	False	0		0
ENSG00000274666	ENSG00000274666	mediumpurple3	unprocessed_pseudogene	False	0		0
ENSG00000279889	ENSG00000279889	mediumpurple3	TEC	False	0		0
ENSG00000280190	ENSG00000280190	mediumpurple3	TEC	False	0		0
ENSG00000280234	ENSG00000280234	mediumpurple3	TEC	False	0		0
ENSG00000283393	ENSG00000283393	mediumpurple3	processed_pseudogene	False	0		0
FGF20	FGF20	mediumpurple3	protein_coding	False	0		0
FOXD4L3	FOXD4L3	mediumpurple3	protein_coding	False	0		0
FRG2B	FRG2B	mediumpurple3	protein_coding	False	0		0
GOLGA8S	GOLGA8S	mediumpurple3	protein_coding	False	0		0
