nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ADAM20	ADAM20	midnightblue	protein_coding	False	0		0
AHCYP2	AHCYP2	midnightblue	processed_pseudogene	False	0		0
ALAS2	ALAS2	midnightblue	protein_coding	False	0		0
APOC4	APOC4	midnightblue	protein_coding	False	1	homeostase dos triglicerídeos; regulação positiva do sequestro de triglicerídeos	0
AQP8	AQP8	midnightblue	protein_coding	False	0		0
ARHGEF34P	ARHGEF34P	midnightblue	unprocessed_pseudogene	False	0		0
ASLP1	ASLP1	midnightblue	unprocessed_pseudogene	False	0		0
ASTN1	ASTN1	midnightblue	protein_coding	False	0		0
C3orf49	C3orf49	midnightblue	protein_coding	False	0		0
CATSPERB	CATSPERB	midnightblue	protein_coding	False	0		0
CCR2	CCR2	midnightblue	protein_coding	False	0		0
CELA2A	CELA2A	midnightblue	protein_coding	False	0		0
CELF6	CELF6	midnightblue	protein_coding	False	0		0
CHRNA2	CHRNA2	midnightblue	protein_coding	False	0		0
CHRND	CHRND	midnightblue	protein_coding	False	0		0
CICP28	CICP28	midnightblue	processed_pseudogene	False	0		0
CKAP2P1	CKAP2P1	midnightblue	processed_pseudogene	False	0		0
CTDSPL2P2	CTDSPL2P2	midnightblue	processed_pseudogene	False	0		0
CXorf49	CXorf49	midnightblue	protein_coding	False	0		0
CYBB	CYBB	midnightblue	protein_coding	False	0		0
CYLC1	CYLC1	midnightblue	protein_coding	False	0		0
DBIL5P	DBIL5P	midnightblue	transcribed_unitary_pseudogene	False	0		0
DGAT2L6	DGAT2L6	midnightblue	protein_coding	False	0		0
DNAH9	DNAH9	midnightblue	protein_coding	False	0		0
DPRXP4	DPRXP4	midnightblue	processed_pseudogene	False	0		0
DSPP	DSPP	midnightblue	protein_coding	False	0		0
E2F3P2	E2F3P2	midnightblue	processed_pseudogene	False	0		0
ECE2	ECE2	midnightblue	protein_coding	False	0		0
EEF1A1P18	EEF1A1P18	midnightblue	processed_pseudogene	False	0		0
EEF1DP3	EEF1DP3	midnightblue	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000178836	ENSG00000178836	midnightblue	transcribed_processed_pseudogene	False	0		0
ENSG00000213328	ENSG00000213328	midnightblue	processed_pseudogene	False	0		0
ENSG00000220349	ENSG00000220349	midnightblue	processed_pseudogene	False	0		0
ENSG00000225931	ENSG00000225931	midnightblue	TEC	False	0		0
ENSG00000228463	ENSG00000228463	midnightblue	transcribed_processed_pseudogene	False	0		0
ENSG00000229110	ENSG00000229110	midnightblue	processed_pseudogene	False	0		0
ENSG00000233511	ENSG00000233511	midnightblue	processed_pseudogene	False	0		0
ENSG00000233586	ENSG00000233586	midnightblue	processed_pseudogene	False	0		0
ENSG00000234713	ENSG00000234713	midnightblue	processed_pseudogene	False	0		0
ENSG00000243695	ENSG00000243695	midnightblue	processed_pseudogene	False	0		0
ENSG00000244251	ENSG00000244251	midnightblue	processed_pseudogene	False	0		0
ENSG00000248769	ENSG00000248769	midnightblue	unprocessed_pseudogene	False	0		0
ENSG00000250678	ENSG00000250678	midnightblue	processed_pseudogene	False	0		0
ENSG00000251112	ENSG00000251112	midnightblue	processed_pseudogene	False	0		0
ENSG00000256350	ENSG00000256350	midnightblue	unprocessed_pseudogene	False	0		0
