nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ADH1C	ADH1C	orange	protein_coding	False	0		0
ANKRD20A7P	ANKRD20A7P	orange	transcribed_unprocessed_pseudogene	False	0		0
ASPRV1	ASPRV1	orange	protein_coding	False	0		0
BFSP2	BFSP2	orange	protein_coding	False	1		0
BMS1P8	BMS1P8	orange	transcribed_unprocessed_pseudogene	False	0		0
C10orf53	C10orf53	orange	protein_coding	False	0		0
C2orf78	C2orf78	orange	protein_coding	False	0		0
CDRT15P6	CDRT15P6	orange	transcribed_unprocessed_pseudogene	False	0		0
CEP57L1P1	CEP57L1P1	orange	processed_pseudogene	False	0		0
CGB3	CGB3	orange	protein_coding	False	0		0
CGB5	CGB5	orange	protein_coding	False	0		0
CHORDC1P3	CHORDC1P3	orange	processed_pseudogene	False	0		0
CHRFAM7A	CHRFAM7A	orange	protein_coding	False	0		0
CNGB3	CNGB3	orange	protein_coding	False	0		0
CSAG3	CSAG3	orange	protein_coding	False	0		0
CT55	CT55	orange	protein_coding	False	0		0
CTAGE13P	CTAGE13P	orange	processed_pseudogene	False	0		0
CXCL9	CXCL9	orange	protein_coding	False	0		0
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P	orange	protein_coding	False	0		0
DLGAP5P2	DLGAP5P2	orange	processed_pseudogene	False	0		0
DNASE1L3	DNASE1L3	orange	protein_coding	False	0		0
DSG1	DSG1	orange	protein_coding	False	0		0
DYNLT3P2	DYNLT3P2	orange	processed_pseudogene	False	0		0
EEF1GP8	EEF1GP8	orange	processed_pseudogene	False	0		0
ENSG00000177359	ENSG00000177359	orange	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000197376	ENSG00000197376	orange	transcribed_processed_pseudogene	False	0		0
ENSG00000218274	ENSG00000218274	orange	unprocessed_pseudogene	False	0		0
ENSG00000218813	ENSG00000218813	orange	processed_pseudogene	False	0		0
ENSG00000225333	ENSG00000225333	orange	processed_pseudogene	False	0		0
ENSG00000228513	ENSG00000228513	orange	processed_pseudogene	False	0		0
ENSG00000229016	ENSG00000229016	orange	processed_pseudogene	False	0		0
ENSG00000232646	ENSG00000232646	orange	processed_pseudogene	False	0		0
ENSG00000235007	ENSG00000235007	orange	protein_coding	False	0		0
ENSG00000237409	ENSG00000237409	orange	processed_pseudogene	False	0		0
ENSG00000237961	ENSG00000237961	orange	processed_pseudogene	False	0		0
ENSG00000238832	ENSG00000238832	orange	snoRNA	False	0		0
ENSG00000239686	ENSG00000239686	orange	processed_pseudogene	False	0		0
ENSG00000242439	ENSG00000242439	orange	processed_pseudogene	False	0		0
ENSG00000244593	ENSG00000244593	orange	processed_pseudogene	False	0		0
ENSG00000244662	ENSG00000244662	orange	processed_pseudogene	False	0		0
ENSG00000248288	ENSG00000248288	orange	processed_pseudogene	False	0		0
ENSG00000249316	ENSG00000249316	orange	unprocessed_pseudogene	False	0		0
ENSG00000249577	ENSG00000249577	orange	processed_pseudogene	False	0		0
ENSG00000251508	ENSG00000251508	orange	unprocessed_pseudogene	False	0		0
ENSG00000254673	ENSG00000254673	orange	protein_coding	False	0		0
ENSG00000257732	ENSG00000257732	orange	lncRNA	True	0		2
ENSG00000259257	ENSG00000259257	orange	processed_pseudogene	False	0		0
ENSG00000259866	ENSG00000259866	orange	processed_pseudogene	False	0		0
ENSG00000267552	ENSG00000267552	orange	protein_coding	False	0		0
ENSG00000268465	ENSG00000268465	orange	protein_coding	False	0		0
ENSG00000270257	ENSG00000270257	orange	processed_pseudogene	False	0		0
ENSG00000274346	ENSG00000274346	orange	unprocessed_pseudogene	False	0		0
ENSG00000276127	ENSG00000276127	orange	processed_pseudogene	False	0		0
ENSG00000279067	ENSG00000279067	orange	TEC	False	0		0
ENSG00000279650	ENSG00000279650	orange	TEC	False	0		0
ENSG00000280121	ENSG00000280121	orange	TEC	False	0		0
ENSG00000280247	ENSG00000280247	orange	TEC	False	0		0
ENSG00000283355	ENSG00000283355	orange	TEC	False	0		0
ENSG00000283491	ENSG00000283491	orange	unprocessed_pseudogene	False	0		0
FAM221B	FAM221B	orange	protein_coding	False	0		0
FAM86FP	FAM86FP	orange	transcribed_unprocessed_pseudogene	False	0		0
FAM90A27P	FAM90A27P	orange	protein_coding	False	0		0
FAUP4	FAUP4	orange	transcribed_unprocessed_pseudogene	False	0		0
FCF1P5	FCF1P5	orange	processed_pseudogene	False	0		0
FUNDC2P2	FUNDC2P2	orange	transcribed_processed_pseudogene	False	0		0
GOLGA2P6	GOLGA2P6	orange	unprocessed_pseudogene	False	0		0
