nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACTG1P22	ACTG1P22	orangered4	transcribed_processed_pseudogene	False	1		0
ANKRD20A10P	ANKRD20A10P	orangered4	processed_pseudogene	False	0		0
ANKRD26P1	ANKRD26P1	orangered4	transcribed_unprocessed_pseudogene	False	0		0
ARAFP1	ARAFP1	orangered4	processed_pseudogene	False	0		0
ARL8BP2	ARL8BP2	orangered4	processed_pseudogene	False	0		0
ARPP19P2	ARPP19P2	orangered4	processed_pseudogene	False	0		0
BLNK	BLNK	orangered4	protein_coding	False	0		0
CACNA1D	CACNA1D	orangered4	protein_coding	False	0		0
CD300LG	CD300LG	orangered4	protein_coding	False	0		0
CFAP77	CFAP77	orangered4	protein_coding	False	0		0
CHAT	CHAT	orangered4	protein_coding	False	0		0
CHCHD4P2	CHCHD4P2	orangered4	processed_pseudogene	False	0		0
CICP26	CICP26	orangered4	unprocessed_pseudogene	False	0		0
CIMAP2	CIMAP2	orangered4	protein_coding	False	0		0
CLEC12A	CLEC12A	orangered4	protein_coding	False	0		0
COX5BP3	COX5BP3	orangered4	processed_pseudogene	False	0		0
CRACR2A	CRACR2A	orangered4	protein_coding	False	0		0
CST7	CST7	orangered4	protein_coding	False	0		0
DBX2	DBX2	orangered4	protein_coding	False	0		0
DEFB131A	DEFB131A	orangered4	protein_coding	False	0		0
DMRT3	DMRT3	orangered4	protein_coding	False	0		0
DOC2GP	DOC2GP	orangered4	transcribed_unitary_pseudogene	False	0		0
DUXAP1	DUXAP1	orangered4	transcribed_unprocessed_pseudogene	False	0		0
EFCAB3	EFCAB3	orangered4	protein_coding	False	0		0
EIF3JP3	EIF3JP3	orangered4	processed_pseudogene	False	0		0
EIF4EBP2P2	EIF4EBP2P2	orangered4	processed_pseudogene	False	0		0
ELMOD1	ELMOD1	orangered4	protein_coding	False	0		0
ENSG00000142539	ENSG00000142539	orangered4	protein_coding	False	0		0
ENSG00000187472	ENSG00000187472	orangered4	processed_pseudogene	False	0		0
ENSG00000213078	ENSG00000213078	orangered4	processed_pseudogene	False	0		0
ENSG00000226668	ENSG00000226668	orangered4	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000227072	ENSG00000227072	orangered4	processed_pseudogene	False	0		0
ENSG00000229530	ENSG00000229530	orangered4	processed_pseudogene	False	0		0
ENSG00000237265	ENSG00000237265	orangered4	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000237317	ENSG00000237317	orangered4	processed_pseudogene	False	0		0
ENSG00000257199	ENSG00000257199	orangered4	processed_pseudogene	False	0		0
ENSG00000258823	ENSG00000258823	orangered4	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000258993	ENSG00000258993	orangered4	processed_pseudogene	False	0		0
ENSG00000259900	ENSG00000259900	orangered4	protein_coding	False	0		0
ENSG00000262855	ENSG00000262855	orangered4	processed_pseudogene	False	0		0
ENSG00000268053	ENSG00000268053	orangered4	processed_pseudogene	False	0		0
ENSG00000268455	ENSG00000268455	orangered4	unprocessed_pseudogene	False	0		0
ENSG00000270909	ENSG00000270909	orangered4	processed_pseudogene	False	0		0
ENSG00000271117	ENSG00000271117	orangered4	processed_pseudogene	False	0		0
ENSG00000275381	ENSG00000275381	orangered4	processed_pseudogene	False	0		0
ENSG00000276089	ENSG00000276089	orangered4	misc_RNA	False	0		0
ENSG00000279117	ENSG00000279117	orangered4	TEC	False	0		0
ENSG00000279570	ENSG00000279570	orangered4	TEC	False	0		0
ENSG00000279939	ENSG00000279939	orangered4	TEC	False	0		0
ENSG00000284731	ENSG00000284731	orangered4	unprocessed_pseudogene	False	0		0
ENSG00000285303	ENSG00000285303	orangered4	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000289316	ENSG00000289316	orangered4	lncRNA	True	0		2
ENTPD3	ENTPD3	orangered4	protein_coding	False	0		0
FABP7	FABP7	orangered4	protein_coding	False	0		0
FAM90A13	FAM90A13	orangered4	protein_coding	False	0		0
FCN1	FCN1	orangered4	protein_coding	False	0		0
FGF3	FGF3	orangered4	protein_coding	False	0		0
FMN2	FMN2	orangered4	protein_coding	False	0		0
FOXD4L5	FOXD4L5	orangered4	protein_coding	False	0		0
GABRB3	GABRB3	orangered4	protein_coding	False	0		0
H3P31	H3P31	orangered4	processed_pseudogene	False	0		0
HBZ	HBZ	orangered4	protein_coding	False	0		0
HMGN1P15	HMGN1P15	orangered4	processed_pseudogene	False	0		0
HSPE1P22	HSPE1P22	orangered4	processed_pseudogene	False	0		0
IGHM	IGHM	orangered4	IG_C_gene	False	0		0
KLRC3	KLRC3	orangered4	protein_coding	False	0		0
KRT8P45	KRT8P45	orangered4	processed_pseudogene	False	0		0
KRTAP5-4	KRTAP5-4	orangered4	protein_coding	False	0		0
LEFTY1	LEFTY1	orangered4	protein_coding	False	0		0
LGALS9C	LGALS9C	orangered4	protein_coding	False	0		0
LILRA5	LILRA5	orangered4	protein_coding	False	0		0
LY6G6D	LY6G6D	orangered4	protein_coding	False	0		0
LYPD4	LYPD4	orangered4	protein_coding	False	0		0
MATR3P2	MATR3P2	orangered4	processed_pseudogene	False	0		0
MMP12	MMP12	orangered4	protein_coding	False	0		0
MTCO2P2	MTCO2P2	orangered4	processed_pseudogene	False	0		0
MTND5P8	MTND5P8	orangered4	unprocessed_pseudogene	False	0		0
MYOG	MYOG	orangered4	protein_coding	False	0		0
NANOGP1	NANOGP1	orangered4	transcribed_unprocessed_pseudogene	False	0		0
NMNAT1P3	NMNAT1P3	orangered4	processed_pseudogene	False	0		0
NWD2	NWD2	orangered4	protein_coding	False	0		0
ONECUT3	ONECUT3	orangered4	protein_coding	False	0		0
OR1F2P	OR1F2P	orangered4	unprocessed_pseudogene	False	0		0
OR1N1	OR1N1	orangered4	protein_coding	False	0		0
OR7E36P	OR7E36P	orangered4	unprocessed_pseudogene	False	0		0
PPIAP37	PPIAP37	orangered4	processed_pseudogene	False	0		0
PRELID3BP5	PRELID3BP5	orangered4	processed_pseudogene	False	0		0
PSMC2P2	PSMC2P2	orangered4	processed_pseudogene	False	0		0
PSTPIP1	PSTPIP1	orangered4	protein_coding	False	0		0
PTP4A1P6	PTP4A1P6	orangered4	transcribed_processed_pseudogene	False	0		0
RAPSN	RAPSN	orangered4	protein_coding	False	0		0
RDXP3	RDXP3	orangered4	processed_pseudogene	False	0		0
RN7SL840P	RN7SL840P	orangered4	misc_RNA	False	0		0
RPL31P8	RPL31P8	orangered4	processed_pseudogene	False	0		0
RPL35AP13	RPL35AP13	orangered4	processed_pseudogene	False	0		0
RPS19P7	RPS19P7	orangered4	processed_pseudogene	False	0		0
RS1	RS1	orangered4	protein_coding	False	0		0
SEPTIN14P19	SEPTIN14P19	orangered4	transcribed_unprocessed_pseudogene	False	0		0
SIT1	SIT1	orangered4	protein_coding	False	0		0
SLC4A4	SLC4A4	orangered4	protein_coding	False	0		0
SMPX	SMPX	orangered4	protein_coding	False	0		0
SNX18P2	SNX18P2	orangered4	processed_pseudogene	False	0		0
SREK1IP1P1	SREK1IP1P1	orangered4	processed_pseudogene	False	0		0
STAG3L1	STAG3L1	orangered4	transcribed_unprocessed_pseudogene	False	0		0
STXBP6	STXBP6	orangered4	protein_coding	False	0		0
TAF5LP1	TAF5LP1	orangered4	processed_pseudogene	False	0		0
TARDBPP1	TARDBPP1	orangered4	processed_pseudogene	False	0		0
TARDBPP4	TARDBPP4	orangered4	unprocessed_pseudogene	False	0		0
TKTL1	TKTL1	orangered4	protein_coding	False	0		0
TMEM117	TMEM117	orangered4	protein_coding	False	0		0
TPSD1	TPSD1	orangered4	protein_coding	False	0		0
TTLL8	TTLL8	orangered4	protein_coding	False	0		0
UBE2NL	UBE2NL	orangered4	protein_coding	False	0		0
ZNF716	ZNF716	orangered4	protein_coding	False	0		0
