nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABCC9	ABCC9	paleturquoise	protein_coding	False	0		0
ABI3	ABI3	paleturquoise	protein_coding	False	0		0
ALOX12B	ALOX12B	paleturquoise	protein_coding	False	0		0
ALOXE3P1	ALOXE3P1	paleturquoise	unprocessed_pseudogene	False	1		0
ANGPT4	ANGPT4	paleturquoise	protein_coding	False	0		0
ANKRD20A1	ANKRD20A1	paleturquoise	protein_coding	False	0		0
ATP6V1E1P1	ATP6V1E1P1	paleturquoise	processed_pseudogene	False	0		0
BARHL1	BARHL1	paleturquoise	protein_coding	False	0		0
BMS1P16	BMS1P16	paleturquoise	unprocessed_pseudogene	False	0		0
CALB2	CALB2	paleturquoise	protein_coding	False	0		0
CD300LD	CD300LD	paleturquoise	protein_coding	False	0		0
CDRT15P13	CDRT15P13	paleturquoise	unprocessed_pseudogene	False	0		0
CFAP276	CFAP276	paleturquoise	protein_coding	False	0		0
CGA	CGA	paleturquoise	protein_coding	False	0		0
CHRNB4	CHRNB4	paleturquoise	protein_coding	False	0		0
CLEC4F	CLEC4F	paleturquoise	protein_coding	False	0		0
CST2	CST2	paleturquoise	protein_coding	False	0		0
DMP1	DMP1	paleturquoise	protein_coding	False	0		0
DUOXA1	DUOXA1	paleturquoise	protein_coding	False	0		0
DYDC2	DYDC2	paleturquoise	protein_coding	False	0		0
ENSG00000231198	ENSG00000231198	paleturquoise	processed_pseudogene	False	0		0
ENSG00000232644	ENSG00000232644	paleturquoise	unprocessed_pseudogene	False	0		0
ENSG00000234431	ENSG00000234431	paleturquoise	lncRNA	True	0		2
ENSG00000234451	ENSG00000234451	paleturquoise	processed_pseudogene	False	0		0
ENSG00000235089	ENSG00000235089	paleturquoise	processed_pseudogene	False	0		0
ENSG00000240801	ENSG00000240801	paleturquoise	lncRNA	True	0		2
ENSG00000243929	ENSG00000243929	paleturquoise	processed_pseudogene	False	0		0
ENSG00000258179	ENSG00000258179	paleturquoise	processed_pseudogene	False	0		0
ENSG00000260678	ENSG00000260678	paleturquoise	transcribed_processed_pseudogene	False	0		0
ENSG00000260735	ENSG00000260735	paleturquoise	transcribed_processed_pseudogene	False	0		0
ENSG00000267227	ENSG00000267227	paleturquoise	processed_pseudogene	False	0		0
ENSG00000269032	ENSG00000269032	paleturquoise	transcribed_processed_pseudogene	False	0		0
ENSG00000273049	ENSG00000273049	paleturquoise	protein_coding	False	0		0
ENSG00000274356	ENSG00000274356	paleturquoise	unprocessed_pseudogene	False	0		0
ENSG00000277311	ENSG00000277311	paleturquoise	misc_RNA	False	0		0
ENSG00000277809	ENSG00000277809	paleturquoise	misc_RNA	False	0		0
ENSG00000278077	ENSG00000278077	paleturquoise	processed_pseudogene	False	0		0
ENSG00000278957	ENSG00000278957	paleturquoise	TEC	False	0		0
