nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABHD17AP6	ABHD17AP6	plum1	unprocessed_pseudogene	False	0		0
ACTBP1	ACTBP1	plum1	processed_pseudogene	False	0		0
ADRA1A	ADRA1A	plum1	protein_coding	False	1	Sinalização célula-célula; regulação positiva da cascata MAPK; via de sinalização do receptor acoplado à proteína G ativadora da fosfolipase C; regulação positiva da concentração de íons de cálcio citosólico; regulação positiva da vasoconstrição; via de sinalização do receptor adrenérgico ativador da adenilato ciclase; regulação positiva da frequência cardíaca pela epinefrina-norepinefrina	0
ASPA	ASPA	plum1	protein_coding	False	0		0
ATP5POP1	ATP5POP1	plum1	processed_pseudogene	False	0		0
BRD9P2	BRD9P2	plum1	transcribed_unprocessed_pseudogene	False	0		0
C10orf62	C10orf62	plum1	protein_coding	False	0		0
CCNYL1B	CCNYL1B	plum1	protein_coding	False	0		0
CDC27P2	CDC27P2	plum1	processed_pseudogene	False	0		0
CDC37P2	CDC37P2	plum1	processed_pseudogene	False	0		0
CDRT15P14	CDRT15P14	plum1	unprocessed_pseudogene	False	0		0
DSTNP4	DSTNP4	plum1	processed_pseudogene	False	0		0
E2F6P1	E2F6P1	plum1	processed_pseudogene	False	0		0
EEF1A1P1	EEF1A1P1	plum1	processed_pseudogene	False	0		0
ENSG00000203648	ENSG00000203648	plum1	processed_pseudogene	False	0		0
ENSG00000217495	ENSG00000217495	plum1	processed_pseudogene	False	0		0
ENSG00000217512	ENSG00000217512	plum1	processed_pseudogene	False	0		0
ENSG00000227632	ENSG00000227632	plum1	unprocessed_pseudogene	False	0		0
ENSG00000236108	ENSG00000236108	plum1	processed_pseudogene	False	0		0
ENSG00000237550	ENSG00000237550	plum1	transcribed_processed_pseudogene	False	0		0
ENSG00000238231	ENSG00000238231	plum1	processed_pseudogene	False	0		0
ENSG00000248696	ENSG00000248696	plum1	processed_pseudogene	False	0		0
ENSG00000254765	ENSG00000254765	plum1	processed_pseudogene	False	0		0
ENSG00000259770	ENSG00000259770	plum1	processed_pseudogene	False	0		0
ENSG00000264138	ENSG00000264138	plum1	unprocessed_pseudogene	False	0		0
ENSG00000271660	ENSG00000271660	plum1	processed_pseudogene	False	0		0
ENSG00000271676	ENSG00000271676	plum1	processed_pseudogene	False	0		0
ENSG00000274276	ENSG00000274276	plum1	artifact	False	0		0
ENSG00000274817	ENSG00000274817	plum1	misc_RNA	False	0		0
ENSG00000277981	ENSG00000277981	plum1	unprocessed_pseudogene	False	0		0
ENSG00000279214	ENSG00000279214	plum1	TEC	False	0		0
ENSG00000279684	ENSG00000279684	plum1	TEC	False	0		0
ENSG00000280312	ENSG00000280312	plum1	TEC	False	0		0
ENSG00000280397	ENSG00000280397	plum1	TEC	False	0		0
ENSG00000285245	ENSG00000285245	plum1	protein_coding	False	0		0
ENSG00000289724	ENSG00000289724	plum1	protein_coding	False	0		0
FAM180B	FAM180B	plum1	protein_coding	False	0		0
FAM187B	FAM187B	plum1	protein_coding	False	0		0
FCAMR	FCAMR	plum1	protein_coding	False	0		0
GCNT1P1	GCNT1P1	plum1	processed_pseudogene	False	0		0
GIMAP7	GIMAP7	plum1	protein_coding	False	0		0
HLA-DPA1	HLA-DPA1	plum1	protein_coding	False	0		0
HNRNPA1P27	HNRNPA1P27	plum1	processed_pseudogene	False	0		0
IGSF3P1	IGSF3P1	plum1	unprocessed_pseudogene	False	0		0
KCNJ6	KCNJ6	plum1	protein_coding	False	0		0
KIAA1210	KIAA1210	plum1	protein_coding	False	0		0
MND1P1	MND1P1	plum1	transcribed_processed_pseudogene	False	0		0
MTND5P16	MTND5P16	plum1	unprocessed_pseudogene	False	0		0
NDUFB9P1	NDUFB9P1	plum1	processed_pseudogene	False	0		0
NSFP1	NSFP1	plum1	unprocessed_pseudogene	False	0		0
OR1Q1	OR1Q1	plum1	protein_coding	False	0		0
OR4F28P	OR4F28P	plum1	unprocessed_pseudogene	False	0		0
OR7E100P	OR7E100P	plum1	unprocessed_pseudogene	False	0		0
PATE1	PATE1	plum1	protein_coding	False	0		0
PLEK	PLEK	plum1	protein_coding	False	0		0
PRAMEF10	PRAMEF10	plum1	protein_coding	False	0		0
PRELID3BP6	PRELID3BP6	plum1	processed_pseudogene	False	0		0
PRM1	PRM1	plum1	protein_coding	False	0		0
PSMA1P1	PSMA1P1	plum1	processed_pseudogene	False	0		0
PTMAP4	PTMAP4	plum1	processed_pseudogene	False	0		0
PYROXD2	PYROXD2	plum1	protein_coding	False	0		0
RN7SKP205	RN7SKP205	plum1	misc_RNA	False	0		0
RN7SL258P	RN7SL258P	plum1	misc_RNA	False	0		0
RN7SL351P	RN7SL351P	plum1	misc_RNA	False	0		0
RN7SL37P	RN7SL37P	plum1	misc_RNA	False	0		0
RN7SL492P	RN7SL492P	plum1	misc_RNA	False	0		0
