nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABCF2P1	ABCF2P1	purple	processed_pseudogene	False	0		0
ACRP1	ACRP1	purple	processed_pseudogene	False	1		0
ACSM2B	ACSM2B	purple	protein_coding	False	0		0
ACSM4	ACSM4	purple	protein_coding	False	0		0
ACTBP9	ACTBP9	purple	processed_pseudogene	False	0		0
AFM	AFM	purple	protein_coding	False	0		0
AHCYP7	AHCYP7	purple	processed_pseudogene	False	0		0
AIDAP2	AIDAP2	purple	transcribed_processed_pseudogene	False	0		0
AMPD1	AMPD1	purple	protein_coding	False	0		0
ANKRD49P3	ANKRD49P3	purple	processed_pseudogene	False	0		0
ANXA2P3	ANXA2P3	purple	processed_pseudogene	False	0		0
APOBEC4	APOBEC4	purple	protein_coding	False	0		0
ARHGAP15	ARHGAP15	purple	protein_coding	False	0		0
ATP5PFP1	ATP5PFP1	purple	processed_pseudogene	False	0		0
BMP10	BMP10	purple	protein_coding	False	0		0
BRD7P3	BRD7P3	purple	processed_pseudogene	False	0		0
BTF3P16	BTF3P16	purple	processed_pseudogene	False	0		0
BTNL12P	BTNL12P	purple	transcribed_unitary_pseudogene	False	0		0
BUB3P1	BUB3P1	purple	processed_pseudogene	False	0		0
C5orf47	C5orf47	purple	protein_coding	False	0		0
CALML3	CALML3	purple	protein_coding	False	0		0
CCL28	CCL28	purple	protein_coding	False	0		0
CCT6P1	CCT6P1	purple	transcribed_unprocessed_pseudogene	False	0		0
CDSN	CDSN	purple	protein_coding	False	0		0
CECR7	CECR7	purple	transcribed_unprocessed_pseudogene	False	0		0
CHMP5P1	CHMP5P1	purple	processed_pseudogene	False	0		0
CIMAP1A	CIMAP1A	purple	protein_coding	False	0		0
CIMAP1C	CIMAP1C	purple	protein_coding	False	0		0
COPRSP1	COPRSP1	purple	processed_pseudogene	False	0		0
CPNE8	CPNE8	purple	protein_coding	False	0		0
CRIPTO	CRIPTO	purple	protein_coding	False	0		0
CUL1P1	CUL1P1	purple	processed_pseudogene	False	0		0
CYP24A1	CYP24A1	purple	protein_coding	False	0		0
CYP8B1	CYP8B1	purple	protein_coding	False	0		0
DAZAP2P1	DAZAP2P1	purple	processed_pseudogene	False	0		0
DCLK3	DCLK3	purple	protein_coding	False	0		0
DIRAS2	DIRAS2	purple	protein_coding	False	0		0
DNAJB6P4	DNAJB6P4	purple	processed_pseudogene	False	0		0
DNM1P47	DNM1P47	purple	transcribed_unprocessed_pseudogene	False	0		0
EEF1A1P45	EEF1A1P45	purple	processed_pseudogene	False	0		0
EEF1B2P2	EEF1B2P2	purple	processed_pseudogene	False	0		0
EEF1GP3	EEF1GP3	purple	processed_pseudogene	False	0		0
ENDOU	ENDOU	purple	protein_coding	False	0		0
ENPP7P14	ENPP7P14	purple	unprocessed_pseudogene	False	0		0
ENSG00000179038	ENSG00000179038	purple	transcribed_processed_pseudogene	False	0		0
ENSG00000180019	ENSG00000180019	purple	transcribed_processed_pseudogene	False	0		0
ENSG00000213717	ENSG00000213717	purple	processed_pseudogene	False	0		0
ENSG00000215237	ENSG00000215237	purple	unprocessed_pseudogene	False	0		0
ENSG00000215450	ENSG00000215450	purple	processed_pseudogene	False	0		0
ENSG00000216475	ENSG00000216475	purple	processed_pseudogene	False	0		0
ENSG00000218682	ENSG00000218682	purple	processed_pseudogene	False	0		0
ENSG00000224114	ENSG00000224114	purple	processed_pseudogene	False	0		0
ENSG00000227747	ENSG00000227747	purple	processed_pseudogene	False	0		0
ENSG00000230271	ENSG00000230271	purple	unprocessed_pseudogene	False	0		0
ENSG00000230637	ENSG00000230637	purple	unprocessed_pseudogene	False	0		0
ENSG00000233388	ENSG00000233388	purple	processed_pseudogene	False	0		0
ENSG00000236327	ENSG00000236327	purple	processed_pseudogene	False	0		0
ENSG00000236391	ENSG00000236391	purple	transcribed_processed_pseudogene	False	0		0
ENSG00000236550	ENSG00000236550	purple	unprocessed_pseudogene	False	0		0
ENSG00000237349	ENSG00000237349	purple	processed_pseudogene	False	0		0
ENSG00000237810	ENSG00000237810	purple	processed_pseudogene	False	0		0
ENSG00000238150	ENSG00000238150	purple	processed_pseudogene	False	0		0
ENSG00000239985	ENSG00000239985	purple	unprocessed_pseudogene	False	0		0
ENSG00000242324	ENSG00000242324	purple	unprocessed_pseudogene	False	0		0
ENSG00000248387	ENSG00000248387	purple	processed_pseudogene	False	0		0
ENSG00000248774	ENSG00000248774	purple	lncRNA	True	0		2
ENSG00000248993	ENSG00000248993	purple	protein_coding	False	0		0
ENSG00000250669	ENSG00000250669	purple	processed_pseudogene	False	0		0
ENSG00000251193	ENSG00000251193	purple	processed_pseudogene	False	0		0
ENSG00000251196	ENSG00000251196	purple	unprocessed_pseudogene	False	0		0
ENSG00000251501	ENSG00000251501	purple	processed_pseudogene	False	0		0
ENSG00000253886	ENSG00000253886	purple	processed_pseudogene	False	0		0
ENSG00000255432	ENSG00000255432	purple	protein_coding	False	0		0
ENSG00000255786	ENSG00000255786	purple	processed_pseudogene	False	0		0
ENSG00000256349	ENSG00000256349	purple	protein_coding	False	0		0
ENSG00000257175	ENSG00000257175	purple	processed_pseudogene	False	0		0
ENSG00000257611	ENSG00000257611	purple	processed_pseudogene	False	0		0
ENSG00000257668	ENSG00000257668	purple	processed_pseudogene	False	0		0
ENSG00000258150	ENSG00000258150	purple	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000258204	ENSG00000258204	purple	processed_pseudogene	False	0		0
ENSG00000259299	ENSG00000259299	purple	processed_pseudogene	False	0		0
ENSG00000262587	ENSG00000262587	purple	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000266306	ENSG00000266306	purple	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000267261	ENSG00000267261	purple	protein_coding	False	0		0
ENSG00000267404	ENSG00000267404	purple	processed_pseudogene	False	0		0
ENSG00000267554	ENSG00000267554	purple	processed_pseudogene	False	0		0
ENSG00000268400	ENSG00000268400	purple	protein_coding	False	0		0
ENSG00000270387	ENSG00000270387	purple	processed_pseudogene	False	0		0
ENSG00000271949	ENSG00000271949	purple	protein_coding	False	0		0
ENSG00000272104	ENSG00000272104	purple	protein_coding	False	0		0
ENSG00000274351	ENSG00000274351	purple	unprocessed_pseudogene	False	0		0
ENSG00000277103	ENSG00000277103	purple	processed_pseudogene	False	0		0
ENSG00000277447	ENSG00000277447	purple	processed_pseudogene	False	0		0
ENSG00000278665	ENSG00000278665	purple	unprocessed_pseudogene	False	0		0
ENSG00000278895	ENSG00000278895	purple	TEC	False	0		0
ENSG00000278924	ENSG00000278924	purple	TEC	False	0		0
ENSG00000278972	ENSG00000278972	purple	TEC	False	0		0
ENSG00000279228	ENSG00000279228	purple	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000279625	ENSG00000279625	purple	TEC	False	0		0
ENSG00000279771	ENSG00000279771	purple	TEC	False	0		0
ENSG00000280182	ENSG00000280182	purple	TEC	False	0		0
ENSG00000280415	ENSG00000280415	purple	TEC	False	0		0
ENSG00000282218	ENSG00000282218	purple	protein_coding	False	0		0
EZRP1	EZRP1	purple	processed_pseudogene	False	0		0
FABP5P8	FABP5P8	purple	processed_pseudogene	False	0		0
FABP7P2	FABP7P2	purple	processed_pseudogene	False	0		0
FCF1P7	FCF1P7	purple	processed_pseudogene	False	0		0
FPR2	FPR2	purple	protein_coding	False	0		0
GAPDHP74	GAPDHP74	purple	transcribed_processed_pseudogene	False	0		0
GFRAL	GFRAL	purple	protein_coding	False	0		0
GK3	GK3	purple	protein_coding	False	0		0
GNL2P1	GNL2P1	purple	processed_pseudogene	False	0		0
GPCPD1P1	GPCPD1P1	purple	unprocessed_pseudogene	False	0		0
GPX1P2	GPX1P2	purple	processed_pseudogene	False	0		0
GSTO3P	GSTO3P	purple	processed_pseudogene	False	0		0
GUCY2C	GUCY2C	purple	protein_coding	False	0		0
H1-7	H1-7	purple	protein_coding	False	0		0
H2AZP6	H2AZP6	purple	processed_pseudogene	False	0		0
HAUS1P1	HAUS1P1	purple	processed_pseudogene	False	0		0
HIGD1AP1	HIGD1AP1	purple	processed_pseudogene	False	0		0
HIGD1AP11	HIGD1AP11	purple	processed_pseudogene	False	0		0
HLA-DRB1	HLA-DRB1	purple	protein_coding	False	0		0
HMGB1P4	HMGB1P4	purple	processed_pseudogene	False	0		0
HMGN1P30	HMGN1P30	purple	processed_pseudogene	False	0		0
HNRNPA1P15	HNRNPA1P15	purple	processed_pseudogene	False	0		0
HNRNPA1P45	HNRNPA1P45	purple	processed_pseudogene	False	0		0
HNRNPA1P57	HNRNPA1P57	purple	transcribed_processed_pseudogene	False	0		0
HNRNPA1P9	HNRNPA1P9	purple	processed_pseudogene	False	0		0
IDI1P1	IDI1P1	purple	processed_pseudogene	False	0		0
IGHD	IGHD	purple	IG_C_gene	False	0		0
IL1B	IL1B	purple	protein_coding	False	0		0
IMMP1LP2	IMMP1LP2	purple	processed_pseudogene	False	0		0
IPMKP1	IPMKP1	purple	processed_pseudogene	False	0		0
ITM2BP1	ITM2BP1	purple	processed_pseudogene	False	0		0
KIF19BP	KIF19BP	purple	transcribed_unitary_pseudogene	False	0		0
KRASP1	KRASP1	purple	processed_pseudogene	False	0		0
KRT18P11	KRT18P11	purple	processed_pseudogene	False	0		0
KRT18P13	KRT18P13	purple	processed_pseudogene	False	0		0
KRT18P49	KRT18P49	purple	processed_pseudogene	False	0		0
KRT8P43	KRT8P43	purple	processed_pseudogene	False	0		0
LARP1BP1	LARP1BP1	purple	processed_pseudogene	False	0		0
LTA	LTA	purple	protein_coding	False	0		0
MAGEA9B	MAGEA9B	purple	protein_coding	False	0		0
MARCKSL1P2	MARCKSL1P2	purple	processed_pseudogene	False	0		0
MMADHCP1	MMADHCP1	purple	processed_pseudogene	False	0		0
MPZL3	MPZL3	purple	protein_coding	False	0		0
MRAP	MRAP	purple	protein_coding	False	0		0
MROH9	MROH9	purple	protein_coding	False	0		0
MTND3P23	MTND3P23	purple	unprocessed_pseudogene	False	0		0
MTND5P10	MTND5P10	purple	processed_pseudogene	False	0		0
MTND5P2	MTND5P2	purple	processed_pseudogene	False	0		0
