nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABHD17AP5	ABHD17AP5	royalblue	processed_pseudogene	False	0		0
ABRAXAS1P1	ABRAXAS1P1	royalblue	processed_pseudogene	False	1		0
ACKR4P1	ACKR4P1	royalblue	processed_pseudogene	False	0		0
ADAMTSL3	ADAMTSL3	royalblue	protein_coding	False	0		0
ADRB3	ADRB3	royalblue	protein_coding	False	0		0
AIF1	AIF1	royalblue	protein_coding	False	0		0
AKR1B1P2	AKR1B1P2	royalblue	processed_pseudogene	False	0		0
ARL5AP5	ARL5AP5	royalblue	processed_pseudogene	False	0		0
ARPC1AP1	ARPC1AP1	royalblue	processed_pseudogene	False	0		0
ARPC3P5	ARPC3P5	royalblue	processed_pseudogene	False	0		0
ASS1P8	ASS1P8	royalblue	processed_pseudogene	False	0		0
ATP5PBP3	ATP5PBP3	royalblue	processed_pseudogene	False	0		0
BCRP8	BCRP8	royalblue	processed_pseudogene	False	0		0
C17orf78	C17orf78	royalblue	protein_coding	False	0		0
CABP5	CABP5	royalblue	protein_coding	False	0		0
CADM3	CADM3	royalblue	protein_coding	False	0		0
CBR1-AS1	CBR1-AS1	royalblue	lncRNA	True	0		2
CBX3P3	CBX3P3	royalblue	processed_pseudogene	False	0		0
CCDC195	CCDC195	royalblue	protein_coding	False	0		0
CCT6P4	CCT6P4	royalblue	processed_pseudogene	False	0		0
CDC27P3	CDC27P3	royalblue	processed_pseudogene	False	0		0
CHORDC2P	CHORDC2P	royalblue	processed_pseudogene	False	0		0
CICP1	CICP1	royalblue	processed_pseudogene	False	0		0
CNN3P1	CNN3P1	royalblue	processed_pseudogene	False	0		0
CSF3	CSF3	royalblue	protein_coding	False	0		0
CST6	CST6	royalblue	protein_coding	False	0		0
CYP2A7	CYP2A7	royalblue	protein_coding	False	0		0
DNAJB6P8	DNAJB6P8	royalblue	transcribed_processed_pseudogene	False	0		0
ECM1P1	ECM1P1	royalblue	processed_pseudogene	False	0		0
EEF1A1P26	EEF1A1P26	royalblue	processed_pseudogene	False	0		0
EIF4A1P11	EIF4A1P11	royalblue	processed_pseudogene	False	0		0
ELOCP27	ELOCP27	royalblue	processed_pseudogene	False	0		0
ENSG00000213065	ENSG00000213065	royalblue	processed_pseudogene	False	0		0
ENSG00000213209	ENSG00000213209	royalblue	processed_pseudogene	False	0		0
ENSG00000218793	ENSG00000218793	royalblue	processed_pseudogene	False	0		0
ENSG00000218872	ENSG00000218872	royalblue	processed_pseudogene	False	0		0
ENSG00000219409	ENSG00000219409	royalblue	processed_pseudogene	False	0		0
ENSG00000224163	ENSG00000224163	royalblue	unprocessed_pseudogene	False	0		0
ENSG00000224797	ENSG00000224797	royalblue	processed_pseudogene	False	0		0
ENSG00000228429	ENSG00000228429	royalblue	processed_pseudogene	False	0		0
