nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ALDH3B2	ALDH3B2	saddlebrown	protein_coding	False	1	Processo metabólico do aldeído celular	0
AMY2A	AMY2A	saddlebrown	protein_coding	False	0		0
ANAPC10P1	ANAPC10P1	saddlebrown	processed_pseudogene	False	0		0
ARHGAP27P2	ARHGAP27P2	saddlebrown	processed_pseudogene	False	0		0
ARSH	ARSH	saddlebrown	protein_coding	False	0		0
ASS1P11	ASS1P11	saddlebrown	processed_pseudogene	False	0		0
ATG12P1	ATG12P1	saddlebrown	processed_pseudogene	False	0		0
ATP5MFP5	ATP5MFP5	saddlebrown	processed_pseudogene	False	0		0
BMS1P11	BMS1P11	saddlebrown	unprocessed_pseudogene	False	0		0
BOLA3P3	BOLA3P3	saddlebrown	processed_pseudogene	False	0		0
C19orf81	C19orf81	saddlebrown	protein_coding	False	0		0
C1orf105	C1orf105	saddlebrown	protein_coding	False	0		0
C4orf50	C4orf50	saddlebrown	protein_coding	False	0		0
CERKL	CERKL	saddlebrown	protein_coding	False	0		0
CHCHD2P11	CHCHD2P11	saddlebrown	processed_pseudogene	False	0		0
CIB4	CIB4	saddlebrown	protein_coding	False	0		0
CLEC19A	CLEC19A	saddlebrown	protein_coding	False	0		0
CLIC4P3	CLIC4P3	saddlebrown	processed_pseudogene	False	0		0
CNN2P7	CNN2P7	saddlebrown	processed_pseudogene	False	0		0
CPED1	CPED1	saddlebrown	protein_coding	False	0		0
CR1	CR1	saddlebrown	protein_coding	False	0		0
CT45A11P	CT45A11P	saddlebrown	unprocessed_pseudogene	False	0		0
DUSP21	DUSP21	saddlebrown	protein_coding	False	0		0
EEF1A1P28	EEF1A1P28	saddlebrown	processed_pseudogene	False	0		0
EIF3JP2	EIF3JP2	saddlebrown	processed_pseudogene	False	0		0
ENSG00000188078	ENSG00000188078	saddlebrown	unprocessed_pseudogene	False	0		0
ENSG00000212695	ENSG00000212695	saddlebrown	processed_pseudogene	False	0		0
ENSG00000214890	ENSG00000214890	saddlebrown	processed_pseudogene	False	0		0
ENSG00000220614	ENSG00000220614	saddlebrown	processed_pseudogene	False	0		0
ENSG00000226241	ENSG00000226241	saddlebrown	processed_pseudogene	False	0		0
ENSG00000226870	ENSG00000226870	saddlebrown	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000229738	ENSG00000229738	saddlebrown	processed_pseudogene	False	0		0
ENSG00000231859	ENSG00000231859	saddlebrown	processed_pseudogene	False	0		0
ENSG00000234624	ENSG00000234624	saddlebrown	processed_pseudogene	False	0		0
ENSG00000234683	ENSG00000234683	saddlebrown	processed_pseudogene	False	0		0
ENSG00000235055	ENSG00000235055	saddlebrown	processed_pseudogene	False	0		0
ENSG00000235286	ENSG00000235286	saddlebrown	processed_pseudogene	False	0		0
ENSG00000240739	ENSG00000240739	saddlebrown	unprocessed_pseudogene	False	0		0
ENSG00000244756	ENSG00000244756	saddlebrown	processed_pseudogene	False	0		0
ENSG00000248185	ENSG00000248185	saddlebrown	processed_pseudogene	False	0		0
ENSG00000248878	ENSG00000248878	saddlebrown	transcribed_processed_pseudogene	False	0		0
ENSG00000249780	ENSG00000249780	saddlebrown	processed_pseudogene	False	0		0
ENSG00000250470	ENSG00000250470	saddlebrown	unprocessed_pseudogene	False	0		0
ENSG00000255977	ENSG00000255977	saddlebrown	processed_pseudogene	False	0		0
ENSG00000256013	ENSG00000256013	saddlebrown	lncRNA	True	0		2
ENSG00000256075	ENSG00000256075	saddlebrown	processed_pseudogene	False	0		0
ENSG00000256799	ENSG00000256799	saddlebrown	processed_pseudogene	False	0		0
ENSG00000257846	ENSG00000257846	saddlebrown	processed_pseudogene	False	0		0
ENSG00000258895	ENSG00000258895	saddlebrown	processed_pseudogene	False	0		0
ENSG00000260152	ENSG00000260152	saddlebrown	processed_pseudogene	False	0		0
ENSG00000262708	ENSG00000262708	saddlebrown	processed_pseudogene	False	0		0
ENSG00000271150	ENSG00000271150	saddlebrown	processed_pseudogene	False	0		0
ENSG00000278205	ENSG00000278205	saddlebrown	unprocessed_pseudogene	False	0		0
ENSG00000279359	ENSG00000279359	saddlebrown	TEC	False	0		0
ENSG00000279964	ENSG00000279964	saddlebrown	TEC	False	0		0
ENSG00000282897	ENSG00000282897	saddlebrown	TEC	False	0		0
ENSG00000283338	ENSG00000283338	saddlebrown	unprocessed_pseudogene	False	0		0
ENSG00000283602	ENSG00000283602	saddlebrown	transcribed_unitary_pseudogene	False	0		0
ENSG00000288561	ENSG00000288561	saddlebrown	unprocessed_pseudogene	False	0		0
ENSG00000291312	ENSG00000291312	saddlebrown	protein_coding	False	0		0
FAM20BP1	FAM20BP1	saddlebrown	processed_pseudogene	False	0		0
FAM90A3	FAM90A3	saddlebrown	protein_coding	False	0		0
FOXO1B	FOXO1B	saddlebrown	processed_pseudogene	False	0		0
