nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
A1CF	A1CF	salmon	protein_coding	False	0		0
ACTG1P16	ACTG1P16	salmon	transcribed_processed_pseudogene	False	0		0
ACTR3C	ACTR3C	salmon	protein_coding	False	0		0
ADGB	ADGB	salmon	protein_coding	False	0		0
ADH7	ADH7	salmon	protein_coding	False	0		0
AGMO	AGMO	salmon	protein_coding	False	0		0
AOX3P	AOX3P	salmon	transcribed_unprocessed_pseudogene	False	1		0
ASCL4	ASCL4	salmon	protein_coding	False	0		0
ATP5PDP3	ATP5PDP3	salmon	processed_pseudogene	False	0		0
AZGP1	AZGP1	salmon	protein_coding	False	0		0
B3GNT3	B3GNT3	salmon	protein_coding	False	0		0
BRAFP1	BRAFP1	salmon	unprocessed_pseudogene	False	0		0
BRD7P1	BRD7P1	salmon	processed_pseudogene	False	0		0
BRI3P3	BRI3P3	salmon	processed_pseudogene	False	0		0
C6orf118	C6orf118	salmon	protein_coding	False	0		0
CA10	CA10	salmon	protein_coding	False	0		0
CACNA1S	CACNA1S	salmon	protein_coding	False	0		0
CARD11	CARD11	salmon	protein_coding	False	0		0
CBLC	CBLC	salmon	protein_coding	False	0		0
CCDC187	CCDC187	salmon	protein_coding	False	0		0
CD5L	CD5L	salmon	protein_coding	False	0		0
CHL1	CHL1	salmon	protein_coding	False	0		0
CHST13	CHST13	salmon	protein_coding	False	0		0
CICP7	CICP7	salmon	processed_pseudogene	False	0		0
CLUHP10	CLUHP10	salmon	unprocessed_pseudogene	False	0		0
CLUL1	CLUL1	salmon	protein_coding	False	0		0
CRADDP1	CRADDP1	salmon	processed_pseudogene	False	0		0
CSRP2P2	CSRP2P2	salmon	processed_pseudogene	False	0		0
CYP2C18	CYP2C18	salmon	protein_coding	False	0		0
DAPL1	DAPL1	salmon	protein_coding	False	0		0
DLK1	DLK1	salmon	protein_coding	False	0		0
DMRT2	DMRT2	salmon	protein_coding	False	0		0
DNAJC5B	DNAJC5B	salmon	protein_coding	False	0		0
DPPA4P3	DPPA4P3	salmon	processed_pseudogene	False	0		0
DSC1	DSC1	salmon	protein_coding	False	0		0
DUSP5P2	DUSP5P2	salmon	processed_pseudogene	False	0		0
EFCAB8	EFCAB8	salmon	protein_coding	False	0		0
EFNA4-EFNA3	EFNA4-EFNA3	salmon	protein_coding	False	0		0
ENSG00000202343	ENSG00000202343	salmon	snoRNA	False	0		0
ENSG00000217275	ENSG00000217275	salmon	processed_pseudogene	False	0		0
ENSG00000223450	ENSG00000223450	salmon	processed_pseudogene	False	0		0
ENSG00000226552	ENSG00000226552	salmon	processed_pseudogene	False	0		0
ENSG00000226984	ENSG00000226984	salmon	processed_pseudogene	False	0		0
ENSG00000230305	ENSG00000230305	salmon	unprocessed_pseudogene	False	0		0
ENSG00000230987	ENSG00000230987	salmon	processed_pseudogene	False	0		0
ENSG00000231875	ENSG00000231875	salmon	processed_pseudogene	False	0		0
ENSG00000234259	ENSG00000234259	salmon	processed_pseudogene	False	0		0
