nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACTL7A	ACTL7A	sienna3	protein_coding	False	1		0
ADAMTS9	ADAMTS9	sienna3	protein_coding	False	0		0
ATP6V0D2	ATP6V0D2	sienna3	protein_coding	False	0		0
ATP6V1E1P3	ATP6V1E1P3	sienna3	processed_pseudogene	False	0		0
BCAP31P1	BCAP31P1	sienna3	unprocessed_pseudogene	False	0		0
BNIP3P29	BNIP3P29	sienna3	processed_pseudogene	False	0		0
C18orf63	C18orf63	sienna3	protein_coding	False	0		0
CHORDC1P1	CHORDC1P1	sienna3	processed_pseudogene	False	0		0
CHORDC1P5	CHORDC1P5	sienna3	processed_pseudogene	False	0		0
CMAHP	CMAHP	sienna3	transcribed_unitary_pseudogene	False	0		0
COX7CP2	COX7CP2	sienna3	processed_pseudogene	False	0		0
DDX3Y	DDX3Y	sienna3	protein_coding	False	0		0
DIPK1C	DIPK1C	sienna3	protein_coding	False	0		0
EEF1A1P42	EEF1A1P42	sienna3	processed_pseudogene	False	0		0
EEF1A1P50	EEF1A1P50	sienna3	processed_pseudogene	False	0		0
EIF3IP1	EIF3IP1	sienna3	processed_pseudogene	False	0		0
EIF4EP3	EIF4EP3	sienna3	processed_pseudogene	False	0		0
ENSG00000205644	ENSG00000205644	sienna3	processed_pseudogene	False	0		0
ENSG00000214593	ENSG00000214593	sienna3	processed_pseudogene	False	0		0
ENSG00000214641	ENSG00000214641	sienna3	processed_pseudogene	False	0		0
ENSG00000224155	ENSG00000224155	sienna3	processed_pseudogene	False	0		0
ENSG00000228154	ENSG00000228154	sienna3	processed_pseudogene	False	0		0
ENSG00000229853	ENSG00000229853	sienna3	processed_pseudogene	False	0		0
ENSG00000230194	ENSG00000230194	sienna3	processed_pseudogene	False	0		0
ENSG00000234080	ENSG00000234080	sienna3	processed_pseudogene	False	0		0
ENSG00000235421	ENSG00000235421	sienna3	unprocessed_pseudogene	False	0		0
ENSG00000236750	ENSG00000236750	sienna3	processed_pseudogene	False	0		0
ENSG00000237188	ENSG00000237188	sienna3	lncRNA	True	0		2
ENSG00000243385	ENSG00000243385	sienna3	processed_pseudogene	False	0		0
ENSG00000250946	ENSG00000250946	sienna3	unprocessed_pseudogene	False	0		0
ENSG00000254336	ENSG00000254336	sienna3	processed_pseudogene	False	0		0
ENSG00000254406	ENSG00000254406	sienna3	processed_pseudogene	False	0		0
ENSG00000256070	ENSG00000256070	sienna3	processed_pseudogene	False	0		0
ENSG00000271136	ENSG00000271136	sienna3	processed_pseudogene	False	0		0
ENSG00000271546	ENSG00000271546	sienna3	processed_pseudogene	False	0		0
ENSG00000273291	ENSG00000273291	sienna3	protein_coding	False	0		0
ENSG00000274594	ENSG00000274594	sienna3	processed_pseudogene	False	0		0
ENSG00000276569	ENSG00000276569	sienna3	processed_pseudogene	False	0		0
ENSG00000277340	ENSG00000277340	sienna3	processed_pseudogene	False	0		0
ENSG00000279030	ENSG00000279030	sienna3	TEC	False	0		0
ENSG00000279511	ENSG00000279511	sienna3	TEC	False	0		0
ENSG00000279588	ENSG00000279588	sienna3	TEC	False	0		0
ENSG00000279640	ENSG00000279640	sienna3	TEC	False	0		0
ENSG00000280274	ENSG00000280274	sienna3	TEC	False	0		0
ENSG00000280335	ENSG00000280335	sienna3	TEC	False	0		0
ENSG00000286091	ENSG00000286091	sienna3	TEC	False	0		0
ENSG00000290180	ENSG00000290180	sienna3	protein_coding	False	0		0
GAPDHP37	GAPDHP37	sienna3	processed_pseudogene	False	0		0
GAPDHP42	GAPDHP42	sienna3	processed_pseudogene	False	0		0
GRIA3	GRIA3	sienna3	protein_coding	False	0		0
H3P2	H3P2	sienna3	processed_pseudogene	False	0		0
H3P36	H3P36	sienna3	processed_pseudogene	False	0		0
HMGB1P7	HMGB1P7	sienna3	processed_pseudogene	False	0		0
HMGN2P6	HMGN2P6	sienna3	processed_pseudogene	False	0		0
HSPD1P6	HSPD1P6	sienna3	transcribed_processed_pseudogene	False	0		0
IFITM3P1	IFITM3P1	sienna3	processed_pseudogene	False	0		0
KRT71	KRT71	sienna3	protein_coding	False	0		0
LDHAL6FP	LDHAL6FP	sienna3	processed_pseudogene	False	0		0
MAGEA5P	MAGEA5P	sienna3	transcribed_unprocessed_pseudogene	False	0		0
MAPRE1P1	MAPRE1P1	sienna3	processed_pseudogene	False	0		0
MPC1L	MPC1L	sienna3	protein_coding	False	0		0
NCKAP5	NCKAP5	sienna3	protein_coding	False	0		0
NTSR2	NTSR2	sienna3	protein_coding	False	0		0
NXPE1	NXPE1	sienna3	protein_coding	False	0		0
OR51A4	OR51A4	sienna3	protein_coding	False	0		0
PABPC1P2	PABPC1P2	sienna3	processed_pseudogene	False	0		0
POTEG	POTEG	sienna3	protein_coding	False	0		0
PPP1R11P1	PPP1R11P1	sienna3	processed_pseudogene	False	0		0
PRR23E	PRR23E	sienna3	protein_coding	False	0		0
RABGEF1P3	RABGEF1P3	sienna3	transcribed_unprocessed_pseudogene	False	0		0
RASGEF1B	RASGEF1B	sienna3	protein_coding	False	0		0
RBBP4P7	RBBP4P7	sienna3	processed_pseudogene	False	0		0
RN7SL246P	RN7SL246P	sienna3	misc_RNA	False	0		0
RN7SL329P	RN7SL329P	sienna3	misc_RNA	False	0		0
RN7SL330P	RN7SL330P	sienna3	misc_RNA	False	0		0
RN7SL606P	RN7SL606P	sienna3	misc_RNA	False	0		0
RPL13AP18	RPL13AP18	sienna3	processed_pseudogene	False	0		0
RPL15P19	RPL15P19	sienna3	processed_pseudogene	False	0		0
RPL17P48	RPL17P48	sienna3	processed_pseudogene	False	0		0
RPL18P13	RPL18P13	sienna3	processed_pseudogene	False	0		0
RPL23AP59	RPL23AP59	sienna3	processed_pseudogene	False	0		0
RPL31P32	RPL31P32	sienna3	processed_pseudogene	False	0		0
RPL36AP19	RPL36AP19	sienna3	processed_pseudogene	False	0		0
RPL36AP41	RPL36AP41	sienna3	processed_pseudogene	False	0		0
RPL37P13	RPL37P13	sienna3	processed_pseudogene	False	0		0
RPL6P26	RPL6P26	sienna3	processed_pseudogene	False	0		0
RPL7AP82	RPL7AP82	sienna3	processed_pseudogene	False	0		0
RPS21P4	RPS21P4	sienna3	processed_pseudogene	False	0		0
RPSAP51	RPSAP51	sienna3	processed_pseudogene	False	0		0
SAP18P2	SAP18P2	sienna3	processed_pseudogene	False	0		0
SAR1AP3	SAR1AP3	sienna3	processed_pseudogene	False	0		0
SEPTIN7P6	SEPTIN7P6	sienna3	processed_pseudogene	False	0		0
SERTM1	SERTM1	sienna3	protein_coding	False	0		0
SKA2P1	SKA2P1	sienna3	processed_pseudogene	False	0		0
SLC10A5P1	SLC10A5P1	sienna3	unprocessed_pseudogene	False	0		0
SLC25A5P2	SLC25A5P2	sienna3	processed_pseudogene	False	0		0
TAS2R63P	TAS2R63P	sienna3	unprocessed_pseudogene	False	0		0
TEDDM1	TEDDM1	sienna3	protein_coding	False	0		0
TMEM230P2	TMEM230P2	sienna3	processed_pseudogene	False	0		0
TMPRSS11A	TMPRSS11A	sienna3	protein_coding	False	0		0
TRIM64B	TRIM64B	sienna3	protein_coding	False	0		0
TRMT1P1	TRMT1P1	sienna3	processed_pseudogene	False	0		0
VDAC1P7	VDAC1P7	sienna3	processed_pseudogene	False	0		0
VN1R3	VN1R3	sienna3	unitary_pseudogene	False	0		0
VPS26BP1	VPS26BP1	sienna3	processed_pseudogene	False	0		0
YME1L1P1	YME1L1P1	sienna3	unprocessed_pseudogene	False	0		0
