nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
AQP12B	AQP12B	skyblue3	protein_coding	False	0		0
ATP5F1AP4	ATP5F1AP4	skyblue3	processed_pseudogene	False	0		0
BTF3P12	BTF3P12	skyblue3	processed_pseudogene	False	0		0
CCL3	CCL3	skyblue3	protein_coding	False	0		0
CD3E	CD3E	skyblue3	protein_coding	False	0		0
CEACAM8	CEACAM8	skyblue3	protein_coding	False	0		0
CLUHP3	CLUHP3	skyblue3	transcribed_unprocessed_pseudogene	False	0		0
CNTN1	CNTN1	skyblue3	protein_coding	False	0		0
CPN1	CPN1	skyblue3	protein_coding	False	0		0
CPP	CPP	skyblue3	processed_pseudogene	False	0		0
DDX43P1	DDX43P1	skyblue3	processed_pseudogene	False	0		0
DKK4	DKK4	skyblue3	protein_coding	False	0		0
DSTNP3	DSTNP3	skyblue3	processed_pseudogene	False	0		0
EIF2S2P6	EIF2S2P6	skyblue3	processed_pseudogene	False	0		0
EIF5A2P1	EIF5A2P1	skyblue3	processed_pseudogene	False	0		0
ENSG00000213486	ENSG00000213486	skyblue3	processed_pseudogene	False	0		0
ENSG00000216813	ENSG00000216813	skyblue3	processed_pseudogene	False	0		0
ENSG00000220960	ENSG00000220960	skyblue3	processed_pseudogene	False	0		0
ENSG00000226999	ENSG00000226999	skyblue3	processed_pseudogene	False	0		0
ENSG00000232166	ENSG00000232166	skyblue3	processed_pseudogene	False	0		0
ENSG00000241991	ENSG00000241991	skyblue3	processed_pseudogene	False	0		0
ENSG00000248926	ENSG00000248926	skyblue3	processed_pseudogene	False	0		0
ENSG00000249148	ENSG00000249148	skyblue3	processed_pseudogene	False	0		0
ENSG00000260157	ENSG00000260157	skyblue3	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000265417	ENSG00000265417	skyblue3	processed_pseudogene	False	0		0
ENSG00000267135	ENSG00000267135	skyblue3	processed_pseudogene	False	0		0
ENSG00000267629	ENSG00000267629	skyblue3	lncRNA	True	0		2
ENSG00000273184	ENSG00000273184	skyblue3	lncRNA	True	0		2
ENSG00000278863	ENSG00000278863	skyblue3	TEC	False	0		0
ENSG00000280309	ENSG00000280309	skyblue3	TEC	False	0		0
ENSG00000286057	ENSG00000286057	skyblue3	TEC	False	0		0
ENSG00000289756	ENSG00000289756	skyblue3	transcribed_unprocessed_pseudogene	False	0		0
FAM133EP	FAM133EP	skyblue3	processed_pseudogene	False	0		0
FAM25C	FAM25C	skyblue3	protein_coding	False	0		0
FAM25G	FAM25G	skyblue3	protein_coding	False	0		0
FGF7P4	FGF7P4	skyblue3	unprocessed_pseudogene	False	0		0
FTH1P24	FTH1P24	skyblue3	processed_pseudogene	False	0		0
FTH1P27	FTH1P27	skyblue3	unprocessed_pseudogene	False	0		0
GDF7	GDF7	skyblue3	protein_coding	False	0		0
GIMAP5	GIMAP5	skyblue3	protein_coding	False	0		0
GLIPR1L1	GLIPR1L1	skyblue3	protein_coding	False	0		0
GLYATL1P1	GLYATL1P1	skyblue3	unprocessed_pseudogene	False	0		0
GSX1	GSX1	skyblue3	protein_coding	False	0		0
H2BC1	H2BC1	skyblue3	protein_coding	False	0		0
