nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ABCC8	ABCC8	skyblue	protein_coding	False	0		0
AK3P7	AK3P7	skyblue	processed_pseudogene	False	0		0
ANAPC1P4	ANAPC1P4	skyblue	transcribed_unprocessed_pseudogene	False	0		0
AQP9	AQP9	skyblue	protein_coding	False	1	Transporte transmembrana de glicerol e água	0
ATP6V0E1P1	ATP6V0E1P1	skyblue	processed_pseudogene	False	0		0
BCRP1	BCRP1	skyblue	unprocessed_pseudogene	False	0		0
BPIFB4	BPIFB4	skyblue	protein_coding	False	0		0
C1QL2	C1QL2	skyblue	protein_coding	False	0		0
C1orf127	C1orf127	skyblue	protein_coding	False	0		0
C2orf73	C2orf73	skyblue	protein_coding	False	0		0
C5AR2	C5AR2	skyblue	protein_coding	False	0		0
CD300C	CD300C	skyblue	protein_coding	False	0		0
CD8A	CD8A	skyblue	protein_coding	False	0		0
CLEC4GP1	CLEC4GP1	skyblue	unprocessed_pseudogene	False	0		0
CYP2B6	CYP2B6	skyblue	protein_coding	False	0		0
DPP10	DPP10	skyblue	protein_coding	False	0		0
DUSP29	DUSP29	skyblue	protein_coding	False	0		0
DUX4L35	DUX4L35	skyblue	unprocessed_pseudogene	False	0		0
E2F6P4	E2F6P4	skyblue	processed_pseudogene	False	0		0
ENPP7P8	ENPP7P8	skyblue	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000196390	ENSG00000196390	skyblue	processed_pseudogene	False	0		0
ENSG00000223503	ENSG00000223503	skyblue	processed_pseudogene	False	0		0
ENSG00000228729	ENSG00000228729	skyblue	processed_pseudogene	False	0		0
ENSG00000234513	ENSG00000234513	skyblue	processed_pseudogene	False	0		0
ENSG00000241179	ENSG00000241179	skyblue	processed_pseudogene	False	0		0
ENSG00000251184	ENSG00000251184	skyblue	protein_coding	False	0		0
ENSG00000254701	ENSG00000254701	skyblue	unprocessed_pseudogene	False	0		0
ENSG00000256987	ENSG00000256987	skyblue	processed_pseudogene	False	0		0
ENSG00000257674	ENSG00000257674	skyblue	processed_pseudogene	False	0		0
ENSG00000257884	ENSG00000257884	skyblue	transcribed_processed_pseudogene	False	0		0
ENSG00000258529	ENSG00000258529	skyblue	protein_coding	False	0		0
ENSG00000264145	ENSG00000264145	skyblue	processed_pseudogene	False	0		0
ENSG00000265460	ENSG00000265460	skyblue	transcribed_processed_pseudogene	False	0		0
ENSG00000266728	ENSG00000266728	skyblue	protein_coding	False	0		0
ENSG00000267088	ENSG00000267088	skyblue	processed_pseudogene	False	0		0
ENSG00000268884	ENSG00000268884	skyblue	processed_pseudogene	False	0		0
ENSG00000270282	ENSG00000270282	skyblue	processed_pseudogene	False	0		0
ENSG00000276963	ENSG00000276963	skyblue	unprocessed_pseudogene	False	0		0
ENSG00000279186	ENSG00000279186	skyblue	TEC	False	0		0
ENSG00000279303	ENSG00000279303	skyblue	TEC	False	0		0
ENSG00000279378	ENSG00000279378	skyblue	TEC	False	0		0
ENSG00000279967	ENSG00000279967	skyblue	TEC	False	0		0
ENSG00000280136	ENSG00000280136	skyblue	lncRNA	True	0		2
ENSG00000289466	ENSG00000289466	skyblue	TEC	False	0		0
FAM162B	FAM162B	skyblue	protein_coding	False	0		0
FAM183BP	FAM183BP	skyblue	processed_pseudogene	False	0		0
FAM90A10	FAM90A10	skyblue	protein_coding	False	0		0
FAM90A7	FAM90A7	skyblue	protein_coding	False	0		0
FCGR2A	FCGR2A	skyblue	protein_coding	False	0		0
FGF4	FGF4	skyblue	protein_coding	False	0		0
FGF8	FGF8	skyblue	protein_coding	False	0		0
GAPDHP33	GAPDHP33	skyblue	processed_pseudogene	False	0		0
GAPDHP45	GAPDHP45	skyblue	processed_pseudogene	False	0		0
GAPDHP76	GAPDHP76	skyblue	unprocessed_pseudogene	False	0		0
GIMAP6	GIMAP6	skyblue	protein_coding	False	0		0
GJD4	GJD4	skyblue	protein_coding	False	0		0
GPR173	GPR173	skyblue	protein_coding	False	0		0
GRAMD4P1	GRAMD4P1	skyblue	processed_pseudogene	False	0		0
HMGN1P35	HMGN1P35	skyblue	processed_pseudogene	False	0		0
HMGN2P24	HMGN2P24	skyblue	processed_pseudogene	False	0		0
HNRNPA1P47	HNRNPA1P47	skyblue	processed_pseudogene	False	0		0
HSP90AA5P	HSP90AA5P	skyblue	transcribed_processed_pseudogene	False	0		0
HSPE1P11	HSPE1P11	skyblue	processed_pseudogene	False	0		0
HTR2C	HTR2C	skyblue	protein_coding	False	0		0
ICAM4	ICAM4	skyblue	protein_coding	False	0		0
IFNWP2	IFNWP2	skyblue	unprocessed_pseudogene	False	0		0
IL20RA	IL20RA	skyblue	protein_coding	False	0		0
KCNA4	KCNA4	skyblue	protein_coding	False	0		0
KCNJ1	KCNJ1	skyblue	protein_coding	False	0		0
KLHL6	KLHL6	skyblue	protein_coding	False	0		0
KPNB1P1	KPNB1P1	skyblue	processed_pseudogene	False	0		0
KRT36	KRT36	skyblue	protein_coding	False	0		0
KRT4	KRT4	skyblue	protein_coding	False	0		0
KRT8P42	KRT8P42	skyblue	processed_pseudogene	False	0		0
LCN15	LCN15	skyblue	protein_coding	False	0		0
LGALS2	LGALS2	skyblue	protein_coding	False	0		0
MACC1	MACC1	skyblue	protein_coding	False	0		0
MAGEC2	MAGEC2	skyblue	protein_coding	False	0		0
MCHR1	MCHR1	skyblue	protein_coding	False	0		0
MIR663A	MIR663A	skyblue	miRNA	False	0		0
MOGAT2	MOGAT2	skyblue	protein_coding	False	0		0
MROH2B	MROH2B	skyblue	protein_coding	False	0		0
MTND4P10	MTND4P10	skyblue	processed_pseudogene	False	0		0
MYH16	MYH16	skyblue	transcribed_unitary_pseudogene	False	0		0
NACAP5	NACAP5	skyblue	processed_pseudogene	False	0		0
NT5C1B-RDH14	NT5C1B-RDH14	skyblue	protein_coding	False	0		0
OOSP3	OOSP3	skyblue	protein_coding	False	0		0
OR4C48P	OR4C48P	skyblue	unprocessed_pseudogene	False	0		0
PCDHA14	PCDHA14	skyblue	transcribed_unprocessed_pseudogene	False	0		0
PIGUP1	PIGUP1	skyblue	processed_pseudogene	False	0		0
PLAAT2	PLAAT2	skyblue	protein_coding	False	0		0
POLGARF	POLGARF	skyblue	protein_coding	False	0		0
PRB2	PRB2	skyblue	protein_coding	False	0		0
PRL	PRL	skyblue	protein_coding	False	0		0
PRR20D	PRR20D	skyblue	protein_coding	False	0		0
PSD2	PSD2	skyblue	protein_coding	False	0		0
PSMC1P3	PSMC1P3	skyblue	processed_pseudogene	False	0		0
PVALEF	PVALEF	skyblue	protein_coding	False	0		0
RN7SL499P	RN7SL499P	skyblue	misc_RNA	False	0		0
RN7SL569P	RN7SL569P	skyblue	misc_RNA	False	0		0
RNASE13	RNASE13	skyblue	protein_coding	False	0		0
RNF133	RNF133	skyblue	protein_coding	False	0		0
RPL14P3	RPL14P3	skyblue	processed_pseudogene	False	0		0
RPL21P115	RPL21P115	skyblue	processed_pseudogene	False	0		0
RPL21P12	RPL21P12	skyblue	processed_pseudogene	False	0		0
RPL36AP46	RPL36AP46	skyblue	processed_pseudogene	False	0		0
RPL36P14	RPL36P14	skyblue	processed_pseudogene	False	0		0
RPS15AP18	RPS15AP18	skyblue	processed_pseudogene	False	0		0
RPS27P9	RPS27P9	skyblue	processed_pseudogene	False	0		0
RPS3AP19	RPS3AP19	skyblue	processed_pseudogene	False	0		0
SELP	SELP	skyblue	protein_coding	False	0		0
SETP7	SETP7	skyblue	processed_pseudogene	False	0		0
SETP9	SETP9	skyblue	transcribed_processed_pseudogene	False	0		0
SHISA6	SHISA6	skyblue	protein_coding	False	0		0
SINHCAFP1	SINHCAFP1	skyblue	processed_pseudogene	False	0		0
SMTNL2	SMTNL2	skyblue	protein_coding	False	0		0
