nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ADCY2	ADCY2	steelblue	protein_coding	False	0		0
ANKRD30A	ANKRD30A	steelblue	protein_coding	False	1		0
ARHGAP40	ARHGAP40	steelblue	protein_coding	False	0		0
ATP5F1AP7	ATP5F1AP7	steelblue	processed_pseudogene	False	0		0
ATP5MFP1	ATP5MFP1	steelblue	processed_pseudogene	False	0		0
C12orf50	C12orf50	steelblue	protein_coding	False	0		0
CD3G	CD3G	steelblue	protein_coding	False	0		0
CFHR5	CFHR5	steelblue	protein_coding	False	0		0
CLDN5	CLDN5	steelblue	protein_coding	False	0		0
CLIC6	CLIC6	steelblue	protein_coding	False	0		0
COX11P1	COX11P1	steelblue	processed_pseudogene	False	0		0
COX5BP2	COX5BP2	steelblue	transcribed_processed_pseudogene	False	0		0
CTAGE16P	CTAGE16P	steelblue	processed_pseudogene	False	0		0
CXCR3	CXCR3	steelblue	protein_coding	False	0		0
DLEU7	DLEU7	steelblue	protein_coding	False	0		0
DPPA3	DPPA3	steelblue	protein_coding	False	0		0
EIF4A1P12	EIF4A1P12	steelblue	processed_pseudogene	False	0		0
ENOPH1P1	ENOPH1P1	steelblue	processed_pseudogene	False	0		0
ENPEP	ENPEP	steelblue	protein_coding	False	0		0
ENSG00000203531	ENSG00000203531	steelblue	processed_pseudogene	False	0		0
ENSG00000231416	ENSG00000231416	steelblue	processed_pseudogene	False	0		0
ENSG00000250622	ENSG00000250622	steelblue	processed_pseudogene	False	0		0
ENSG00000251484	ENSG00000251484	steelblue	processed_pseudogene	False	0		0
ENSG00000258133	ENSG00000258133	steelblue	processed_pseudogene	False	0		0
ENSG00000259192	ENSG00000259192	steelblue	processed_pseudogene	False	0		0
ENSG00000260861	ENSG00000260861	steelblue	protein_coding	False	0		0
ENSG00000261835	ENSG00000261835	steelblue	unprocessed_pseudogene	False	0		0
ENSG00000269035	ENSG00000269035	steelblue	protein_coding	False	0		0
ENSG00000269236	ENSG00000269236	steelblue	processed_pseudogene	False	0		0
ENSG00000276680	ENSG00000276680	steelblue	misc_RNA	False	0		0
ENSG00000276845	ENSG00000276845	steelblue	unprocessed_pseudogene	False	0		0
ENSG00000279945	ENSG00000279945	steelblue	TEC	False	0		0
ENSG00000280284	ENSG00000280284	steelblue	TEC	False	0		0
ENSG00000280306	ENSG00000280306	steelblue	TEC	False	0		0
ENSG00000282222	ENSG00000282222	steelblue	processed_pseudogene	False	0		0
ENSG00000289809	ENSG00000289809	steelblue	protein_coding	False	0		0
ENSG00000291239	ENSG00000291239	steelblue	protein_coding	False	0		0
FAM240B	FAM240B	steelblue	protein_coding	False	0		0
FAM9B	FAM9B	steelblue	protein_coding	False	0		0
FANCD2P2	FANCD2P2	steelblue	unprocessed_pseudogene	False	0		0
FOXC2	FOXC2	steelblue	protein_coding	False	0		0
GAPDHP55	GAPDHP55	steelblue	processed_pseudogene	False	0		0
GAPDHP67	GAPDHP67	steelblue	processed_pseudogene	False	0		0
GDF3	GDF3	steelblue	protein_coding	False	0		0
GLRA2	GLRA2	steelblue	protein_coding	False	0		0
GOLGA8J	GOLGA8J	steelblue	protein_coding	False	0		0
H3P24	H3P24	steelblue	processed_pseudogene	False	0		0
HMGB1P16	HMGB1P16	steelblue	processed_pseudogene	False	0		0
HYAL4	HYAL4	steelblue	protein_coding	False	0		0
IFITM3P2	IFITM3P2	steelblue	processed_pseudogene	False	0		0
IGHV1-2	IGHV1-2	steelblue	IG_V_gene	False	0		0
IGKC	IGKC	steelblue	IG_C_gene	False	0		0
IRF6	IRF6	steelblue	protein_coding	False	0		0
KCNH8	KCNH8	steelblue	protein_coding	False	0		0
KRT18P51	KRT18P51	steelblue	processed_pseudogene	False	0		0
KRT37	KRT37	steelblue	protein_coding	False	0		0
LACTBL1	LACTBL1	steelblue	protein_coding	False	0		0
LY9	LY9	steelblue	protein_coding	False	0		0
MSX2	MSX2	steelblue	protein_coding	False	0		0
MT-TC	MT-TC	steelblue	Mt_tRNA	False	0		0
MT-TS2	MT-TS2	steelblue	Mt_tRNA	False	0		0
MTCO3P13	MTCO3P13	steelblue	unprocessed_pseudogene	False	0		0
MTND6P18	MTND6P18	steelblue	processed_pseudogene	False	0		0
MYL6P5	MYL6P5	steelblue	processed_pseudogene	False	0		0
NPM1P30	NPM1P30	steelblue	processed_pseudogene	False	0		0
NTF3	NTF3	steelblue	protein_coding	False	0		0
NTM	NTM	steelblue	protein_coding	False	0		0
OLFM4	OLFM4	steelblue	protein_coding	False	0		0
OR2S2	OR2S2	steelblue	protein_coding	False	0		0
OR7E130P	OR7E130P	steelblue	unprocessed_pseudogene	False	0		0
OR7E84P	OR7E84P	steelblue	unprocessed_pseudogene	False	0		0
PCED1CP	PCED1CP	steelblue	processed_pseudogene	False	0		0
PHF5AP5	PHF5AP5	steelblue	processed_pseudogene	False	0		0
PPIAP73	PPIAP73	steelblue	processed_pseudogene	False	0		0
PPIAP78	PPIAP78	steelblue	processed_pseudogene	False	0		0
PPP1R16B	PPP1R16B	steelblue	protein_coding	False	0		0
RAG2	RAG2	steelblue	protein_coding	False	0		0
RBISP5	RBISP5	steelblue	processed_pseudogene	False	0		0
RN7SL448P	RN7SL448P	steelblue	misc_RNA	False	0		0
RN7SL516P	RN7SL516P	steelblue	misc_RNA	False	0		0
RN7SL825P	RN7SL825P	steelblue	misc_RNA	False	0		0
RNU6-42P	RNU6-42P	steelblue	snRNA	False	0		0
RPL15P5	RPL15P5	steelblue	processed_pseudogene	False	0		0
RPL34P20	RPL34P20	steelblue	processed_pseudogene	False	0		0
RPL36AP11	RPL36AP11	steelblue	processed_pseudogene	False	0		0
RPL6P3	RPL6P3	steelblue	processed_pseudogene	False	0		0
RPS15AP28	RPS15AP28	steelblue	processed_pseudogene	False	0		0
SEC14L3	SEC14L3	steelblue	protein_coding	False	0		0
SELENOOLP	SELENOOLP	steelblue	transcribed_unitary_pseudogene	False	0		0
SFXN4P1	SFXN4P1	steelblue	processed_pseudogene	False	0		0
SLC26A8	SLC26A8	steelblue	protein_coding	False	0		0
SLC28A1	SLC28A1	steelblue	protein_coding	False	0		0
SNORA74C-1	SNORA74C-1	steelblue	snoRNA	False	0		0
SPANXN3	SPANXN3	steelblue	protein_coding	False	0		0
SPINK5	SPINK5	steelblue	protein_coding	False	0		0
SPTA1	SPTA1	steelblue	protein_coding	False	0		0
SSU72L5	SSU72L5	steelblue	protein_coding	False	0		0
STMN1P1	STMN1P1	steelblue	processed_pseudogene	False	0		0
TGFA	TGFA	steelblue	protein_coding	False	0		0
THEM5	THEM5	steelblue	protein_coding	False	0		0
TMEM100	TMEM100	steelblue	protein_coding	False	0		0
TMEM229A	TMEM229A	steelblue	protein_coding	False	0		0
TOMM20L	TOMM20L	steelblue	protein_coding	False	0		0
UBA5P1	UBA5P1	steelblue	processed_pseudogene	False	0		0
USP17L1	USP17L1	steelblue	protein_coding	False	0		0
USP17L21	USP17L21	steelblue	protein_coding	False	0		0
USP17L3	USP17L3	steelblue	protein_coding	False	0		0
VN1R4	VN1R4	steelblue	protein_coding	False	0		0
WNT16	WNT16	steelblue	protein_coding	False	0		0
ZNF705D	ZNF705D	steelblue	protein_coding	False	0		0
