nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACTP1	ACTP1	tan	processed_pseudogene	False	1		0
ADH5P2	ADH5P2	tan	processed_pseudogene	False	0		0
AGBL4	AGBL4	tan	protein_coding	False	0		0
AGGF1P10	AGGF1P10	tan	processed_pseudogene	False	0		0
AKR7A2P2	AKR7A2P2	tan	processed_pseudogene	False	0		0
ANKRD20A3P	ANKRD20A3P	tan	transcribed_unprocessed_pseudogene	False	0		0
ARF1P2	ARF1P2	tan	processed_pseudogene	False	0		0
ARL5AP4	ARL5AP4	tan	processed_pseudogene	False	0		0
ARPC3P4	ARPC3P4	tan	processed_pseudogene	False	0		0
ARRDC5	ARRDC5	tan	protein_coding	False	0		0
ARSDP1	ARSDP1	tan	unprocessed_pseudogene	False	0		0
ASB18	ASB18	tan	protein_coding	False	0		0
ATP6V1G1P4	ATP6V1G1P4	tan	processed_pseudogene	False	0		0
BMP2KL	BMP2KL	tan	processed_pseudogene	False	0		0
BMPR1AP2	BMPR1AP2	tan	processed_pseudogene	False	0		0
BMS1P10	BMS1P10	tan	transcribed_unprocessed_pseudogene	False	0		0
BNIP3P10	BNIP3P10	tan	processed_pseudogene	False	0		0
BTF3P8	BTF3P8	tan	processed_pseudogene	False	0		0
CCDC89	CCDC89	tan	protein_coding	False	0		0
CCNJP2	CCNJP2	tan	processed_pseudogene	False	0		0
CDC42EP3P1	CDC42EP3P1	tan	processed_pseudogene	False	0		0
CDH12P2	CDH12P2	tan	unprocessed_pseudogene	False	0		0
CDH7	CDH7	tan	protein_coding	False	0		0
CICP6	CICP6	tan	processed_pseudogene	False	0		0
COX7A2P1	COX7A2P1	tan	processed_pseudogene	False	0		0
CPHL1P	CPHL1P	tan	transcribed_unitary_pseudogene	False	0		0
CSPG4P4Y	CSPG4P4Y	tan	unprocessed_pseudogene	False	0		0
CTAGE1	CTAGE1	tan	protein_coding	False	0		0
CTNNA2	CTNNA2	tan	protein_coding	False	0		0
DCX	DCX	tan	protein_coding	False	0		0
DDX6P2	DDX6P2	tan	processed_pseudogene	False	0		0
DNAI2	DNAI2	tan	protein_coding	False	0		0
E2F3P1	E2F3P1	tan	processed_pseudogene	False	0		0
ENSG00000213560	ENSG00000213560	tan	processed_pseudogene	False	0		0
ENSG00000217488	ENSG00000217488	tan	transcribed_processed_pseudogene	False	0		0
ENSG00000219928	ENSG00000219928	tan	processed_pseudogene	False	0		0
ENSG00000225893	ENSG00000225893	tan	processed_pseudogene	False	0		0
ENSG00000226045	ENSG00000226045	tan	processed_pseudogene	False	0		0
ENSG00000226671	ENSG00000226671	tan	processed_pseudogene	False	0		0
