nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACTL7B	ACTL7B	white	protein_coding	False	1		0
ADH1B	ADH1B	white	protein_coding	False	0		0
AFF2	AFF2	white	protein_coding	False	0		0
AIMP1P1	AIMP1P1	white	processed_pseudogene	False	0		0
AKAIN1	AKAIN1	white	protein_coding	False	0		0
ANKRD1	ANKRD1	white	protein_coding	False	0		0
ASB4	ASB4	white	protein_coding	False	0		0
ATP4A	ATP4A	white	protein_coding	False	0		0
BATF	BATF	white	protein_coding	False	0		0
BCRP7	BCRP7	white	unprocessed_pseudogene	False	0		0
BIN2	BIN2	white	protein_coding	False	0		0
BRS3	BRS3	white	protein_coding	False	0		0
BTG4	BTG4	white	protein_coding	False	0		0
C11orf52	C11orf52	white	protein_coding	False	0		0
C1QA	C1QA	white	protein_coding	False	0		0
C1QB	C1QB	white	protein_coding	False	0		0
CAMP	CAMP	white	protein_coding	False	0		0
CCDC162P	CCDC162P	white	transcribed_unitary_pseudogene	False	0		0
CCND3P1	CCND3P1	white	processed_pseudogene	False	0		0
CD177P1	CD177P1	white	unprocessed_pseudogene	False	0		0
CDC26P1	CDC26P1	white	processed_pseudogene	False	0		0
CLEC3B	CLEC3B	white	protein_coding	False	0		0
CLEC7A	CLEC7A	white	protein_coding	False	0		0
CLNK	CLNK	white	protein_coding	False	0		0
CSTA	CSTA	white	protein_coding	False	0		0
CYP4B1	CYP4B1	white	protein_coding	False	0		0
DCSTAMP	DCSTAMP	white	protein_coding	False	0		0
DPPA2	DPPA2	white	protein_coding	False	0		0
DTWD1P1	DTWD1P1	white	processed_pseudogene	False	0		0
EIF4A1P1	EIF4A1P1	white	processed_pseudogene	False	0		0
ENPP3	ENPP3	white	protein_coding	False	0		0
ENSG00000100101	ENSG00000100101	white	protein_coding	False	0		0
ENSG00000213067	ENSG00000213067	white	processed_pseudogene	False	0		0
ENSG00000213331	ENSG00000213331	white	processed_pseudogene	False	0		0
ENSG00000213561	ENSG00000213561	white	processed_pseudogene	False	0		0
ENSG00000223544	ENSG00000223544	white	unprocessed_pseudogene	False	0		0
ENSG00000225965	ENSG00000225965	white	processed_pseudogene	False	0		0
ENSG00000229595	ENSG00000229595	white	processed_pseudogene	False	0		0
ENSG00000229827	ENSG00000229827	white	processed_pseudogene	False	0		0
ENSG00000230739	ENSG00000230739	white	unprocessed_pseudogene	False	0		0
ENSG00000230953	ENSG00000230953	white	processed_pseudogene	False	0		0
ENSG00000234382	ENSG00000234382	white	unprocessed_pseudogene	False	0		0
ENSG00000235673	ENSG00000235673	white	processed_pseudogene	False	0		0
ENSG00000236887	ENSG00000236887	white	processed_pseudogene	False	0		0
ENSG00000253630	ENSG00000253630	white	unprocessed_pseudogene	False	0		0
ENSG00000253907	ENSG00000253907	white	processed_pseudogene	False	0		0
ENSG00000260146	ENSG00000260146	white	processed_pseudogene	False	0		0
ENSG00000260685	ENSG00000260685	white	processed_pseudogene	False	0		0
ENSG00000267295	ENSG00000267295	white	unprocessed_pseudogene	False	0		0
ENSG00000267623	ENSG00000267623	white	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000269896	ENSG00000269896	white	transcribed_processed_pseudogene	False	0		0
ENSG00000270710	ENSG00000270710	white	processed_pseudogene	False	0		0
ENSG00000273512	ENSG00000273512	white	unprocessed_pseudogene	False	0		0
ENSG00000277653	ENSG00000277653	white	misc_RNA	False	0		0
ENSG00000278909	ENSG00000278909	white	TEC	False	0		0
ENSG00000279065	ENSG00000279065	white	TEC	False	0		0
ENSG00000279322	ENSG00000279322	white	TEC	False	0		0
ENSG00000279617	ENSG00000279617	white	TEC	False	0		0
ENSG00000284060	ENSG00000284060	white	transcribed_unprocessed_pseudogene	False	0		0
ENSG00000285772	ENSG00000285772	white	protein_coding	False	0		0
ENSG00000289695	ENSG00000289695	white	protein_coding	False	0		0
FAM90A14	FAM90A14	white	protein_coding	False	0		0
FAM90A4P	FAM90A4P	white	unprocessed_pseudogene	False	0		0
FGFBP2	FGFBP2	white	protein_coding	False	0		0
FOXN3P1	FOXN3P1	white	processed_pseudogene	False	0		0
GGT6	GGT6	white	protein_coding	False	0		0
GOLGA6A	GOLGA6A	white	protein_coding	False	0		0
GPR142	GPR142	white	protein_coding	False	0		0
GSTA3	GSTA3	white	protein_coding	False	0		0
GTF2IP20	GTF2IP20	white	transcribed_unprocessed_pseudogene	False	0		0
GTSF1L	GTSF1L	white	protein_coding	False	0		0
HAPLN2	HAPLN2	white	protein_coding	False	0		0
HNRNPA1P23	HNRNPA1P23	white	processed_pseudogene	False	0		0
HNRNPA3P13	HNRNPA3P13	white	processed_pseudogene	False	0		0
HNRNPA3P15	HNRNPA3P15	white	processed_pseudogene	False	0		0
IGF2BP1	IGF2BP1	white	protein_coding	False	0		0
KRT18P15	KRT18P15	white	processed_pseudogene	False	0		0
KRT6A	KRT6A	white	protein_coding	False	0		0
LAIR1	LAIR1	white	protein_coding	False	0		0
LHFPL1	LHFPL1	white	protein_coding	False	0		0
MAGEB18	MAGEB18	white	protein_coding	False	0		0
MARK2P6	MARK2P6	white	processed_pseudogene	False	0		0
MFSD6L	MFSD6L	white	protein_coding	False	0		0
MIPEPP3	MIPEPP3	white	transcribed_unprocessed_pseudogene	False	0		0
MMP7	MMP7	white	protein_coding	False	0		0
MRPS18CP7	MRPS18CP7	white	processed_pseudogene	False	0		0
MT-TP	MT-TP	white	Mt_tRNA	False	0		0
MT1A	MT1A	white	protein_coding	False	0		0
MTND2P4	MTND2P4	white	unprocessed_pseudogene	False	0		0
MTRF1LP2	MTRF1LP2	white	processed_pseudogene	False	0		0
OLAH	OLAH	white	protein_coding	False	0		0
OR4D1	OR4D1	white	protein_coding	False	0		0
OR5K2	OR5K2	white	protein_coding	False	0		0
OR5S1P	OR5S1P	white	unitary_pseudogene	False	0		0
OR7A10	OR7A10	white	protein_coding	False	0		0
OR9H1P	OR9H1P	white	protein_coding	False	0		0
PGC	PGC	white	protein_coding	False	0		0
PHB1P17	PHB1P17	white	processed_pseudogene	False	0		0
PNMA6E	PNMA6E	white	protein_coding	False	0		0
POU5F1B	POU5F1B	white	protein_coding	False	0		0
PPIAL4A	PPIAL4A	white	protein_coding	False	0		0
PRR5-ARHGAP8	PRR5-ARHGAP8	white	protein_coding	False	0		0
PRSS57	PRSS57	white	protein_coding	False	0		0
PVRIG2P	PVRIG2P	white	transcribed_unprocessed_pseudogene	False	0		0
RBM43P1	RBM43P1	white	processed_pseudogene	False	0		0
RBM46	RBM46	white	protein_coding	False	0		0
RCC2P4	RCC2P4	white	processed_pseudogene	False	0		0
RLN3	RLN3	white	protein_coding	False	0		0
RN7SL23P	RN7SL23P	white	misc_RNA	False	0		0
RN7SL558P	RN7SL558P	white	misc_RNA	False	0		0
RNF43	RNF43	white	protein_coding	False	0		0
RPL10AP1	RPL10AP1	white	processed_pseudogene	False	0		0
RPL12P29	RPL12P29	white	processed_pseudogene	False	0		0
RPL27AP5	RPL27AP5	white	processed_pseudogene	False	0		0
RPL31P60	RPL31P60	white	processed_pseudogene	False	0		0
RPL32P3	RPL32P3	white	transcribed_unprocessed_pseudogene	False	0		0
RPL34P16	RPL34P16	white	processed_pseudogene	False	0		0
RPL35AP36	RPL35AP36	white	processed_pseudogene	False	0		0
RPL6P11	RPL6P11	white	unprocessed_pseudogene	False	0		0
RPL7P7	RPL7P7	white	processed_pseudogene	False	0		0
RTP5	RTP5	white	protein_coding	False	0		0
SAA2	SAA2	white	protein_coding	False	0		0
SCN4B	SCN4B	white	protein_coding	False	0		0
SELENOV	SELENOV	white	protein_coding	False	0		0
