nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ACTBP16	ACTBP16	yellowgreen	processed_pseudogene	False	0		0
ADGRF2P	ADGRF2P	yellowgreen	transcribed_unitary_pseudogene	False	1		0
ANAPC1P3	ANAPC1P3	yellowgreen	unprocessed_pseudogene	False	0		0
ATP5F1BP1	ATP5F1BP1	yellowgreen	processed_pseudogene	False	0		0
ATP5MC2P1	ATP5MC2P1	yellowgreen	processed_pseudogene	False	0		0
BLID	BLID	yellowgreen	protein_coding	False	0		0
C11orf21	C11orf21	yellowgreen	protein_coding	False	0		0
C8orf17	C8orf17	yellowgreen	TEC	False	0		0
CAPZA1P3	CAPZA1P3	yellowgreen	processed_pseudogene	False	0		0
CD300H	CD300H	yellowgreen	protein_coding	False	0		0
CDC42P7	CDC42P7	yellowgreen	processed_pseudogene	False	0		0
CEACAMP11	CEACAMP11	yellowgreen	unprocessed_pseudogene	False	0		0
CLEC20A	CLEC20A	yellowgreen	protein_coding	False	0		0
CYCSP40	CYCSP40	yellowgreen	processed_pseudogene	False	0		0
DBIP1	DBIP1	yellowgreen	processed_pseudogene	False	0		0
DMBT1	DMBT1	yellowgreen	protein_coding	False	0		0
DNAJB6P2	DNAJB6P2	yellowgreen	processed_pseudogene	False	0		0
DNAJB6P6	DNAJB6P6	yellowgreen	processed_pseudogene	False	0		0
DONSONP1	DONSONP1	yellowgreen	processed_pseudogene	False	0		0
DPPA3P6	DPPA3P6	yellowgreen	processed_pseudogene	False	0		0
EEF1A1P27	EEF1A1P27	yellowgreen	processed_pseudogene	False	0		0
ENSG00000203437	ENSG00000203437	yellowgreen	processed_pseudogene	False	0		0
ENSG00000204790	ENSG00000204790	yellowgreen	unprocessed_pseudogene	False	0		0
ENSG00000224016	ENSG00000224016	yellowgreen	unprocessed_pseudogene	False	0		0
ENSG00000228814	ENSG00000228814	yellowgreen	transcribed_processed_pseudogene	False	0		0
ENSG00000255115	ENSG00000255115	yellowgreen	processed_pseudogene	False	0		0
ENSG00000255653	ENSG00000255653	yellowgreen	unprocessed_pseudogene	False	0		0
ENSG00000256674	ENSG00000256674	yellowgreen	processed_pseudogene	False	0		0
ENSG00000257169	ENSG00000257169	yellowgreen	processed_pseudogene	False	0		0
ENSG00000257564	ENSG00000257564	yellowgreen	processed_pseudogene	False	0		0
ENSG00000257813	ENSG00000257813	yellowgreen	processed_pseudogene	False	0		0
ENSG00000260882	ENSG00000260882	yellowgreen	processed_pseudogene	False	0		0
ENSG00000263343	ENSG00000263343	yellowgreen	processed_pseudogene	False	0		0
ENSG00000266938	ENSG00000266938	yellowgreen	processed_pseudogene	False	0		0
ENSG00000270966	ENSG00000270966	yellowgreen	processed_pseudogene	False	0		0
ENSG00000274499	ENSG00000274499	yellowgreen	transcribed_processed_pseudogene	False	0		0
ENSG00000275115	ENSG00000275115	yellowgreen	unprocessed_pseudogene	False	0		0
ENSG00000278872	ENSG00000278872	yellowgreen	TEC	False	0		0
ENSG00000279691	ENSG00000279691	yellowgreen	TEC	False	0		0
ENSG00000280326	ENSG00000280326	yellowgreen	TEC	False	0		0
ENSG00000283525	ENSG00000283525	yellowgreen	transcribed_unprocessed_pseudogene	False	0		0
GJA10	GJA10	yellowgreen	protein_coding	False	0		0
GJA1P1	GJA1P1	yellowgreen	processed_pseudogene	False	0		0
GPR52	GPR52	yellowgreen	protein_coding	False	0		0
GRPEL2P2	GRPEL2P2	yellowgreen	processed_pseudogene	False	0		0
H3P4	H3P4	yellowgreen	unprocessed_pseudogene	False	0		0
HAUS6P2	HAUS6P2	yellowgreen	processed_pseudogene	False	0		0
HK3	HK3	yellowgreen	protein_coding	False	0		0
HMGN1P7	HMGN1P7	yellowgreen	processed_pseudogene	False	0		0
HNRNPA1P37	HNRNPA1P37	yellowgreen	processed_pseudogene	False	0		0
HSPA8P4	HSPA8P4	yellowgreen	processed_pseudogene	False	0		0
HSPE1P4	HSPE1P4	yellowgreen	processed_pseudogene	False	0		0
IGBP1P1	IGBP1P1	yellowgreen	processed_pseudogene	False	0		0
IGKV1OR2-1	IGKV1OR2-1	yellowgreen	IG_V_pseudogene	False	0		0
INTS4P2	INTS4P2	yellowgreen	transcribed_unprocessed_pseudogene	False	0		0
L1TD1	L1TD1	yellowgreen	protein_coding	False	0		0
LRRK2	LRRK2	yellowgreen	protein_coding	False	0		0
LRRTM1	LRRTM1	yellowgreen	protein_coding	False	0		0
MAPK6P4	MAPK6P4	yellowgreen	processed_pseudogene	False	0		0
MTND4P29	MTND4P29	yellowgreen	unprocessed_pseudogene	False	0		0
NDUFAB1P1	NDUFAB1P1	yellowgreen	processed_pseudogene	False	0		0
NOS1	NOS1	yellowgreen	protein_coding	False	0		0
NPM1P20	NPM1P20	yellowgreen	processed_pseudogene	False	0		0
NPM1P28	NPM1P28	yellowgreen	processed_pseudogene	False	0		0
NR0B2	NR0B2	yellowgreen	protein_coding	False	0		0
NSA2P6	NSA2P6	yellowgreen	processed_pseudogene	False	0		0
OR52B5P	OR52B5P	yellowgreen	transcribed_unprocessed_pseudogene	False	0		0
OR7E111FP	OR7E111FP	yellowgreen	unprocessed_pseudogene	False	0		0
OR8K1	OR8K1	yellowgreen	protein_coding	False	0		0
PARLP1	PARLP1	yellowgreen	processed_pseudogene	False	0		0
PGLYRP1	PGLYRP1	yellowgreen	protein_coding	False	0		0
PHB1P8	PHB1P8	yellowgreen	processed_pseudogene	False	0		0
PLA2G2F	PLA2G2F	yellowgreen	protein_coding	False	0		0
PMPCAP1	PMPCAP1	yellowgreen	processed_pseudogene	False	0		0
POLR3DP1	POLR3DP1	yellowgreen	processed_pseudogene	False	0		0
POTEI	POTEI	yellowgreen	protein_coding	False	0		0
PPIAP55	PPIAP55	yellowgreen	processed_pseudogene	False	0		0
PRR13P1	PRR13P1	yellowgreen	processed_pseudogene	False	0		0
PSG3	PSG3	yellowgreen	protein_coding	False	0		0
RGL4P1	RGL4P1	yellowgreen	unprocessed_pseudogene	False	0		0
RN7SL127P	RN7SL127P	yellowgreen	misc_RNA	False	0		0
RN7SL625P	RN7SL625P	yellowgreen	misc_RNA	False	0		0
RN7SL737P	RN7SL737P	yellowgreen	misc_RNA	False	0		0
RNA5SP203	RNA5SP203	yellowgreen	rRNA_pseudogene	False	0		0
RNU1-134P	RNU1-134P	yellowgreen	snRNA	False	0		0
RPL10P5	RPL10P5	yellowgreen	processed_pseudogene	False	0		0
RPL15P13	RPL15P13	yellowgreen	processed_pseudogene	False	0		0
RPL17P25	RPL17P25	yellowgreen	processed_pseudogene	False	0		0
RPL23AP48	RPL23AP48	yellowgreen	processed_pseudogene	False	0		0
RPL5P15	RPL5P15	yellowgreen	processed_pseudogene	False	0		0
RPL5P17	RPL5P17	yellowgreen	processed_pseudogene	False	0		0
RPL6P17	RPL6P17	yellowgreen	processed_pseudogene	False	0		0
RPS12P17	RPS12P17	yellowgreen	processed_pseudogene	False	0		0
RPS18P8	RPS18P8	yellowgreen	processed_pseudogene	False	0		0
RPS26P13	RPS26P13	yellowgreen	processed_pseudogene	False	0		0
RPS26P2	RPS26P2	yellowgreen	processed_pseudogene	False	0		0
RPS26P58	RPS26P58	yellowgreen	processed_pseudogene	False	0		0
RPS27AP15	RPS27AP15	yellowgreen	processed_pseudogene	False	0		0
S100A9	S100A9	yellowgreen	protein_coding	False	0		0
SAPCD2P3	SAPCD2P3	yellowgreen	processed_pseudogene	False	0		0
SERPINB4	SERPINB4	yellowgreen	protein_coding	False	0		0
SNORD91B	SNORD91B	yellowgreen	snoRNA	False	0		0
TEX21P	TEX21P	yellowgreen	transcribed_unitary_pseudogene	False	0		0
TMEM174	TMEM174	yellowgreen	protein_coding	False	0		0
TNXA	TNXA	yellowgreen	unprocessed_pseudogene	False	0		0
TPTE2P5	TPTE2P5	yellowgreen	transcribed_unprocessed_pseudogene	False	0		0
TRNT1P1	TRNT1P1	yellowgreen	processed_pseudogene	False	0		0
TSEN2P1	TSEN2P1	yellowgreen	processed_pseudogene	False	0		0
UBE2CP4	UBE2CP4	yellowgreen	processed_pseudogene	False	0		0
XIAPP1	XIAPP1	yellowgreen	processed_pseudogene	False	0		0
XRCC6P5	XRCC6P5	yellowgreen	processed_pseudogene	False	0		0
