module,n,lnc,lnc_pct
brown,5832,880.0,15.089163237311384
blue,3027,179.0,5.913445655764784
green,1274,93.0,7.299843014128729
black,340,4.0,1.1764705882352942
pink,318,3.0,0.9433962264150944
magenta,289,2.0,0.6920415224913495
purple,254,1.0,0.39370078740157477
greenyellow,232,3.0,1.293103448275862
tan,232,0.0,0.0
salmon,218,3.0,1.3761467889908259
cyan,202,1.0,0.49504950495049505
midnightblue,202,2.0,0.9900990099009901
lightcyan,196,1.0,0.5102040816326531
royalblue,187,2.0,1.06951871657754
lightgreen,166,1.0,0.6024096385542169
lightyellow,160,1.0,0.625
grey60,160,0.0,0.0
saddlebrown,158,1.0,0.6329113924050633
darkturquoise,153,6.0,3.9215686274509802
darkgrey,153,3.0,1.9607843137254901
white,152,0.0,0.0
darkred,152,5.0,3.289473684210526
orange,144,1.0,0.6944444444444444
darkorange,142,0.0,0.0
darkgreen,140,3.0,2.142857142857143
skyblue,134,1.0,0.7462686567164178
paleturquoise,118,2.0,1.694915254237288
orangered4,114,1.0,0.8771929824561403
yellowgreen,111,0.0,0.0
steelblue,110,0.0,0.0
darkolivegreen,108,2.0,1.8518518518518516
darkmagenta,106,1.0,0.9433962264150944
sienna3,106,1.0,0.9433962264150944
violet,101,2.0,1.9801980198019802
plum1,98,0.0,0.0
mediumpurple3,86,0.0,0.0
skyblue3,84,2.0,2.380952380952381
lightsteelblue1,76,1.0,1.3157894736842104
lightcyan1,63,2.0,3.1746031746031744
ivory,8,0.0,0.0
