sample,fastq.gz_1,fastq.gz_2,strandedness
siCtl_Veh_BT549_R1,SRR28417346_1.fastq.gz,SRR28417346_2.fastq.gz,auto
siCtl_Veh_BT549_R2,SRR28417345_1.fastq.gz,SRR28417345_2.fastq.gz,auto
siCtl_Veh_BT549_R3,SRR28417344_1.fastq.gz,SRR28417344_2.fastq.gz,auto
siCtl_DEX_BT549_R1,SRR28417343_1.fastq.gz,SRR28417343_2.fastq.gz,auto
siCtl_DEX_BT549_R2,SRR28417342_1.fastq.gz,SRR28417342_2.fastq.gz,auto
siCtl_DEX_BT549_R3,SRR28417341_1.fastq.gz,SRR28417341_2.fastq.gz,auto
siGATA6_Veh_BT549_R1,SRR28417340_1.fastq.gz,SRR28417340_2.fastq.gz,auto
siGATA6_Veh_BT549_R2,SRR28417339_1.fastq.gz,SRR28417339_2.fastq.gz,auto
siGATA6_Veh_BT549_R3,SRR28417338_1.fastq.gz,SRR28417338_2.fastq.gz,auto
siGATA6_DEX_BT549_R1,SRR28417337_1.fastq.gz,SRR28417337_2.fastq.gz,auto
siGATA6_DEX_BT549_R2,SRR28417336_1.fastq.gz,SRR28417336_2.fastq.gz,auto
siGATA6_DEX_BT549_R3,SRR28417335_1.fastq.gz,SRR28417335_2.fastq.gz,auto
DMSO_4h_BT549_R1,SRR28417334_1.fastq.gz,SRR28417334_2.fastq.gz,auto
DMSO_4h_BT549_R2,SRR28417333_1.fastq.gz,SRR28417333_2.fastq.gz,auto
DMSO_4h_BT549_R3,SRR28417332_1.fastq.gz,SRR28417332_2.fastq.gz,auto
BRM014_4h_BT549_R1,SRR28417331_1.fastq.gz,SRR28417331_2.fastq.gz,auto
BRM014_4h_BT549_R2,SRR28417330_1.fastq.gz,SRR28417330_2.fastq.gz,auto
BRM014_4h_BT549_R3,SRR28417329_1.fastq.gz,SRR28417329_2.fastq.gz,auto
DEX_DMSO_4h_BT549_R1,SRR28417328_1.fastq.gz,SRR28417328_2.fastq.gz,auto
DEX_DMSO_4h_BT549_R2,SRR28417327_1.fastq.gz,SRR28417327_2.fastq.gz,auto
DEX_DMSO_4h_BT549_R3,SRR28417326_1.fastq.gz,SRR28417326_2.fastq.gz,auto
DEX_BRM014_4h_BT549_R1,SRR28417325_1.fastq.gz,SRR28417325_2.fastq.gz,auto
DEX_BRM014_4h_BT549_R2,SRR28417324_1.fastq.gz,SRR28417324_2.fastq.gz,auto
DEX_BRM014_4h_BT549_R3,SRR28417323_1.fastq.gz,SRR28417323_2.fastq.gz,auto
DMSO_24h_BT549_R1,SRR28417322_1.fastq.gz,SRR28417322_2.fastq.gz,auto
DMSO_24h_BT549_R2,SRR28417321_1.fastq.gz,SRR28417321_2.fastq.gz,auto
DMSO_24h_BT549_R3,SRR28417320_1.fastq.gz,SRR28417320_2.fastq.gz,auto
BRM014_24h_BT549_R1,SRR28417319_1.fastq.gz,SRR28417319_2.fastq.gz,auto
BRM014_24h_BT549_R2,SRR28417318_1.fastq.gz,SRR28417318_2.fastq.gz,auto
BRM014_24h_BT549_R3,SRR28417317_1.fastq.gz,SRR28417317_2.fastq.gz,auto
DEX_DMSO_24h_BT549_R1,SRR28417316_1.fastq.gz,SRR28417316_2.fastq.gz,auto
DEX_DMSO_24h_BT549_R2,SRR28417315_1.fastq.gz,SRR28417315_2.fastq.gz,auto
DEX_DMSO_24h_BT549_R3,SRR28417314_1.fastq.gz,SRR28417314_2.fastq.gz,auto
DEX_BRM014_24h_BT549_R1,SRR28417313_1.fastq.gz,SRR28417313_2.fastq.gz,auto
DEX_BRM014_24h_BT549_R2,SRR28417312_1.fastq.gz,SRR28417312_2.fastq.gz,auto
DEX_BRM014_24h_BT549_R3,SRR28417311_1.fastq.gz,SRR28417311_2.fastq.gz,auto
